Nome: BAGE
Codigo Estacao: 83980
Latitude: -31.30555555
Longitude: -54.11944443
Altitude: 245.66
Situacao: Operante
Data Inicial: 2001-01-01
Data Final: 2025-06-30
Periodicidade da Medicao: Mensal

Data Medicao;DIRECAO PREDOMINANTE DO VENTO, MENSAL(° (gr));INSOLACAO TOTAL, MENSAL(h);NEBULOSIDADE, MEDIA MENSAL(décimos);PRECIPITACAO TOTAL, MENSAL(mm);PRESSAO ATMOSFERICA, MEDIA MENSAL(mB);TEMPERATURA MAXIMA MEDIA, MENSAL(°C);TEMPERATURA MEDIA COMPENSADA, MENSAL(°C);TEMPERATURA MINIMA MEDIA, MENSAL(°C);UMIDADE RELATIVA DO AR, MEDIA MENSAL(%);VENTO, VELOCIDADE MAXIMA MENSAL(m/s);VENTO, VELOCIDADE MEDIA MENSAL(m/s);
2001-01-31;5;220.8;5.4;158.2;984.6;28.3;23.2;18.8;77.4;9;3;
2001-02-28;5;210;6.1;79.8;984.3;29.9;24.3;20;77.2;9;3.3;
2001-03-31;5;191.3;6.4;155.6;985.3;27.9;22.7;19.5;82.5;10;3;
2001-04-30;5;148.2;6;333.1;988;22.8;18.2;14.9;83.2;7;2.9;
2001-05-31;5;147.3;6.3;58.8;989.2;18.6;14.1;11.2;84.9;5;2.4;
2001-06-30;5;118.8;5.9;250.5;990.8;18.5;13.8;10.9;84.9;7;2.7;
2001-07-31;5;148.7;5.9;138.3;989.2;17.9;12.5;8.7;82.1;9;3.5;
2001-08-31;5;180.3;4.1;50.8;991;22.5;16.6;12.9;78;10;3.2;
2001-09-30;null;124.6;null;340.2;988.8;19.1;null;11.3;null;7.3;4.1;
2001-10-31;5;178.6;6.3;248.6;985.1;24.4;19.4;15.1;81.5;7.3;3.5;
2001-11-30;5;234.3;4.9;176.9;984.9;25.5;19.8;14.5;77;7.3;3.5;
2001-12-31;14;246.9;5.1;94.4;984;26.3;21;16;74.5;7.3;3.6;
2002-01-31;5;244.7;5.9;236;983.9;28.2;22.4;17.1;72.5;7;3.4;
2002-02-28;5;238.1;5;63.9;984.9;27.1;21.4;16.7;74.5;7.1;3;
2002-03-31;5;152.8;7.1;269.6;984.5;27.9;22.9;19.4;83.5;7;3.4;
2002-04-30;5;132.2;6.8;325.8;986.6;21.9;17.4;13.6;82.9;7;2.9;
2002-05-31;5;157.7;5.6;93.7;988;21.4;16.4;13.6;84.2;7.2;2.6;
2002-06-30;5;163.9;4.3;159.5;990.8;16.7;11.6;8.2;81.9;7.2;2.8;
2002-07-31;5;148.4;5.9;142.6;990.5;16.6;11.5;7.7;81.3;7;2.8;
2002-08-31;5;161.3;5.9;269.9;988.2;19.9;14.4;10.4;77.9;9;4.1;
