Nome: BOM JESUS
Codigo Estacao: 83919
Latitude: -28.66944443
Longitude: -50.44194444
Altitude: 1047.5
Situacao: Operante
Data Inicial: 2001-01-01
Data Final: 2025-06-30
Periodicidade da Medicao: Mensal

Data Medicao;DIRECAO PREDOMINANTE DO VENTO, MENSAL(° (gr));INSOLACAO TOTAL, MENSAL(h);NEBULOSIDADE, MEDIA MENSAL(décimos);PRECIPITACAO TOTAL, MENSAL(mm);PRESSAO ATMOSFERICA, MEDIA MENSAL(mB);TEMPERATURA MAXIMA MEDIA, MENSAL(°C);TEMPERATURA MEDIA COMPENSADA, MENSAL(°C);TEMPERATURA MINIMA MEDIA, MENSAL(°C);UMIDADE RELATIVA DO AR, MEDIA MENSAL(%);VENTO, VELOCIDADE MAXIMA MENSAL(m/s);VENTO, VELOCIDADE MEDIA MENSAL(m/s);
2001-01-31;32;158.3;7.8;277.7;null;26;19.7;15.8;84.2;null;null;
2001-02-28;32;141.7;8;178.9;null;26.3;20.4;16.9;83.1;null;null;
2001-03-31;32;180.7;6.7;216.9;null;25.4;19.4;15.7;83.8;null;null;
2001-04-30;32;130.4;6.8;116.2;null;22.6;16.9;13.2;83.9;null;null;
2001-05-31;32;117.5;6.7;174.4;null;16.9;11.3;7.6;86.9;null;null;
2001-06-30;32;147.7;5.2;191.1;null;17.6;11.2;7;80.9;null;null;
2001-07-31;36;150.2;5.4;241.8;null;18.1;10.9;6.2;79.5;null;null;
2001-08-31;5;165.5;5.2;45.6;null;21.1;14.6;9.7;75.5;null;null;
2001-09-30;9;107.9;7.7;76.3;899.4;18.8;12.9;9.3;82.1;3.1;null;
2001-10-31;32;179.5;6.9;205.5;899.3;21.6;15.6;11.4;80.1;4.1;1.3;
2001-11-30;32;193.6;6.8;193.6;898.2;24.2;17.5;12.9;79.3;4.1;1.4;
2001-12-31;9;207.5;6.4;91.2;897;24.4;17.5;12.5;79.5;9;1.7;
2002-01-31;9;193.3;6.9;178.7;898.2;24.9;18.7;14.3;78.6;5;1.7;
2002-02-28;32;207.3;6.4;137.9;899.6;24.3;17.7;13.1;78.6;3;1.3;
2002-03-31;32;194.3;6.3;103.4;900.7;26.7;20.4;16.6;81.9;5;1.2;
2002-04-30;32;134.2;6.7;127.4;901.4;22.8;16.9;12.9;84.2;3;1.3;
2002-05-31;32;136.7;6.7;109.5;901.9;19.7;13.9;9.9;86.4;3.1;1.3;
2002-06-30;32;88.4;6.8;263.8;903;16.7;11.6;7.9;86.7;4.1;1.3;
2002-07-31;32;125.2;6;137.9;902.4;16.8;10.4;6.1;81.8;5;1.4;
2002-08-31;32;138.8;6;158.2;901.8;19.9;13.3;8.7;78.9;8;1.6;
2002-09-30;32;163.7;5.7;172.9;899.2;17.9;11.2;6;78.7;4;1.4;
2002-10-31;5;122.4;7.3;278.1;899.5;22.4;16.7;12.4;82.9;3;1.3;
2002-11-30;32;162.1;6.7;174.3;898.7;23.7;17.3;12.4;78.1;6;1.5;
2002-12-31;32;166;6.4;180.9;897.2;24.4;18.5;13.9;82.4;3;1.3;
2003-01-31;32;220.5;5.9;130.5;897.5;25.4;19.3;14.6;79.9;2;1;
2003-02-28;32;185.2;6.8;213.3;898.5;26.6;20.3;16.2;80.5;3;1.3;
2003-03-31;23;201.4;5.7;84.9;899.3;24.7;18.3;14;81.2;3;1.1;
2003-04-30;32;190.1;5.2;128.3;900.1;21.6;15;10.7;80.3;4;1.2;
2003-05-31;32;175.1;5.5;76.7;900.5;18.5;11.7;6.8;78.2;10.1;1.4;
2003-06-30;32;52.9;6.4;126.6;900.3;18.3;12.9;8.8;84.9;3;1.1;
2003-07-31;32;133.6;5.1;104;902.2;18.4;11.6;6.8;76.9;3;1.2;
2003-08-31;23;200.9;4.7;46.2;902.5;17.4;9.7;4.3;68.7;3;1.2;
2003-09-30;36;172.1;5.7;63.5;901;20.3;12.8;7.8;74.6;4;1.1;
2003-10-31;5;202.4;5.5;191.3;899.5;22.4;15.4;10.3;75.7;3;1.1;
2003-11-30;32;206;5.3;149.7;896.7;23;16.3;11.2;74.9;3;1.2;
2003-12-31;32;181.5;6.2;316.4;896.2;23.6;16.9;11.8;79;4;1.4;
2004-01-31;9;212.1;6;124.2;896.1;25.2;18.6;13.6;79.2;3;1.2;
2004-02-29;9;221.3;5.4;52.5;898.3;24.1;17.5;12.6;78.4;3;1.1;
2004-03-31;14;226.8;5;114.4;899;24.1;16.9;12;78.9;3;1.2;
2004-04-30;32;192.2;4.9;92.8;899.1;22.9;16.9;12.4;80.3;3;1.1;
2004-05-31;9;125.6;6.1;137.3;899.7;15.8;10.5;6.6;87.2;3;1.1;
2004-06-30;32;146;4.8;31.3;901;18.3;11.9;7.4;81.2;3;1;
2004-07-31;5;147.9;5.4;129.2;901.8;15.5;9.4;5;82;4;1.3;
2004-08-31;5;207.8;4.5;34;902.6;19.8;11.9;6.5;72.4;3;1.1;
2004-09-30;5;127.7;6.3;213.2;900.4;21.5;15;10.4;77.2;5;1.3;
2004-10-31;5;234.3;4.5;126.2;898.3;21.1;13.9;8.6;74.6;3;1.2;
2004-11-30;32;198.1;5.9;115.6;896.9;22.2;15.8;11;78.3;4;1.3;
2004-12-31;14;205.3;6;127.4;897.6;23.9;17.4;12.5;76.6;4;1.5;
2005-01-31;14;241.7;5.2;74;895.9;27.4;19.6;14.5;75.3;3;1.2;
2005-02-28;14;131.8;6.3;80.2;897.3;25.8;18.5;13.9;78.5;3;1.2;
2005-03-31;9;228.5;5.4;139.7;898.6;25.1;18.3;13.7;78.8;3;1.1;
2005-04-30;32;130.5;7.1;173.6;900.2;21.2;15.4;11.6;85.4;6;1.2;
2005-05-31;32;170.1;5;178.6;900;20.1;13.8;9.4;79.9;4;1.2;
2005-06-30;32;109.3;6.9;143.6;900.4;18.7;13.2;9.7;86.2;3;1.1;
2005-07-31;32;167.9;4.8;112.4;902.7;15.9;9.9;5.3;79.8;6;1.5;
2005-08-31;32;172.6;5.1;154.9;900.6;19.9;13.2;8.8;76.8;7;1.5;
2005-09-30;5;111.3;6.9;174.8;900.9;15.8;10.4;6.2;83.5;14;2.9;
2005-10-31;5;148.3;7;313.2;897.9;20.6;14.9;11;84.3;8.2;3.5;
2005-11-30;9;231.7;5.3;97.9;897.3;23.5;16.8;11.6;71.3;6.6;4;
2005-12-31;9;223.6;6.2;65.8;896.6;24.3;17;12.1;76.1;8.1;4.1;
2006-01-31;9;208.6;6.1;152.7;897;26.8;20.1;15.4;78.8;7.8;3.5;
2006-02-28;9;141.8;7.1;98;896.2;25.2;18.8;14.9;80.5;10;3.8;
2006-03-31;32;189.9;5.8;78;897.6;24.6;18.2;13.8;80.4;7.2;3.7;
2006-04-30;9;214;5.1;54.9;898.9;21.2;14.4;9.8;79.4;7;3.3;
2006-05-31;32;154.3;5.5;22.8;901.4;16.2;10.2;6.1;82.9;7.3;3.5;
2006-06-30;5;118.7;5.4;125.1;901.7;17.6;11.6;7.6;82.5;9.8;3.5;
2006-07-31;32;159.6;5.2;192.1;901.2;18.6;12.5;8.5;81.2;10.1;3.2;
2006-08-31;32;196.9;5;104.4;899.8;19.2;12.4;7.7;71.9;12;3.2;
2006-09-30;32;170.8;5.2;76.6;899.8;18.5;11.9;7.3;76.4;15.2;4;
2006-10-31;9;190.3;5.7;42.3;898.5;23.7;16.3;11.1;76.9;10.6;3.9;
2006-11-30;9;192.2;6;170.7;898.1;22.3;16.1;11.5;77.9;8.5;4.4;
2006-12-31;36;249.3;5.4;159.4;896.8;26.8;20;15.3;76.5;7.4;3.9;
2007-01-31;9;190;6.1;156;895.5;25.6;19.5;15.6;81;7.8;3.8;
2007-02-28;9;166.3;5.3;267.5;897.4;25.4;18.9;14.7;80.3;9.9;3.9;
2007-03-31;32;192.8;6.1;156.8;899.3;26.4;20.1;16.1;81.5;6.5;3.4;
2007-04-30;5;179.1;5.6;158.1;901.1;22.8;16.6;12.6;82.3;8;3.3;
2007-05-31;9;123.4;6.5;227;900.6;15.9;10.4;6.5;86.4;10.6;3.9;
2007-06-30;32;95;5.8;68.3;899.8;17.8;11.9;7.7;78.6;10.9;3.6;
2007-07-31;32;168.9;4.9;267.6;899.6;15.2;8.8;4;77.4;9.6;3.9;
2007-08-31;5;159.3;5.4;119.2;901.6;18.4;11.3;6.1;77.4;11.3;4.4;
2007-09-30;5;172.5;4.8;252.8;902.3;21.6;15.1;10.4;73.4;11.1;3.8;
2007-10-31;5;110.9;6.5;139;898.7;22.5;16.5;12.2;81.8;8.9;3.8;
2007-11-30;36;230.8;4.5;209.9;896.5;21.9;15.2;10.3;79.2;7.3;3;
2007-12-31;32;227.1;5.2;149.7;896.8;25.8;18.6;13.5;81.5;7.9;3.4;
2008-01-31;9;202.5;5.7;102.3;897.7;24.3;18.3;14;79.4;7.6;4.1;
2008-02-29;9;178.9;5.7;155.7;897.5;24.6;18.1;13.5;80.8;7.3;3.3;
2008-03-31;9;204.5;5.8;156.7;898.3;24.1;17.6;13.5;80.8;8;3;
2008-04-30;0;178.4;4.8;107.4;897.5;20.5;14.4;10;81.1;13.2;2.4;
2008-05-31;0;184.5;4.7;102.5;899.8;18.4;11.6;6.9;78.4;8.8;2.3;
2008-06-30;0;120;6;126.4;900.3;15;9.2;5.1;82.5;9.6;2.6;
2008-07-31;0;182.1;4.4;45.3;901.7;19.5;12.8;8.5;76.3;8.9;2.1;
2008-08-31;36;187.7;5.1;109.3;899.2;19;12.4;7.8;77.3;8.3;3.8;
2008-09-30;32;167;6.1;152.9;900.3;17.3;10.9;6.1;78.9;11.9;4.1;
2008-10-31;5;115.1;6.6;308.1;899.5;19.9;14.6;10.9;83;11.1;3.9;
2008-11-30;32;160.8;6.6;143.7;898.3;22;16.3;12.4;80.6;8.9;4.5;
2008-12-31;32;216.4;5.8;112.7;896.7;24.3;17.3;12.7;76.4;9;3.9;
2009-01-31;23;183.2;6.3;193.5;897;23.7;17.7;13.6;79.8;12.4;4.3;
2009-02-28;14;135.4;7;127.7;897.6;25.5;19.3;15.4;82.4;7.7;3.6;
2009-03-31;32;193.1;6.1;73.5;897.7;24.5;18.3;14.3;82.5;10.9;3.5;
2009-04-30;32;201.9;4.6;15.9;900.1;22.6;15.6;10.9;79.4;9.4;3.8;
2009-05-31;32;139.9;6.1;109.5;899.4;19.3;12.6;8.2;85;7.5;3.3;
2009-06-30;23;140.1;5.4;88.9;900.2;15.6;8.8;4.1;83.4;9.3;3.4;
2009-07-31;32;142;5.5;143.8;900;15;8.4;3.8;81.8;8;3.3;
2009-08-31;36;185;4.6;228.1;900.1;19.9;12.7;7.3;73.6;8.9;3.6;
