Nome: CAXIAS DO SUL
Codigo Estacao: 83942
Latitude: -29.1961111
Longitude: -51.18638888
Altitude: 750.16
Situacao: Operante
Data Inicial: 2001-01-01
Data Final: 2025-06-30
Periodicidade da Medicao: Mensal

Data Medicao;DIRECAO PREDOMINANTE DO VENTO, MENSAL(° (gr));INSOLACAO TOTAL, MENSAL(h);NEBULOSIDADE, MEDIA MENSAL(décimos);PRECIPITACAO TOTAL, MENSAL(mm);PRESSAO ATMOSFERICA, MEDIA MENSAL(mB);TEMPERATURA MAXIMA MEDIA, MENSAL(°C);TEMPERATURA MEDIA COMPENSADA, MENSAL(°C);TEMPERATURA MINIMA MEDIA, MENSAL(°C);UMIDADE RELATIVA DO AR, MEDIA MENSAL(%);VENTO, VELOCIDADE MAXIMA MENSAL(m/s);VENTO, VELOCIDADE MEDIA MENSAL(m/s);
2001-01-31;null;null;null;null;null;null;null;null;null;null;null;
2001-02-28;32;122.8;6.9;111.5;null;27.3;22.5;19.3;81.3;null;null;
2001-03-31;36;197.9;6.2;165.3;null;26.9;21.4;18.2;82.2;null;null;
2001-04-30;36;152.9;7;255.9;null;23.8;18.8;15.5;83.6;null;null;
2001-05-31;32;138.8;6.7;108.2;null;17.5;13.4;10.7;84.4;null;null;
2001-06-30;36;174.3;5.5;113.5;null;19.4;14.2;10.7;79.7;null;null;
2001-07-31;36;165.1;5.8;242.3;null;18.9;13;9.2;77.4;null;null;
2001-08-31;36;203.4;5.3;39.6;null;23.1;17.4;13.4;72.3;null;null;
2001-09-30;36;107.1;7.9;88.8;932.5;20.1;14.7;11.5;79.9;7.3;null;
2001-10-31;36;174;6.9;120.3;931;23.4;18.1;14.5;76.5;7.3;2.3;
2001-11-30;36;197.4;6.3;214.4;929.6;24.7;19.2;15.5;78.5;5.2;2.1;
2001-12-31;18;225.4;6.1;102.3;928.9;25;19.4;15;77.7;5.2;2.3;
2002-01-31;18;220.1;6.2;159;929.3;26.2;21;17.3;75.1;5;1.9;
2002-02-28;32;214.7;5.9;119.3;930.6;25.8;20;16;76;4;1.8;
2002-03-31;36;179.8;6.7;138;930.9;27.6;22.3;18.9;81.2;5;2;
2002-04-30;36;153.5;6.8;157.2;932;23.4;18.3;14.9;83.7;6;1.8;
2002-05-31;36;150.9;6.7;130.7;932.9;20.4;16.1;13.3;85.3;7.2;1.6;
2002-06-30;36;126.7;6.9;244.9;935.7;16.9;12.7;10;85.2;5.1;1.6;
2002-07-31;36;136.9;6.5;184.9;934.7;17.3;12.4;9.1;79.2;5;1.9;
2002-08-31;36;165.9;5.8;175.5;933.4;20.2;15;11.5;76;5;2.2;
2002-09-30;36;198;5.1;160.6;932.8;19.2;13.5;9.4;74.2;5;2.1;
2002-10-31;36;132.1;7.7;302.9;929.8;23.6;18.6;14.8;80.9;5;2;
2002-11-30;32;190.8;6.7;204.2;928.4;25;19.5;15.2;75.6;5;2.1;
2002-12-31;36;177.3;6.9;248;928;25.6;20.4;16.6;78.9;5;1.8;
2003-01-31;18;251.3;5.9;152.5;927.8;26.5;21.5;17.5;76.7;3;1.9;
2003-02-28;32;164.2;6.5;307.5;928.9;27.2;22.1;18.7;79.7;7;1.8;
2003-03-31;36;221.4;6.1;139.8;930;25.6;20.1;16.8;81.5;5;1.8;
2003-04-30;36;205.1;5.2;115.2;931;22;17;13.8;78.2;5;1.8;
2003-05-31;36;200.8;5.5;78.5;931.7;19.2;14.6;11.3;75;5;2.2;
2003-06-30;36;126.7;6.9;154.5;931.3;19.6;14.9;11.8;84.7;5;1.9;
2003-07-31;36;143;6.2;165.3;933.6;17.7;12.7;9.4;80.8;5;1.8;
2003-08-31;36;215.5;5.1;62.7;934;17.8;11.9;7.9;71.8;5;2.1;
2003-09-30;36;175.8;5.9;77.7;933;20.5;14.3;9.8;null;5;1.8;
2003-10-31;36;214;5.4;192;931.5;23.1;17;12.8;null;5;2.1;
2003-11-30;36;223.6;6.3;189.6;928.1;24.4;18.4;13.8;null;7;2;
2003-12-31;36;213.3;6.2;334.9;927.8;24.4;18.8;14.7;75.6;6;2.2;
2004-01-31;36;242.7;5.8;64.2;927.5;26.7;20.9;16.9;76.1;4;2;
2004-02-29;14;238.7;5.1;78.6;929.7;25.5;19.8;16.1;75.6;4;1.9;
2004-03-31;14;246.6;5.2;39.4;930.1;25;19.3;15.5;76;4;1.9;
2004-04-30;36;213.6;5;77.2;929.9;24.6;19.2;15.5;77.1;5;1.8;
2004-05-31;18;130.9;7.1;204.4;932.1;16.4;12.3;9.7;88;5;1.5;
