Nome: CRUZ ALTA
Codigo Estacao: 83912
Latitude: -28.6261111
Longitude: -53.61388888
Altitude: 475.52
Situacao: Operante
Data Inicial: 2001-01-01
Data Final: 2025-06-30
Periodicidade da Medicao: Mensal

Data Medicao;DIRECAO PREDOMINANTE DO VENTO, MENSAL(° (gr));INSOLACAO TOTAL, MENSAL(h);NEBULOSIDADE, MEDIA MENSAL(décimos);PRECIPITACAO TOTAL, MENSAL(mm);PRESSAO ATMOSFERICA, MEDIA MENSAL(mB);TEMPERATURA MAXIMA MEDIA, MENSAL(°C);TEMPERATURA MEDIA COMPENSADA, MENSAL(°C);TEMPERATURA MINIMA MEDIA, MENSAL(°C);UMIDADE RELATIVA DO AR, MEDIA MENSAL(%);VENTO, VELOCIDADE MAXIMA MENSAL(m/s);VENTO, VELOCIDADE MEDIA MENSAL(m/s);
2001-01-31;14;170.3;7.4;273.3;null;29.3;22.9;18.7;79.4;null;null;
2001-02-28;14;164.9;7.3;100.5;null;null;null;19.5;81.8;null;null;
2001-03-31;14;214.8;6.1;97.1;null;null;null;18.7;77.2;null;null;
2001-04-30;14;162.6;6.1;142.1;null;null;null;15.8;81.1;null;null;
2001-05-31;9;157.1;5.8;156.3;null;null;null;10;82;null;null;
2001-06-30;36;148.5;5;81.8;null;20.7;13.9;10;82.8;null;null;
2001-07-31;14;150.6;5.5;95.7;null;20.6;13.7;8.4;80.4;null;null;
2001-08-31;9;217.3;4.8;53.7;null;24.7;17.7;12.3;75.1;null;null;
2001-09-30;9;114.8;7.4;68;963.9;21.2;16;11.8;79.5;5.2;null;
2001-10-31;14;208.8;6.2;202;961;26.7;19.7;14.2;73.9;6.2;2.1;
2001-11-30;14;231.9;5.3;116;959.1;27.9;21.3;16.2;73;4.1;2.1;
2001-12-31;14;242.7;5.4;64;958.9;29.2;22.4;17.1;70.8;3.1;1.9;
2002-01-31;14;252.1;5.1;175.7;959;29.6;23.2;17.8;69.4;4;2.1;
2002-02-28;9;244.3;5;101.8;961.4;28;22;17;73.9;6;1.9;
2002-03-31;14;193.7;5.8;164.9;961;30;23.7;19.3;79.6;5;1.9;
2002-04-30;14;161.2;6.1;236.6;962.4;26.2;20.1;15.7;78.7;4;2;
2002-05-31;14;154.4;5.7;184.4;963.2;22.9;17.5;14.4;83.4;5.1;2;
2002-06-30;14;131.5;6.3;215;966;18.6;13.3;10.4;83.2;4.1;2.1;
2002-07-31;14;125;6.2;290.4;966;17.9;12.7;8.7;83.1;4;1.8;
2002-08-31;14;152.6;6;365;963.4;20.9;15.2;10.7;81.4;5;2.1;
2002-09-30;14;203.7;4.4;266.9;963.3;21.4;15.1;9.7;78.2;4;2.1;
2002-10-31;14;116.6;8.1;578.6;960.5;24.6;19.6;15.1;84.3;5;2.1;
2002-11-30;14;192.7;6.2;267.3;960;27.7;21.3;15.4;76.4;4;2;
2002-12-31;14;197.5;6.8;451.4;959.3;29;22.9;17.8;78.7;5;1.9;
2003-01-31;14;269.8;4.7;184.7;959.5;30.6;24.2;18.8;76.5;3;1.9;
2003-02-28;36;199.8;6.2;264;960.7;29.1;23.5;19.1;80.6;4;1.8;
2003-03-31;14;199.3;5.4;256.6;961.7;28.2;21.9;17.4;83.8;4;2;
2003-04-30;14;214.5;3.9;146.4;963.5;25.3;18.6;13.5;78.1;4;1.8;
2003-05-31;27;211.5;4.4;61.1;965.5;22.9;15.7;10.9;77.4;3;1.7;
2003-06-30;36;117.1;6.5;95.9;964.9;21.9;16.5;12.6;85.4;5;1.6;
2003-07-31;9;152.6;6.2;165.1;967.3;19.6;13.6;9.6;82.7;5;2;
2003-08-31;14;226;4.4;70.4;968.2;20;12.9;7.8;75.6;4;2.2;
2003-09-30;14;194.2;4.8;97.9;966.2;23.1;16.2;11.1;null;4;2.2;
2003-10-31;9;211.5;4.8;208.3;963.9;26.6;19.7;14.3;null;4;2.1;
2003-11-30;9;212.7;5.1;232.3;958.5;27.6;20.8;15;null;8;2.2;
2003-12-31;14;227.4;6.1;328.3;957.4;27.5;21.4;16.3;70.1;4;1.8;
2004-01-31;14;286.3;5;70.6;956.9;30.4;23.6;18.1;70.1;7;1.4;
2004-02-29;14;278.4;3.6;99.3;959.5;28.9;22.2;16.9;65.4;3;1.6;
