Nome: ENCRUZILHADA DO SUL
Codigo Estacao: 83964
Latitude: -30.54305555
Longitude: -52.52472221
Altitude: 427.75
Situacao: Fechada
Data Inicial: 2001-01-01
Data Final: 2021-07-24
Periodicidade da Medicao: Mensal

Data Medicao;DIRECAO PREDOMINANTE DO VENTO, MENSAL(° (gr));INSOLACAO TOTAL, MENSAL(h);NEBULOSIDADE, MEDIA MENSAL(décimos);PRECIPITACAO TOTAL, MENSAL(mm);PRESSAO ATMOSFERICA, MEDIA MENSAL(mB);TEMPERATURA MAXIMA MEDIA, MENSAL(°C);TEMPERATURA MEDIA COMPENSADA, MENSAL(°C);TEMPERATURA MINIMA MEDIA, MENSAL(°C);UMIDADE RELATIVA DO AR, MEDIA MENSAL(%);VENTO, VELOCIDADE MAXIMA MENSAL(m/s);VENTO, VELOCIDADE MEDIA MENSAL(m/s);
2001-01-31;14;191.2;6.2;185;null;29.1;22.7;18.4;77.9;null;null;
2001-02-28;14;170.7;6.6;117.5;null;29.7;23.5;20;81.6;null;null;
2001-03-31;14;169.2;5.9;165.5;null;28.6;22.7;19.3;81.9;null;null;
2001-04-30;14;127.2;5.9;231;null;23.9;18.6;15.7;85.1;null;null;
2001-05-31;14;126.6;5.4;78.5;null;19;14.1;11.2;85.5;null;null;
2001-06-30;14;130.8;5.6;130.2;null;19.3;14.1;11.1;84.9;null;null;
2001-07-31;null;null;null;null;null;null;null;null;null;null;null;
2001-08-31;5;161.2;4.8;59.6;null;23.5;17.4;13.2;75.7;null;null;
2001-09-30;14;null;7.2;95;967.1;19.5;14.9;11.9;80.6;5.2;null;
2001-10-31;14;164.8;6.3;188.7;965.6;24;18.6;15.2;78.6;5.2;1.6;
2001-11-30;14;212.2;4.8;131.8;964.2;25.8;19.7;15.4;73.9;6.2;1.6;
2001-12-31;14;null;4.4;46.6;963.1;27;20.7;16.3;75.4;5.2;2;
2002-01-31;14;227.9;4.8;120.7;963.3;28.5;22.5;18.1;71.3;7;1.9;
2002-02-28;14;216.5;3.9;128;964.6;27.5;21.3;17.2;74.6;5;1.5;
2002-03-31;14;133.6;6;230.1;964.6;28.4;23.1;19.6;82.8;5;1.4;
2002-04-30;14;111;6.1;227.1;965.9;22.7;17.8;14.8;83.5;5;1.3;
2002-05-31;14;117.3;5.4;174.5;966.7;21.2;16.6;14;85.1;6.2;1.3;
2002-06-30;14;122.6;5;257.6;970;16.9;12.1;9.1;83.6;6.2;1.3;
2002-07-31;14;119.2;6;274.8;969.8;16.8;12.1;8.9;81;7;1.4;
2002-08-31;14;108.1;5.7;188.2;967.9;19.1;14.3;10.9;78.3;5;1.7;
2002-09-30;14;146.9;4.3;225.8;967.7;19.4;13.8;9.6;73.4;5;1.5;
2002-10-31;14;115;7.1;282;964.6;23.6;18.5;14.9;81.4;5.1;1.5;
2002-11-30;14;139.3;5.7;193.5;964.1;25.5;20.1;15.9;74.2;7;1.8;
2002-12-31;14;131.4;6.1;320.6;963.7;26.9;21.2;17.5;75.9;7;1.6;
2003-01-31;14;237.7;3.8;110.5;963.5;29.7;23.1;18.2;69;3;1.3;
2003-02-28;32;156.4;5.5;156;963.8;28.5;23.3;19.3;75.6;3;1.1;
2003-03-31;14;196.1;4.8;139.6;966;26.8;21.3;17.6;79.5;7;1.2;
2003-04-30;14;140.6;4.8;120.8;967.3;23;17.6;14.3;77.8;6;1.5;
2003-05-31;5;138;5.2;156.6;967.9;20.2;15.2;11.8;77.6;5;1.4;
2003-06-30;14;58.5;7.5;189.6;967.3;18;14;11.3;88.6;7;1.2;
2003-07-31;14;109.1;5.6;207.5;969.9;17.1;12.4;8.8;80.6;5;1.3;
2003-08-31;14;144.6;4.8;63.9;970.2;18.2;12.1;7.9;73;7;1.6;
2003-09-30;14;154.5;5.1;50.1;968.8;20.4;14;9.6;72.3;5;1.7;
2003-10-31;14;214.1;4.6;192.3;966.8;24.1;17.7;13.1;70.3;5;1.4;
2003-11-30;14;185.2;5.2;173.4;963.5;25.4;19.2;14.3;71.1;7;1.7;
2003-12-31;14;215.4;4.8;185.8;963.3;25.8;19.9;15.2;68.9;5;1.5;
2004-01-31;14;229.4;4.6;128.4;963.2;29.3;22.5;18;72.6;5;1.4;
2004-02-29;14;258;3.4;72.6;965.7;27.9;21.5;17.1;69;5;1.4;
2004-03-31;14;240;3.5;18.2;966.1;28;21;16.6;72.8;3;1.5;
