Nome: PASSO FUNDO
Codigo Estacao: 83914
Latitude: -28.2286111
Longitude: -52.41194444
Altitude: 684.05
Situacao: Operante
Data Inicial: 2001-01-01
Data Final: 2025-06-30
Periodicidade da Medicao: Mensal

Data Medicao;DIRECAO PREDOMINANTE DO VENTO, MENSAL(° (gr));INSOLACAO TOTAL, MENSAL(h);NEBULOSIDADE, MEDIA MENSAL(décimos);PRECIPITACAO TOTAL, MENSAL(mm);PRESSAO ATMOSFERICA, MEDIA MENSAL(mB);TEMPERATURA MAXIMA MEDIA, MENSAL(°C);TEMPERATURA MEDIA COMPENSADA, MENSAL(°C);TEMPERATURA MINIMA MEDIA, MENSAL(°C);UMIDADE RELATIVA DO AR, MEDIA MENSAL(%);VENTO, VELOCIDADE MAXIMA MENSAL(m/s);VENTO, VELOCIDADE MEDIA MENSAL(m/s);
2001-01-31;5;175.8;7.6;212.5;null;27.6;22;18.6;81.4;null;null;
2001-02-28;0;146.6;7.3;196.5;null;28.4;22.7;19.4;83;null;null;
2001-03-31;5;217.2;6.2;110.5;null;28.2;22;18;77.5;null;null;
2001-04-30;5;156.8;6.6;118.4;null;26;19.9;16.2;77.9;null;null;
2001-05-31;5;169;6.2;164.6;null;18.9;13.6;10.2;80.7;null;null;
2001-06-30;5;186.3;5.2;106.5;null;20.2;13.5;9.7;77.4;null;null;
2001-07-31;5;184;5.8;103.5;null;20;13.3;9;75.4;null;null;
2001-08-31;5;218.7;4.7;28.1;null;22.9;16.9;12.4;72.3;null;null;
2001-09-30;5;129.3;7.2;99.6;938.4;20.2;15.3;12;77.1;19;6.6;
2001-10-31;5;196.9;6.1;231.4;936.5;24.9;18.6;14;72;19;4.9;
2001-11-30;14;235.2;5.8;85.5;935.2;27.8;21;15.9;68.9;16;4.1;
2001-12-31;14;274.6;5.5;147.3;934.5;27.8;21.1;15.5;70.3;16;3.5;
2002-01-31;14;242.8;5.8;96;935.2;28;21.7;16.8;70.7;8.3;3.7;
2002-02-28;0;238.8;5.5;76.7;936.2;27.4;20.9;15.9;70.8;7.5;3;
2002-03-31;5;206.1;6.3;356.8;936.7;28.9;22.6;18.6;79.4;10;3.2;
2002-04-30;5;176.7;6.8;135.9;938;25.7;19.6;15.6;77;8.3;3.5;
2002-05-31;5;171.4;6.1;140.4;938.8;22.5;16.7;13.1;81.2;6.2;3;
2002-06-30;5;125.4;6.9;219;941.2;18.3;13.1;9.6;83;9.8;3.9;
2002-07-31;5;151.7;5.9;146.3;940.9;17.9;12.4;8.7;82.1;9.3;3.7;
2002-08-31;5;149.3;6.1;233.8;939.4;20.3;15.2;11.5;78.8;8.6;4;
2002-09-30;5;186.1;5;253.6;939;19.9;14;9.2;73.4;8.3;3.7;
2002-10-31;5;110.4;7.9;372.3;936.3;24;18.8;14.9;82.7;8.2;4.3;
2002-11-30;5;174;6.9;205;936;26.4;20.1;15.2;71.9;8.3;4.3;
2002-12-31;14;189.4;6.7;329.5;935.4;27.2;21.5;16.8;75.2;8;3.7;
2003-01-31;14;257;5.5;176.2;935.1;28.7;22.5;17.4;72.9;8.3;3.4;
2003-02-28;5;179.3;6;265.7;936.4;28;22.2;17.8;78.9;11.6;3;
2003-03-31;5;195.1;6;128.3;937.6;26.6;20.5;16.3;80.3;6.7;3;
2003-04-30;5;219.7;4.6;114.3;938.9;24.4;17.7;13;72.7;10;3.1;
2003-05-31;5;220.1;5.1;107.3;940.1;21;14.5;10.2;71.2;10;3.2;
2003-06-30;5;120.3;6.7;152.6;939.6;20.8;15.5;11.9;80.5;9.5;3.1;
2003-07-31;5;169.2;6.1;100.6;941.8;19.7;13.3;8.9;77.6;9.3;3.2;
2003-08-31;5;221.8;4.6;57.5;942.3;19;12.2;7.7;66.8;8.3;3.4;
2003-09-30;5;195.5;5.2;64;940.2;22.5;15.5;10.8;68.8;9;3.6;
2003-10-31;5;220.3;5.5;237.1;938.3;25.2;18.6;13.3;68.4;8.1;3.6;
2003-11-30;14;214.7;6;168.2;935;26.5;19.4;13.8;63.6;8.3;3.7;
2003-12-31;5;220.3;6.2;391.5;935;26.5;20.2;15.4;71.5;9.1;3.8;
2004-01-31;5;285.5;5.3;97.5;934.4;28.2;21.7;16.6;72.5;7;3.4;
2004-02-29;14;287;4.2;123;936.8;27;20.5;15.1;68.2;7.5;3.4;
2004-03-31;14;261.9;3.9;26.7;936.9;28.3;20.6;15.1;66.8;7;3.5;
2004-04-30;5;217.6;5;142.3;937.1;26.9;20.2;15.1;69;8.3;3.2;
2004-05-31;14;139.1;6.9;222.4;939.9;18.1;13.1;9.6;82.9;7.5;3;
2004-06-30;5;182;5.1;133.5;941.1;20.2;14.1;10.4;78;9.6;3.4;
2004-07-31;5;172.3;5.4;88.8;941;17.1;11.7;8.2;76.4;10;4.2;
2004-08-31;5;198.3;5.3;53;941.7;20.9;14;9.2;70.1;8.3;3.3;
2004-09-30;5;162.5;5.6;234.3;938.8;23;17;12.8;75.1;9.3;3.9;
2004-10-31;14;258.4;4.4;193.2;936.8;24.2;17.2;12.1;65.8;9.3;3.7;
2004-11-30;5;221.8;5.8;121.9;935.1;25.8;19.4;14.3;66.6;8.3;3.7;
2004-12-31;14;266.1;5.4;67.3;935.5;28.2;21.5;16.3;63.5;10;3.8;
2005-01-31;14;271.8;4.9;104.5;933.9;30.3;23.4;18.1;64.5;7;3.7;
2005-02-28;14;245.4;5.5;28.1;935.5;30.1;23;17.7;61.5;7.6;3.3;
2005-03-31;14;238.7;4.9;88.3;936.7;29.3;22.2;17;62.1;9.1;3.2;
2005-04-30;5;140.2;6.9;291.9;938.8;23.1;17.8;14.4;80.3;8.6;3;
2005-05-31;5;168.1;5.4;317;938.4;21.3;16.1;12.7;77.5;10.8;3.5;
2005-06-30;5;125.3;6.7;273.1;940.2;20.3;15.6;12.7;83.5;5.8;3.1;
2005-07-31;5;216.4;4.1;83.7;942.3;17.7;11.9;8;74.6;8.3;4;
2005-08-31;5;182.6;5;135.4;939.4;21.4;14.9;10.7;73;12.3;4.5;
2005-09-30;5;142.6;6.4;152.7;940.1;17.4;12.6;8.9;77.8;11;4.7;
2005-10-31;14;162.7;7.2;384.8;936.8;23.8;17.9;14;77;8.3;3.7;
2005-11-30;14;268.3;4.8;146;935.7;27.7;20.6;15.2;63.1;9.6;3.9;
2005-12-31;14;280.8;4.9;81.6;934.9;28;21.2;15.8;62.8;9;3.6;
2006-01-31;14;234.3;6.3;132.4;935.8;29.2;23.1;18.5;73.4;6.6;3.3;
2006-02-28;5;226.4;5.7;111.1;934.6;28;21.6;17.3;74;6.6;3.1;
2006-03-31;5;212.2;5.2;164.6;936;26.8;20.9;16.7;74.8;6.6;3.1;
2006-04-30;5;236.8;4.1;55;937.9;24;17.3;12.6;70.2;6.6;2.9;
2006-05-31;14;228;4;36.8;941.2;19.4;13;8.9;74;6.6;3.3;
2006-06-30;5;169.6;5.1;167.5;940.7;20;14.3;10.7;79;10.3;3.9;
2006-07-31;5;181.4;4.7;147.9;940.2;20;14.6;11;79;9.3;3.2;
2006-08-31;5;209.4;4.6;132.2;938.9;20.1;14;9.3;68.8;11.6;3.9;
2006-09-30;5;192.6;5.3;112.8;938.6;21.3;14.8;9.9;67.6;11.6;4.1;
2006-10-31;5;229.6;5.6;94.9;936.3;26.8;19.7;14.4;68.1;8.3;3.9;
2006-11-30;14;230.2;5.4;311.9;935.7;26.4;19.9;14.8;66.1;10;4.1;
2006-12-31;5;270.7;5.2;106.3;935;30;23.5;18.1;65.2;8.6;3.2;
2007-01-31;5;231.2;6.2;260.7;934.1;27.8;22.3;18.1;77.1;7;3.6;
2007-02-28;5;222.2;5.7;126.8;935.6;27.5;21.8;17.5;75.6;8;3.5;
2007-03-31;0;190.4;6.7;198.7;936.8;28.2;22.2;18.1;77.6;8;2.9;
2007-04-30;5;191.6;5.1;254.5;938.6;25.4;19.4;15.3;75.6;7;3.2;
2007-05-31;5;163.9;6.4;295.3;939.8;17.7;12.6;9.1;79.1;9.1;3.8;
2007-06-30;36;110.1;7;68.3;938.9;19.1;13.8;10.2;75.7;9.3;3.4;
2007-07-31;5;174.5;5.4;325.7;939.2;16.2;10.6;6.4;76.1;10;3.9;
2007-08-31;5;154.5;6.1;128.7;940.1;19.2;13;8.7;77.4;10;4.8;
2007-09-30;9;169.2;5.2;268.6;940.1;23.4;17.8;13.5;71;10;4.1;
2007-10-31;5;131.5;7.6;293.5;936.7;24;18.8;14.8;76.5;9;4.3;
