Nome: PELOTAS
Codigo Estacao: 83985
Latitude: -31.78333333
Longitude: -52.41666666
Altitude: 13
Situacao: Operante
Data Inicial: 2001-01-01
Data Final: 2025-06-30
Periodicidade da Medicao: Mensal

Data Medicao;DIRECAO PREDOMINANTE DO VENTO, MENSAL(° (gr));INSOLACAO TOTAL, MENSAL(h);NEBULOSIDADE, MEDIA MENSAL(décimos);PRECIPITACAO TOTAL, MENSAL(mm);PRESSAO ATMOSFERICA, MEDIA MENSAL(mB);TEMPERATURA MAXIMA MEDIA, MENSAL(°C);TEMPERATURA MEDIA COMPENSADA, MENSAL(°C);TEMPERATURA MINIMA MEDIA, MENSAL(°C);UMIDADE RELATIVA DO AR, MEDIA MENSAL(%);VENTO, VELOCIDADE MAXIMA MENSAL(m/s);VENTO, VELOCIDADE MEDIA MENSAL(m/s);
2001-01-31;5;236.2;7.6;143.4;null;28.8;24;20.1;79.4;null;null;
2001-02-28;9;170.7;6.3;173.1;null;29.1;24.6;21.5;82.1;null;null;
2001-03-31;9;172.5;6.9;null;null;28.1;23.7;20.9;86.7;null;null;
2001-04-30;23;162.1;6.8;null;null;23.8;19.4;16.4;85.8;null;null;
2001-05-31;23;105.3;7.4;null;null;19.5;15.5;12.7;89.5;null;null;
2001-06-30;23;102.8;7.8;null;null;19.3;14.8;12.1;90.2;null;null;
2001-07-31;23;136.1;7.2;null;null;18;13.2;9.7;87.2;null;null;
2001-08-31;5;174;6.2;null;null;22.3;16.6;13;87.3;null;null;
2001-09-30;null;null;null;0;null;null;null;null;null;null;null;
2001-10-31;null;null;null;0;null;null;null;null;null;null;null;
2001-11-30;9;236.5;6.1;0;null;24.7;20;16;78.8;null;null;
2001-12-31;9;271.7;6.3;0;null;25.5;21.1;17.8;79.2;null;null;
2002-01-31;9;236.5;7.1;177.1;1010.8;28;23.3;19.8;79.9;10;3.9;
2002-02-28;9;211.5;5.7;138.9;1012.2;26.9;22.1;18.4;80.5;9;2.9;
2002-03-31;5;130.7;7.8;343.2;1011.6;28.4;24;21.2;87.2;6.5;2.5;
2002-04-30;5;134.5;7;253.6;1013.9;22.6;19;16.1;86.3;8.5;2.9;
2002-05-31;23;181.6;6.2;128.8;null;22.3;null;14.1;null;null;null;
2002-06-30;23;166.3;5.9;144.2;null;18.1;null;9.7;null;null;null;
2002-07-31;27;146.2;6.7;109.8;1018;16.9;12.5;9.3;85.4;13;2.9;
2002-08-31;5;163.1;6.9;187.2;1016;18.6;14.5;11.5;87.8;10.5;3.1;
2002-09-30;23;189.5;6.5;179.2;1015.3;18.4;14.3;10.9;86.5;9;3.6;
2002-10-31;5;145.2;7.8;193.1;1015;23.2;19.7;17;86.3;13;3.9;
2002-11-30;5;205;6.7;118.6;1011.2;25.1;21;17.6;78.6;17;4.6;
2002-12-31;9;205.7;7;340.6;1010.8;25.5;22.1;19;82.1;13;4.9;
2003-01-31;9;328.8;5.1;28.8;1010.2;28.6;23.9;19.5;74.2;12;5;
2003-02-28;5;213.5;6.1;295.8;1009.8;29;24.2;20.6;81.1;10.4;3.5;
2003-03-31;9;192.1;6.3;143.8;1013.2;26.5;22.4;19.1;86.9;8.5;3.3;
2003-04-30;23;180.5;5.7;150.4;1014.6;22.5;18;14.6;86.1;13;2.6;
2003-05-31;23;176.1;6.8;60.6;1015.4;20.9;16.1;12.9;85.6;13.5;4.2;
2003-06-30;23;86.2;8.3;246.2;1016.1;18.1;14.4;11.9;91.1;12;2.7;
2003-07-31;23;154.6;6.8;97.4;null;17.8;12.5;9;85;11.6;2.8;
2003-08-31;23;184.8;6.4;93.4;1019.3;18;12.4;8.5;82.4;12;3.7;
2003-09-30;5;179.6;6.3;115.5;1017.8;19.5;14.2;10.3;83.8;8.3;3.7;
2003-10-31;5;219.2;6.2;48.2;1015.2;23.2;18.1;14.4;79.3;9;3.9;
2003-11-30;5;236.4;6.2;104.8;1011.1;24.8;19.9;15.9;78.9;11.3;4.2;
2003-12-31;5;263.7;6;82.1;1011;25.5;20.6;16.6;76;12.8;5.1;
2004-01-31;9;233.8;7.1;67.2;1010.7;27.8;23;19.4;82.8;11;4;
2004-02-29;9;262.3;5.2;71;1012.8;28.1;22.5;18.4;77.4;8.4;3.9;
2004-03-31;9;238.6;5.7;47.2;1014.1;27.2;21.8;17.8;80.4;13;4;
2004-04-30;9;183.9;6.4;132;1013.2;25.5;20.1;16.4;84;11;3.7;
2004-05-31;23;145.2;7.1;491.4;1018;18.7;14.7;12;89.5;10;3.3;
