Nome: PORTO ALEGRE
Codigo Estacao: 83967
Latitude: -30.05361111
Longitude: -51.17472221
Altitude: 41.18
Situacao: Operante
Data Inicial: 2001-01-01
Data Final: 2025-06-30
Periodicidade da Medicao: Mensal

Data Medicao;DIRECAO PREDOMINANTE DO VENTO, MENSAL(° (gr));INSOLACAO TOTAL, MENSAL(h);NEBULOSIDADE, MEDIA MENSAL(décimos);PRECIPITACAO TOTAL, MENSAL(mm);PRESSAO ATMOSFERICA, MEDIA MENSAL(mB);TEMPERATURA MAXIMA MEDIA, MENSAL(°C);TEMPERATURA MEDIA COMPENSADA, MENSAL(°C);TEMPERATURA MINIMA MEDIA, MENSAL(°C);UMIDADE RELATIVA DO AR, MEDIA MENSAL(%);VENTO, VELOCIDADE MAXIMA MENSAL(m/s);VENTO, VELOCIDADE MEDIA MENSAL(m/s);
2001-01-31;null;null;null;237.7;null;30.7;null;21.4;null;null;null;
2001-02-28;null;null;null;102.5;null;30.6;null;22.6;null;null;null;
2001-03-31;null;null;null;122.2;null;30.4;null;21.9;null;null;null;
2001-04-30;null;null;null;294.9;null;25.9;null;18;null;null;null;
2001-05-31;null;null;null;44.5;null;21.1;null;13.7;null;null;null;
2001-06-30;null;null;null;98.5;null;21.8;null;12.8;null;null;null;
2001-07-31;null;null;null;194.5;null;20.6;null;11.1;null;null;null;
2001-08-31;null;null;null;32.6;null;25;null;14.4;null;null;null;
2001-09-30;null;null;null;159;1012.3;22.4;null;14.3;null;7.3;null;
2001-10-31;14;null;6.7;143.1;1009.5;26.8;21.3;17.4;76.2;7.8;2.4;
2001-11-30;14;null;5.8;182.7;1008.3;27.4;22;17.5;75;6.7;2.2;
2001-12-31;14;null;6;76.5;1006.9;28.7;22.8;18.8;76.4;9.2;2.2;
2002-01-31;14;210.4;5.9;72.4;1006.9;30.4;25;20.9;70.3;5;1.7;
2002-02-28;14;215;5.2;83;1008.1;30.1;23.9;19.7;71.1;5.1;1.7;
2002-03-31;18;174.3;5.9;152.2;1007.9;31.3;25.8;22.1;77;6.6;1.4;
2002-04-30;14;144.8;6.1;139.4;1010.4;25.5;20.8;17.6;80.2;6.1;1.5;
2002-05-31;0;114.3;6.3;151.8;1012;23.8;18.9;16;84.8;4.6;1.1;
2002-06-30;0;121.6;6.1;178.8;1014.4;19.9;14.9;11.6;84.2;5.1;1.2;
2002-07-31;9;121;6.1;186.6;1014.9;19.1;14;10.9;83.6;7.6;1.6;
2002-08-31;9;146.7;5.8;154.3;1012.7;21.9;16.8;13.3;82;9.3;1.6;
2002-09-30;14;175.8;5;167.8;1012.5;21.2;15.7;11.6;76.7;6;1.7;
2002-10-31;14;134;7.6;177.5;1008.7;25.4;20.9;17.5;80.2;6.2;1.9;
2002-11-30;9;201.5;6;117.5;1008.1;27.4;22.2;18.3;73.8;8.2;2.4;
2002-12-31;18;172.2;6.7;137.2;1007.5;29;23.7;19.8;75.5;6.2;1.9;
2003-01-31;9;268;4.4;130.9;1006.8;31;25.1;20.7;70.3;4.6;1.8;
2003-02-28;9;188.7;5.9;199.2;1007.2;31.3;25.6;22;75.2;5.7;1.5;
2003-03-31;14;211.2;5.3;108.2;1009.2;29.5;23.9;20.2;77.1;3.6;1.5;
2003-04-30;18;166.5;5.4;88.9;1011.8;25.2;19.9;16.3;78.2;6.7;1.4;
2003-05-31;0;170.1;5.5;46;1012.2;23.2;17.3;13.8;78.7;8.2;1.6;
2003-06-30;0;91.6;7.4;167;1012.7;20.8;16.5;14.1;85.9;4.1;1;
2003-07-31;0;134.8;6.7;159.1;1016;20;14.6;11.4;82.3;6.7;1.2;
2003-08-31;0;185;5;57.8;1016.6;20.4;14.2;9.9;74.5;6.2;1.5;
2003-09-30;18;157.8;5.9;56.2;1014.7;22.5;16.2;12.2;75.4;5.7;1.7;
2003-10-31;9;209.9;5.3;190.2;1012;26;20;15.8;73;5.7;1.7;
2003-11-30;9;207.5;5.6;137.2;1007.9;27.5;21.6;17.3;71.4;8.7;1.8;
2003-12-31;9;204.2;5.6;185;1007.5;27.8;22.4;18.5;70.3;8.2;2;
2004-01-31;14;225.8;5.7;58.1;1006;30.8;24.7;20.5;72.7;5;1.8;
2004-02-29;14;246.8;4.6;87;1008.4;29.3;23.7;19.6;71.9;4;1.4;
2004-03-31;9;225.3;4.3;27.4;1009.3;28.9;22.9;18.8;74.1;4.3;1.6;
2004-04-30;9;187.9;4.7;64.9;1009;28.5;22.1;18.2;76.5;4.6;1.5;
2004-05-31;0;139.3;6.4;186.7;1013.5;20.7;15.9;13.1;85.6;13.3;1.6;
2004-06-30;0;140.7;5.5;102.7;1014;21.6;15.9;12.4;84.3;5.6;1;
2004-07-31;0;159.9;4.5;141.8;1014.9;19.5;13.5;9.7;81.6;7.3;1.1;
2004-08-31;0;164;5.5;71.5;1014.8;21.4;15.4;11.1;79.4;5.6;1.1;
2004-09-30;14;126.5;7;193.3;1011.6;24;18.5;14.8;81.3;6.3;1.5;
2004-10-31;14;251.6;4.1;76.2;1009.6;25.1;18.8;14.1;71.2;5.6;1.9;
2004-11-30;9;197.4;5.8;117.6;1007.1;26.6;21.1;17;74.6;5;1.7;
2004-12-31;9;239;4.6;33.7;1007.5;29.2;23.1;18.8;69.2;8;2.4;
2005-01-31;9;278;4.4;28.8;1005.4;32.2;25.4;20.7;68;6.6;1.8;
2005-02-28;14;208.7;6.1;41;1007.2;30.5;24.5;20.8;72.6;4.5;1.8;
2005-03-31;14;209.9;4.6;141.3;1008.6;29.8;23.8;19.8;73;6.3;1.5;
