Nome: SANTA MARIA
Codigo Estacao: 83936
Latitude: -29.72472221
Longitude: -53.72055554
Altitude: 103.1
Situacao: Operante
Data Inicial: 2001-01-01
Data Final: 2025-06-30
Periodicidade da Medicao: Mensal

Data Medicao;DIRECAO PREDOMINANTE DO VENTO, MENSAL(° (gr));INSOLACAO TOTAL, MENSAL(h);NEBULOSIDADE, MEDIA MENSAL(décimos);PRECIPITACAO TOTAL, MENSAL(mm);PRESSAO ATMOSFERICA, MEDIA MENSAL(mB);TEMPERATURA MAXIMA MEDIA, MENSAL(°C);TEMPERATURA MEDIA COMPENSADA, MENSAL(°C);TEMPERATURA MINIMA MEDIA, MENSAL(°C);UMIDADE RELATIVA DO AR, MEDIA MENSAL(%);VENTO, VELOCIDADE MAXIMA MENSAL(m/s);VENTO, VELOCIDADE MEDIA MENSAL(m/s);
2001-01-31;14;164.6;7.7;null;null;30.1;24.5;20.5;80.4;null;null;
2001-02-28;14;171.6;6.8;124.8;null;31.5;25.6;21.8;80.6;null;null;
2001-03-31;14;191.3;6.4;144.1;null;30.4;24.3;20.6;84.5;null;null;
2001-04-30;14;138.4;7.3;252.6;null;26.4;20.4;17.4;86.5;null;null;
2001-05-31;14;154.9;6;null;null;21.1;15.6;11.7;84.9;null;null;
2001-06-30;14;137.8;6.5;179.5;null;20.9;15.3;11.9;84.4;null;null;
2001-07-31;14;133.8;6.2;201.5;null;20.3;14.8;10.8;81.9;null;null;
2001-08-31;14;199.9;5.5;68.5;null;26;18.8;13.5;75.3;null;null;
2001-09-30;14;116.1;7.9;94.4;1004.6;22.5;17.1;13.4;81;4.7;null;
2001-10-31;14;175.4;6.5;141.6;1002.1;26.6;20.7;16.3;77.6;5.2;2.2;
2001-11-30;14;220.3;5.7;94.5;1000.9;28.2;22;16.9;76.3;5.2;2.2;
2001-12-31;14;254.1;5.5;71.8;999.9;29.2;23;17.6;72.2;7.3;2;
2002-01-31;14;272.9;5.4;111.8;1000.1;31.4;25;19.9;67.4;8.6;2.2;
2002-02-28;14;234.7;4.4;101.2;1001.2;29.9;23.4;18.3;73.9;5;1.9;
2002-03-31;32;148.3;7.4;252.1;1000.7;30.9;25.3;21.5;81.3;5.8;2;
2002-04-30;14;132.8;7;183.7;1003.3;24.8;19.7;16.1;85.2;5.6;1.6;
2002-05-31;14;134.3;6.7;204.6;1004.6;23.4;18.3;15;85.3;7.2;1.6;
2002-06-30;14;116.2;6;175.1;1008.4;18.6;13.8;10.5;84.4;10.8;2;
2002-07-31;5;119.3;6.4;238.3;1007.9;19;13.4;9.6;85.3;5;1.7;
2002-08-31;14;141;6.1;283.8;1005.6;21.5;16.3;12.6;81.7;8.6;2.2;
2002-09-30;14;188;4.8;306.8;1005.5;21.4;15.4;10.3;81.2;5.3;2;
2002-10-31;14;111.3;7.7;349.8;1001.5;25.7;20.8;17;81.7;5.8;2.3;
2002-11-30;14;176;5.8;243.4;1000.9;27.9;22.2;17.7;74.3;6.6;2.3;
2002-12-31;14;198.7;6.3;232.8;999.9;29.8;24;18.9;74.8;5.3;2;
2003-01-31;14;281.6;5.2;177.8;999.1;31.7;25.3;19.9;73.7;6.6;1.8;
2003-02-28;32;180.7;5.9;204.7;999.8;30.6;25.2;20.9;80.7;6.6;1.7;
2003-03-31;14;179.5;6.4;342.4;1002.2;28.2;22.5;18.9;87.9;5;1.6;
2003-04-30;14;176.8;5.3;190;1004.1;25;18.7;14.3;85.2;4.1;1.6;
2003-05-31;23;184.9;5.8;69.1;1005.4;23.4;16.5;12.1;80.6;8.3;1.7;
2003-06-30;9;89.4;7.6;170.5;1004.9;20.6;16;12.9;88.1;6.3;1.6;
2003-07-31;14;136.1;6.5;112.8;1007.9;19.1;13.5;9.6;83.5;6;1.7;
2003-08-31;9;194.2;5.3;73.9;1008.7;20.6;13.5;8.4;76.7;5.6;1.8;
2003-09-30;14;155.1;6.3;57.2;1006.2;22.6;15.9;10.8;76.8;8.6;2.2;
2003-10-31;14;213;5.4;193.4;1003.4;26.9;20.1;14.8;75.5;7.5;2.3;
2003-11-30;14;216.9;6.1;228.6;1000.1;28;21.6;16.6;72;6;1.9;
2003-12-31;14;239.4;5.9;357.3;999.8;27.7;22;17.3;75.6;4.5;1.9;
2004-01-31;14;272.7;5.9;21.7;999.1;31.7;25.1;19.9;74.2;4.6;2;
2004-02-29;18;264.8;4.5;110.8;1001.8;30;23.3;17.9;71.8;6.3;1.8;
2004-03-31;9;224.6;4.9;94.1;1002.3;30.1;22.6;17.3;75.5;4.1;1.7;
2004-04-30;9;180.4;5.9;101.5;1002;28;21.1;16.4;79.8;11.6;1.7;
2004-05-31;0;134.2;6.6;85.8;1007.1;19.7;14.5;11.1;86.9;3.8;1.3;
2004-06-30;14;136.5;6.3;72.1;1006.9;21.8;15.6;11.8;84;7;1.6;
2004-07-31;14;171.4;5.1;72.5;1007.8;19.5;13.1;8.8;80.3;5;1.6;
2004-08-31;14;177.9;6.2;85.3;1007.8;21.7;15.1;10.8;81.1;7.5;1.7;
2004-09-30;14;121.8;6.9;96.3;1004.4;24.5;18.4;14.1;81.5;6.6;2.1;
2004-10-31;14;268.3;4.2;120.1;1003.1;25.7;18.6;12.5;73.2;5;2.1;
2004-11-30;14;211.3;5.9;147.7;1000.5;27.4;21.2;15.8;70.6;7.5;2;
2004-12-31;14;281.1;4.8;62.2;1000.2;30.5;23.8;17.9;63.7;5;2.3;
2005-01-31;9;274.1;4.6;49.8;998.2;33.4;25.8;20;64;5.8;2.1;
2005-02-28;9;198.7;6.7;59.4;1000.5;30.9;24.2;19.2;71.8;3.6;1.9;
2005-03-31;9;213.9;5.1;55.4;1001.4;31;23.7;18.3;68.6;4.5;2;
2005-04-30;14;132.3;7.2;276.1;1004.2;25.1;19.1;15.3;84;7.6;1.6;
2005-05-31;14;131.5;6.3;183.7;1003.3;23.4;17.7;14.1;83.4;6.6;1.8;
2005-06-30;14;110.8;6.9;106.5;1005.1;22.6;17.8;14.7;86;5;1.6;
2005-07-31;14;179.1;4.8;56.2;1008.5;20.2;14.1;9.8;77.8;7.6;1.9;
2005-08-31;14;144;6.3;81.1;1005.4;22.9;16.5;12.3;75.4;8.8;2.2;
2005-09-30;14;137.4;6.6;212.5;1007.3;19.7;14.8;10.9;79.6;10;2.2;
2005-10-31;14;137.1;6.9;284.3;1002.9;23.2;18.3;14.5;81.3;5.3;1.9;
2005-11-30;14;251.7;4.9;57.2;1001.1;29.4;22.2;16;67.1;5;2.1;
2005-12-31;14;290.2;4.9;101.9;999.9;30.3;23.4;17.2;64.1;5.1;2.2;
2006-01-31;14;239.3;6.4;197.7;999.9;31.9;25.6;20.8;75.9;6.6;1.8;
2006-02-28;14;236.9;6;45.5;999.2;31.2;24.3;19;72.6;5;1.7;
2006-03-31;14;229.7;5;80.2;1000.4;30.4;23.3;18.1;74.8;4.3;1.6;
2006-04-30;14;204.7;4.8;68.6;1003.6;26.2;18.9;14.2;78.8;6;1.4;
2006-05-31;14;157.8;5.7;81.7;1008.4;20.5;13.9;9.4;82.8;5;1.3;
2006-06-30;14;123.8;6.1;77.8;1006.5;21.4;15.2;11.2;82.6;9.6;1.8;
2006-07-31;14;152.1;6.1;106.2;1005.4;23;16.8;12.6;79.2;10.8;2.1;
2006-08-31;14;178.5;5.2;75.6;1005;21.8;14.7;9.7;77;10;1.8;
2006-09-30;9;192.8;5.5;154.2;1005.1;22.2;15.5;10.6;76.6;5.8;2;
2006-10-31;14;217;5.3;208.9;1002;26.9;20.7;15.5;74.5;5.8;2.3;
2006-11-30;14;219.6;5.7;134.6;1001.5;27.1;21.2;16.5;71.5;6.6;2.5;
2006-12-31;14;262.8;5.1;84.2;999;32.2;25.5;20;68.7;6.3;2;
2007-01-31;14;231.1;6.5;163.9;998.8;30.8;24.9;20.6;76;5.8;1.9;
2007-02-28;9;229.3;5.2;145.2;999.8;31.1;24.6;19.5;74.8;4.1;2;
2007-03-31;14;162.5;7.6;173.6;1001;30.1;24.2;20.4;82.5;5;1.6;
2007-04-30;14;184.3;5.6;122;1003.6;27.5;20.9;16.7;81.4;4.1;1.4;
2007-05-31;0;173.5;5.2;102.8;1006.8;20.2;13.8;9.4;82.4;5;1.4;
2007-06-30;0;108;7.1;131.6;1004.8;19.2;13.9;10.3;81.3;8.3;1.6;
2007-07-31;14;135.7;6.1;75.6;1006.5;16.6;11.1;7;79.1;9.6;1.9;
2007-08-31;14;114.4;6.8;112.8;1006.8;19.4;13.5;9;79.9;8.8;2.6;
2007-09-30;14;137;6.8;211.8;1005.7;24.5;19;14.9;77.9;6;2;
2007-10-31;14;123.3;8;112.8;1001.6;26;20.7;16.6;77.9;6.1;2.1;
2007-11-30;14;240.5;4.4;105;1000.6;27;20.3;14.6;68;5.3;2;
2007-12-31;14;265.2;5.2;202.1;999;31.3;24.1;18.2;69;4.6;1.9;
2008-01-31;14;275.5;4.8;95.7;1000.1;30.4;24.3;19.1;70.4;5;2.1;
2008-02-29;14;219.2;5.3;127.3;1000.4;30.6;23.8;18.7;74.5;5;1.6;
2008-03-31;14;238.4;5.3;106.9;1001.3;29.4;22.9;18.1;79.3;4.6;1.7;
2008-04-30;14;222.1;4.2;131.9;1001.5;25.9;18.3;13.2;79.8;4.6;1.2;
2008-05-31;0;170.4;5.4;131.7;1005.4;22.7;15.8;11.3;78.8;6.6;1.5;
2008-06-30;14;123.3;6.7;157.7;1007.1;17.5;11.9;8.2;85.5;4.6;1.4;
2008-07-31;9;132.9;6;176.8;1006.4;21;15.8;12.7;84.6;5;1.7;
2008-08-31;5;165.2;5.9;99.8;1004.7;21;14.5;9.8;82.6;5;1.7;
2008-09-30;14;186;6.1;120.8;1006.5;20.9;15.1;10.2;75.1;6.6;2.2;
2008-10-31;14;172.5;6.8;255.3;1004.1;24.6;19.2;14.9;76.5;6.3;2.3;
2008-11-30;14;268.7;4.8;43.9;1001.7;29.2;22.7;17.2;67.3;5;2.5;
2008-12-31;14;283.7;4.7;31.7;999.7;30.8;24.1;18.1;66;7;2.3;
2009-01-31;14;251.6;5.8;162.1;1000.8;29.8;23.5;18.1;75.3;5.5;2.2;
2009-02-28;14;204.8;6.3;165.4;999.8;30.3;24.3;19.6;78.7;4.6;1.8;
2009-03-31;null;163;5.4;131.7;1000.6;29.2;22.7;18.4;83.3;null;null;
2009-04-30;null;218.9;3.8;25.6;1004.7;27.2;19.2;13.9;80.1;null;null;
2009-05-31;14;153.6;6.1;96.5;1004.1;23.8;16.6;12.1;83.2;5.8;1.3;
2009-06-30;5;158.1;5.7;76.8;1007.1;18.5;11.9;7.3;83.8;8.3;1.6;
2009-07-31;0;152.7;5.5;91.4;1007;17.2;10.7;6.2;83.3;10;1.5;
2009-08-31;9;179.9;5.4;164.5;1004.9;23.2;16.5;11.4;79.6;9;2.5;
2009-09-30;5;123.1;7.1;345.3;1004.4;20.8;16.1;12.5;85.2;5.8;2.1;
2009-10-31;14;221.3;5.6;108.7;1001.9;25.5;19;13.5;75.3;10.8;2.3;
2009-11-30;5;118;7.1;480.9;996.9;28.3;23.3;19;82.4;13.6;2.4;
2009-12-31;14;236;6.4;305.7;999.1;29.8;24.1;19.7;75.9;16;2.1;
2010-01-31;14;211.5;6.8;405.9;999.4;30.1;24.8;20.6;79;8.1;2.4;
2010-02-28;5;187.4;6.2;124.7;999.4;31.7;26;22;77.1;8.3;1.9;
2010-03-31;0;213.9;5.5;25.1;1001;30.1;23.7;19.2;77.5;6.6;1.4;
2010-04-30;5;179.5;6;116.8;1005.3;26.1;19.2;14.2;77.4;7.1;2;
2010-05-31;14;108.6;7.3;117.7;1006.4;21;15.8;12.7;87.4;4.3;1.5;
2010-06-30;14;126.6;6.9;128.9;1007.8;19.8;14.3;10.3;85.2;9.1;1.5;
2010-07-31;14;175.1;4.7;238.3;1007.8;19.5;13.4;9;82.7;8.3;1.8;
2010-08-31;14;146.1;6.1;109.4;1008.5;19.6;13.7;9.4;82.4;10;2.3;
2010-09-30;14;165.9;6.3;244.9;1004.2;22;16.7;13.1;83.4;10;2.4;
2010-10-31;14;221.9;4.9;49.3;1003.9;24.4;18.1;12.7;71.3;5;2.1;
2010-11-30;14;244.1;4.9;71.3;1000.5;27.8;20.8;14.9;66.5;5;2.2;
2010-12-31;14;285.2;4;157.9;997.8;30.4;23.9;18.3;67.2;5.3;2.5;
2011-01-31;14;247;6.2;127.1;997.9;32.5;26.1;21.6;76.8;5;2.2;
2011-02-28;14;195.5;6.6;165.8;1000.3;30;24.6;20.8;78.6;5;2.2;
2011-03-31;14;229.4;5.3;54.9;1002.4;28.9;22.4;18;75.6;5;2.3;
2011-04-30;14;198.9;5.2;164.9;1003.6;26.6;19.4;14.7;79.9;6;1.6;
2011-05-31;14;157;6.1;54.9;1007.2;21.5;15.5;11.5;84;8.3;1.8;
2011-06-30;14;138.7;6.4;99;1005.8;19.2;13.2;9.1;81;8.3;2;
2011-07-31;14;112.5;7.2;163.1;1006.5;17.9;12.4;8.6;85.3;11.3;1.9;
2011-08-31;14;163;6.6;138.5;1005.2;19.9;14.3;10.5;83.8;13.3;2.6;
2011-09-30;14;192.7;4.9;61.2;1007.3;23.5;16.6;11.1;78.2;9.6;2.5;
2011-10-31;14;210.1;5.2;184.8;1001.9;25.2;19.1;14.4;76;8.3;2.3;
2011-11-30;14;250.7;4.3;41.6;1001.9;29;22.3;16.4;63;5.3;2.5;
2011-12-31;14;253.3;4.6;13.4;999.7;30.3;23.4;17.4;60.8;6.6;2.7;
2012-01-31;14;283;4.4;68.8;999.9;33;25.5;19.4;63;5.3;2.5;
2012-02-29;23;199.2;5.5;135.4;999.4;33.1;26.2;21.2;73.4;5.8;1.9;
2012-03-31;14;262.6;3.3;151.1;1002.5;30.3;22.5;17;72.9;5.3;1.6;
2012-04-30;14;201.5;5.1;108.7;1003.7;25.5;18.3;13.7;81.5;4.6;1.3;
2012-05-31;14;217;4.2;138.2;1006.7;24.9;17.1;11.9;81;5;1.5;
2012-06-30;14;144;5.5;35.1;1006.4;19.8;13.9;9.8;82.6;8;1.7;
2012-07-31;14;171.3;5.6;70.4;1007.5;18.2;11.9;7.6;81.5;7.6;2;
2012-08-31;14;159.9;6.5;74.5;1007.8;25.4;19;14.9;75.8;12.5;2.6;
2012-09-30;14;164.3;6;177.5;1005.8;23.5;17.5;13.1;78.4;6.3;2.5;
2012-10-31;14;149.8;6.7;255.2;1001.3;25.7;20.5;16.7;79.7;7.8;2.4;
2012-11-30;14;261.7;4.5;72.8;1000.9;30.4;23.3;17.5;70.5;5.8;2.4;
2012-12-31;14;221.5;5.5;293;997.8;31.1;25;19.9;78;11.8;2.3;
2013-01-31;14;286.1;4.3;145.3;1001.5;30.3;23.7;18.2;75.8;5.8;2.4;
2013-02-28;14;207.1;5.8;97.7;1000.3;29.9;23.7;19.1;81;7.1;2.1;
2013-03-31;14;181;6.1;188.6;1003.1;26.6;20.6;16.4;83.8;5.5;1.8;
2013-04-30;14;209.6;4;147.4;1004.3;26.4;19.1;14.4;83.4;4.1;1.5;
2013-05-31;32;142.9;5.9;71.6;1004.8;21.4;15.1;11;87.2;6.6;1.5;
2013-06-30;14;125.7;5.6;81.6;1005.9;18.9;13.2;9.5;89.7;4.6;1.6;
2013-07-31;14;166.2;5.6;113.5;1008.4;20;13.2;8.7;86.7;6.6;1.7;
2013-08-31;14;163.1;5.4;163.8;1007.8;19.3;12.8;8.1;83.1;10.6;2.2;
2013-09-30;14;160.1;6;69.2;1005;23.1;17.1;12.7;78;8;2.5;
2013-10-31;14;218.4;5.3;108.7;1003.8;26.2;19.5;14.2;74;6.5;2.3;
2013-11-30;14;229.2;4.8;294.5;1000.5;28.7;22.7;17.5;72.7;5;2.6;
2013-12-31;14;286.3;4.2;92.8;998.2;32.1;25.5;19.7;70.1;7.6;2.3;
2014-01-31;14;229.3;6.1;132.3;1000.1;32.6;26.1;21.2;78.4;6.6;2.1;
2014-02-28;14;218.9;5.7;109;1000.7;32.1;25.4;20.6;78.3;6;2.3;
2014-03-31;14;212.6;5.7;226.9;1001.9;28.4;21.9;17.2;81;5.8;2;
2014-04-30;14;186.2;5.7;105.1;1005;25.8;19.9;15.7;82.1;6.3;2;
2014-05-31;14;143.7;6.5;171.5;1005.7;21.1;15.5;12;89.2;4.3;1.3;
2014-06-30;14;96.2;7.1;278.8;1005.8;18.2;13.8;10.8;90.3;6.6;2.1;
2014-07-31;14;176.4;5.4;255.1;1008.4;20.9;15;10.9;83.8;9.1;2.1;
2014-08-31;14;188.5;4.8;92.2;1006.5;22.8;16;11.1;78.3;7.5;1.9;
2014-09-30;14;134;7.3;237.5;1003;23.6;18.5;14.5;81.7;8.3;2.5;
2014-10-31;14;166.7;6.9;256.8;1003.2;27.3;21.4;17;77.2;8.3;2.4;
2014-11-30;14;244;5.3;59.7;1000.9;29.7;23.1;17.3;69.5;6.3;2.1;
2014-12-31;14;211;5.9;324.3;999.8;29.7;24.1;19.3;75.5;5.6;2.2;
2015-01-31;14;212.4;6.7;175.1;1001.2;30.7;25.1;20.7;79;6.1;2;
2015-02-28;14;217.7;5.7;84.3;1000.8;30.1;24.4;20.3;80.5;5;2;
2015-03-31;14;210.4;5.8;132.4;1002.5;29.8;23.1;18.7;79.9;4.1;1.7;
2015-04-30;14;207.2;4.8;129.8;1004.7;27;19.6;14.8;81.2;4.5;1.6;
2015-05-31;14;147.1;6.2;136.4;1006.5;22.4;16.8;13.2;86.6;9.6;1.7;
2015-06-30;14;145.8;5.8;128.2;1007.4;20.9;14.8;10.7;85.7;5;1.5;
2015-07-31;14;90.7;8;214.7;1006.2;19.5;14.9;11.5;88.4;7.5;1.7;
2015-08-31;14;158.1;6.3;85.2;1003.4;25.6;19.9;15.6;72.7;10.6;2.9;
2015-09-30;14;158.2;6.1;168.6;1002.6;23;16.8;12.4;78.9;6.6;2;
2015-10-31;14;138.8;7.6;428.4;1003.2;23.5;18.6;14.9;81.6;7.5;2.6;
2015-11-30;14;158;7;164.3;1000.5;25.6;20.7;16.7;77.5;8.8;2.6;
2015-12-31;14;166.3;7;336;999.3;28.7;23.6;19.5;80.4;7.6;2.1;
2016-01-31;14;243.7;5.3;101.9;999.7;31.5;25.5;20.8;74.5;5.8;2.2;
2016-02-29;14;212.6;5.7;96.5;1000.2;31.4;25.3;21.3;80.9;4.5;1.9;
2016-03-31;14;167.7;6.6;200.7;1003.6;27.1;21.5;17.8;83.8;8.1;2.1;
2016-04-30;14;109.9;8;137.7;1002.4;26.7;21.5;18.2;83.1;6;2;
2016-05-31;14;87.9;7.6;68.4;1008.2;18.7;13.9;10.8;87.7;11.1;1.6;
2016-06-30;14;133.2;5.6;5.3;1010.6;17;10.6;6.5;84.6;3.8;1.2;
2016-07-31;14;163.7;6.6;95.3;1006.5;19.7;13.5;9.4;82.5;10;2.1;
2016-08-31;14;182.7;5.4;123.2;1005.6;22.8;15.6;10.5;80.3;8.1;1.8;
2016-09-30;14;216.5;5.2;53;1007.2;22.4;15.5;10.3;75.8;5.6;2.2;
2016-10-31;14;192.8;6.3;376.6;1002.7;24.9;19.2;14.7;76.8;6.6;2.5;
2016-11-30;14;240.4;5.1;160.8;1001.9;28;21.3;15.2;68.7;6.1;2;
2016-12-31;14;234;5.6;134.4;999.3;30.9;24.8;19.5;69.8;7.6;2.3;
2017-01-31;14;215.8;6.7;207.2;1000.3;30.9;25;20.4;81.3;4.3;1.9;
2017-02-28;14;193;6.8;220.1;999.9;30.8;24.8;21;83.1;6.3;1.7;
2017-03-31;14;215.6;5.6;222.8;1002.7;28.8;22.4;18.1;79.9;8;2.2;
2017-04-30;14;174.5;5.5;106.3;1004.4;25.1;19.1;15.1;80.2;7.1;2.1;
2017-05-31;14;97.6;7.5;272.5;1004.6;21.9;17.1;13.9;90;6;1.7;
2017-06-30;14;135.2;6.1;124.2;1006.2;21.2;15.7;12.3;82.6;8.6;1.9;
