Nome: SANTA VITORIA DO PALMAR
Codigo Estacao: 83997
Latitude: -33.53166666
Longitude: -53.35027777
Altitude: 24.01
Situacao: Operante
Data Inicial: 2001-01-01
Data Final: 2025-06-30
Periodicidade da Medicao: Mensal

Data Medicao;DIRECAO PREDOMINANTE DO VENTO, MENSAL(° (gr));INSOLACAO TOTAL, MENSAL(h);NEBULOSIDADE, MEDIA MENSAL(décimos);PRECIPITACAO TOTAL, MENSAL(mm);PRESSAO ATMOSFERICA, MEDIA MENSAL(mB);TEMPERATURA MAXIMA MEDIA, MENSAL(°C);TEMPERATURA MEDIA COMPENSADA, MENSAL(°C);TEMPERATURA MINIMA MEDIA, MENSAL(°C);UMIDADE RELATIVA DO AR, MEDIA MENSAL(%);VENTO, VELOCIDADE MAXIMA MENSAL(m/s);VENTO, VELOCIDADE MEDIA MENSAL(m/s);
2001-01-31;5;245.2;5.5;88.6;null;28.4;23.4;19.3;78.7;null;null;
2001-02-28;14;215.6;4.5;158.3;null;28.9;23.4;19;79;null;null;
2001-03-31;14;175.3;5.4;174.9;null;27.3;22.8;19.4;84.9;null;null;
2001-04-30;23;180.7;4.4;80.5;null;22.8;17.9;14;81.2;null;null;
2001-05-31;23;135;5.6;148.2;null;18.9;14.6;11.1;87.8;null;null;
2001-06-30;23;111.8;5.9;163.8;null;17.7;13.6;10.5;88.2;null;null;
2001-07-31;23;134.9;5.8;135.5;null;16.2;11.7;7.9;85.1;null;null;
2001-08-31;5;141.5;5.9;60.3;null;21.1;15.9;11.3;87.8;null;null;
2001-09-30;5;147.3;6;8.5;1014.8;19.2;14.4;10.7;83.5;33;9.4;
2001-10-31;9;150.9;7.1;137.8;1012.1;21.8;17.8;14.6;86.6;23;7.8;
2001-11-30;5;238;4.8;83.8;1011.6;23.6;18.6;14.1;77.8;23;6.9;
2001-12-31;23;257.4;5.1;15.4;1010.3;24.7;19.8;15.5;79.2;17;6.3;
2002-01-31;14;249.1;4.8;123.9;1008.6;27.4;22.4;18.1;81.6;9;4.2;
2002-02-28;14;210;5.1;191.1;1010.1;26.3;21.4;17.2;79.9;12;3.5;
2002-03-31;5;133.7;7.3;473.5;1010.1;25.7;21.9;18.8;86.6;9;3.9;
2002-04-30;5;157.9;5.6;229.9;1012.5;21.9;17.5;13.8;85.8;14;3.7;
2002-05-31;23;156.8;4.9;91.9;1013.3;21.3;16.2;12.4;88;8.2;2.9;
2002-06-30;23;160.5;4.4;87.2;1016.8;16.4;11.3;7.6;85.5;9.8;2.8;
2002-07-31;23;133.2;5.8;120.9;1016.2;15.5;11;7.2;87.3;9;3.1;
2002-08-31;5;165;5.5;209.3;1014.2;18.3;13.4;9.2;84.1;14;4.1;
2002-09-30;23;168.8;5.5;42;1014.8;17.9;12.5;8.2;82.8;10;4.1;
2002-10-31;5;153.1;6.7;66.4;1011.6;22.7;17.7;13.5;85.7;14;4.4;
2002-11-30;5;204.7;5.2;72.5;1010.5;25;19.4;14.5;74.3;12;4.9;
2002-12-31;5;188.6;6.1;202.6;1011.3;25;20.5;16.7;79;8;3.7;
2003-01-31;5;310.9;4.1;17;1009.9;28.3;22.7;17.6;72.2;9;3.4;
2003-02-28;23;177.4;5.1;280.6;1008.4;28.1;22.9;19;80.8;10;3.7;
2003-03-31;5;183.1;5;91.7;1012.1;26.3;21.4;17.2;81.5;9;3.4;
2003-04-30;23;162.6;4.7;70.3;1013.1;21.9;16.7;12.6;84.5;10;2.9;
2003-05-31;23;149;5.6;300.5;1013.9;19.7;15;11.3;84.9;12;3.5;
2003-06-30;23;94.4;6.3;185.5;1014.6;16.4;11.9;7.9;87.5;8;2.4;
2003-07-31;23;151.3;4.8;52.1;1016.3;15.7;10.8;7;83.1;9;3.2;
2003-08-31;23;142.5;5.6;103.2;1017.5;16.3;11.1;7.1;83.6;12;3.7;
2003-09-30;23;158.1;5.4;156;1016.1;18.2;12.9;8.3;80.2;12;4;
2003-10-31;5;235.4;4.3;49.8;1013.9;22.5;16.4;11.6;75.1;12;4.3;
2003-11-30;5;216.1;5.1;182.2;1009.4;23.6;18.3;13.5;77.4;10;4.5;
2003-12-31;5;263.1;4.8;54.2;1009.1;25.3;19.5;14.5;71.6;12;5;
2004-01-31;5;252.7;4.9;62.7;1010.1;27.6;22.4;18.1;78.6;9;3.7;
2004-02-29;23;260.3;3.7;51.2;1011.4;27.2;21.5;16.8;76.4;9;4;
2004-03-31;5;246.8;3.7;172.1;1013.1;26.4;21.1;16.3;79.3;9;3.5;
2004-04-30;5;183.1;4.6;178;1010.9;24.6;19.3;15.4;82;8;3.5;
2004-05-31;14;114.9;6.2;181.5;1016.2;18;13.8;10.3;86.7;9;3.3;
2004-06-30;23;123.8;5.6;75.3;1014.8;17.6;12.8;8.6;88.8;7;2.6;
2004-07-31;23;160.7;5.1;80.7;1016.4;16;11.4;7.8;82.8;9;3.4;
2004-08-31;5;161.9;5.2;62.1;1015.9;18.6;13.2;9;82;12;4;
2004-09-30;5;153.5;5.6;99.5;1014.6;19.8;14.3;10;81.2;8;3.7;
2004-10-31;5;225.2;4.8;107;1012;21.2;15.7;11.1;75.1;9;4.5;
2004-11-30;5;182.7;5.6;59.7;1010.5;22.3;17.9;13.9;79.9;12;4.2;
2004-12-31;5;281.7;4.4;77.7;1010.8;25.8;20.7;16.1;72.5;8;3.9;
2005-01-31;5;279.6;3.9;6.4;1007.9;29.4;23.1;17.9;71.8;9;3.9;
2005-02-28;14;213.4;4.8;29.2;1011.8;27.2;21.9;17.2;76.4;10;3.8;
2005-03-31;14;203.1;4.7;50.5;1012.1;26.8;20.8;16.2;77.4;9;4.1;
2005-04-30;23;178.5;4.9;230;1013.1;22.3;16.9;12.1;82.8;9;3.2;
2005-05-31;5;123.2;6.1;267.2;1012.5;20.1;15.5;11.7;85.3;14;3.2;
2005-06-30;14;85.4;7.1;178.4;1014.6;18.9;14.9;11.7;89.5;9;2.9;
2005-07-31;23;160.7;5;110.1;1016.6;17.5;12.6;8.6;83.8;8;3.5;
2005-08-31;23;155.4;5.6;58.4;1015.3;19.1;13.6;9.3;82.8;14;3.9;
2005-09-30;23;166.8;5.6;141.7;1017.9;17.6;13.1;9.2;83.3;14;5.2;
2005-10-31;5;228.2;4.5;78.5;1014.3;20.4;15.3;10.5;78.5;9;3.8;
2005-11-30;14;297.5;3.2;23.7;1012.4;25.9;19.7;13.9;69.2;9;3.9;
2005-12-31;14;266;4.8;28;1011.4;25;19.3;14.3;69.3;10;4.8;
2006-01-31;14;226.5;5;72.1;1010.6;27.5;22.2;17.6;75.6;9;3.9;
2006-02-28;14;223.5;4.1;116.8;1009.8;27.7;22.1;16.9;77.8;9;3.5;
2006-03-31;14;224.2;4.5;184.3;1011;25.8;20.6;16.5;78.8;12;4.3;
2006-04-30;14;193.3;4.5;53.6;1013.7;23.1;17.9;13.7;81.1;9;4.2;
2006-05-31;23;187.9;4.4;25.3;1018.5;18.9;13.3;8.9;82.4;12;3.6;
2006-06-30;23;143.8;4.5;133.2;1016.2;17.6;12.4;8.2;85.2;14;3.7;
2006-07-31;5;140;5.8;43.4;1014.3;18.9;14.2;10.3;84.5;14;4.3;
2006-08-31;23;152.2;5.6;197;1014.4;16.8;11.8;7.6;83;10;3.8;
2006-09-30;23;186;5.2;26.5;1015.2;18.9;12.7;8;79.8;12;4.1;
2006-10-31;5;206.8;5.1;64.8;1013.8;22.4;17.1;12.6;79.5;10;4.9;
2006-11-30;14;246.5;4.5;35.9;1013.2;23.6;18.2;13.4;71.3;12;5.6;
2006-12-31;5;243.6;5.3;59.8;1009.9;27.7;22.3;17.8;77;9;4.1;
2007-01-31;14;272.5;4.7;3.2;1009.5;28.8;22.9;18.2;71.8;12;4.4;
2007-02-28;5;218.4;4.4;268.8;1010.1;29;23.3;18.6;79;10;4.6;
2007-03-31;14;160;6.3;237.6;1011.3;26.3;21.7;18.1;83.3;9;3.4;
2007-04-30;5;185.5;4.8;71.1;1013.8;24.3;19.3;14.9;82.4;9;3.2;
2007-05-31;23;191.9;3.9;146.5;1016.2;17.6;12.6;9;80.9;12;4.1;
2007-06-30;32;135.8;5.7;137.4;1013.5;15.6;10.9;7.5;84;12;3.6;
2007-07-31;32;163.2;5;36.2;1015.4;13.7;8.7;4.9;80.3;14;3.6;
2007-08-31;14;102.2;6.9;120.7;1017.7;14.3;10.5;7.7;85.6;12;4.7;
2007-09-30;5;133.7;6.6;44.2;1016.4;19.8;15;11.7;87.7;12;4.3;
2007-10-31;5;192;5.9;213;1012.2;22.4;17.6;14.1;83.5;9;4;
2007-11-30;23;279.4;3.8;46.7;1010.4;22.8;17.2;12.7;73;10;4.5;
2007-12-31;5;267;4.6;82.1;1009.7;26.3;20.5;16;73.8;10;3.6;
2008-01-31;5;269.4;5.1;27;1011.9;27.2;22.4;18.5;71.9;10;4.2;
2008-02-29;5;193.5;5.1;49.4;1011.3;27.4;22.4;18.9;80.8;8;4.2;
2008-03-31;14;219.6;4.6;98;1011.6;26.4;21.3;17.6;79.1;8;2.8;
2008-04-30;23;213;3.1;44.4;1010.4;24;17.3;12.9;75.8;12;2.8;
2008-05-31;23;157;4.8;219.7;1014.9;19.8;14.5;11;83.5;12;3.2;
2008-06-30;14;137.3;5;88.8;1016.1;15.6;11.3;8.3;84.5;10;3.1;
2008-07-31;14;140.5;5.5;43.2;1015.9;18.5;13.8;11;86.2;17;3.1;
2008-08-31;23;195.6;4.5;85.9;1014.7;17.5;12.1;8.1;81.7;12;3.3;
2008-09-30;14;154.7;6.6;38;1017.4;17.9;13.7;10.6;82.8;12;4.6;
2008-10-31;14;218.8;5.2;13.3;1015.2;21.8;16.4;12.2;76.2;12;5.1;
2008-11-30;5;278.4;4.4;11.3;1013.9;25.9;20.3;16.1;74.6;12;5.9;
2008-12-31;14;262.2;5.1;95.6;1011.5;26;21;16.9;75.6;9;4.4;
2009-01-31;14;255.5;4.7;96.8;1011.3;27.5;22.3;18.4;72.4;12;4.5;
2009-02-28;5;240;5;81.7;1009.6;27.8;22.4;18.3;76.9;12;3.3;
2009-03-31;14;200.8;5.3;154.1;1010.4;26.7;21.8;18.2;81.3;12;3.5;
2009-04-30;23;230.9;2.6;18.8;1014.7;24.5;18.2;13.6;77.6;9;3.9;
2009-05-31;23;185.3;4;134.5;1013.1;21.2;15.5;11.5;81.9;14;2.9;
2009-06-30;23;137.2;5.2;59.2;1015.7;15.9;11;7.8;84.4;12;3.5;
2009-07-31;23;156.7;4.7;29.2;1015.7;14.5;9.4;6.1;80.3;17;3.4;
2009-08-31;14;190.8;4.4;109.8;1015.4;19.4;13.8;9.7;80.5;9;3.2;
2009-09-30;14;155;5.8;65.1;1015;17.6;13.5;10.7;82.3;12;4.7;
2009-10-31;14;218.9;4.4;144.5;1012.8;20.2;15.2;10.9;78;12;4.6;
2009-11-30;14;149.7;7;160.2;1007.8;23.8;19.2;15.7;83.5;14;4.1;
2009-12-31;14;197.7;6.1;99.2;1010.8;24.4;20.5;17.4;79.7;10;3.9;
2010-01-31;14;269.1;4.3;81.9;1009.4;28.1;23;18.8;76.3;12;2.8;
2010-02-28;14;171;6.2;273.2;1009.5;27.6;23.2;19.8;81.9;10;4.3;
2010-03-31;14;245.1;4;134.2;1011.3;26.8;21.7;17.8;79.1;9;3.9;
2010-04-30;14;196;5;128.6;1014.9;23.8;18.1;14.1;78;17;3.5;
2010-05-31;23;120.3;6.1;47.3;1016;20.3;16;13.1;83.5;10;3.9;
2010-06-30;23;141;4.4;65.2;1016.9;17;12.3;9;81.1;10;3.6;
2010-07-31;23;135.7;5;154.9;1015.7;16;11.2;7.7;84.7;12;3.8;
2010-08-31;18;168;5;42.6;1018.5;16.5;11.6;8;83.1;14;4;
2010-09-30;14;160.1;5.4;137.4;1014.2;18.8;14.2;11;83.3;17;5.2;
2010-10-31;18;249.9;4.1;19.2;1014.2;20.8;15.5;11.2;75.1;14;4.3;
2010-11-30;14;247.9;4.2;65.3;1010.7;23;17.2;12.7;74.8;9;3.6;
2010-12-31;14;290.1;3.8;26.3;1008.6;27.9;21.6;16.7;71.1;9;4.4;
2011-01-31;14;279.3;4.5;75.7;1008.7;29.1;23.6;19.6;78.1;9;4.2;
2011-02-28;14;233.1;5.1;118.3;1011.2;26.9;22.2;18.6;75.3;9;4.1;
2011-03-31;5;226.1;4.1;73.5;1013.4;25.6;20.6;16.8;75.7;12;3.8;
2011-04-30;23;210.5;4.1;160.6;1012.8;23.6;18.1;14.1;79.9;9;3;
2011-05-31;14;151.9;4.6;178.6;1016.4;19.2;14.2;10.8;83.3;9;2.5;
2011-06-30;23;157;4.9;117.7;1013.8;16.2;11.6;8.5;84.6;12;3.6;
2011-07-31;23;145.5;5.1;128.5;1015.9;14.5;10.1;7.1;85.5;12;3.5;
2011-08-31;23;141.9;6;159.4;1015.1;15.2;11.3;8.2;83.6;10;4.9;
2011-09-30;5;200.2;4.1;62.4;1017.9;18.7;13.6;9.7;77.5;12;4.1;
2011-10-31;23;184.9;5.8;123;1012.1;20.7;15.9;12.7;81.2;12;4.4;
2011-11-30;5;272.3;3.5;16.5;1013.2;24.7;19.1;14.7;73.9;14;4.5;
2011-12-31;14;241.3;5.1;48.1;1010.5;24.7;20;16.1;75.2;9;4.4;
2012-01-31;14;292.7;4.1;13.1;1010.9;28.4;22.6;18.1;70.1;10;4.4;
2012-02-29;14;182.5;5.4;139.8;1008.4;28.2;23.4;19.9;79;9;3.6;
2012-03-31;23;223.5;3.9;63.8;1012.1;26.4;20.9;16.8;80.1;10;3.8;
