Nome: SAO LUIZ GONZAGA
Codigo Estacao: 83907
Latitude: -28.41722221
Longitude: -54.9625
Altitude: 245.49
Situacao: Operante
Data Inicial: 2001-01-01
Data Final: 2025-06-30
Periodicidade da Medicao: Mensal

Data Medicao;DIRECAO PREDOMINANTE DO VENTO, MENSAL(° (gr));INSOLACAO TOTAL, MENSAL(h);NEBULOSIDADE, MEDIA MENSAL(décimos);PRECIPITACAO TOTAL, MENSAL(mm);PRESSAO ATMOSFERICA, MEDIA MENSAL(mB);TEMPERATURA MAXIMA MEDIA, MENSAL(°C);TEMPERATURA MEDIA COMPENSADA, MENSAL(°C);TEMPERATURA MINIMA MEDIA, MENSAL(°C);UMIDADE RELATIVA DO AR, MEDIA MENSAL(%);VENTO, VELOCIDADE MAXIMA MENSAL(m/s);VENTO, VELOCIDADE MEDIA MENSAL(m/s);
2001-01-31;9;146.4;6.5;325.5;null;31.3;25.1;20.4;77;null;null;
2001-02-28;9;153.8;5.9;199.3;null;32.1;26.1;21.4;77.9;null;null;
2001-03-31;36;206.4;4.9;189.5;null;32;25;20.2;76.9;null;null;
2001-04-30;9;148.2;5.8;250.3;null;28.8;22.1;17.9;80.4;null;null;
2001-05-31;5;138.8;5.8;108.6;null;21.3;15.8;12.1;80.3;null;null;
2001-06-30;5;115.6;5.2;112.2;null;21.8;16;12.4;78.6;null;null;
2001-07-31;5;164.5;4.4;112.9;null;21.9;15.8;11.5;74.4;null;null;
2001-08-31;5;187.7;3.7;87;null;26.7;19.7;14.8;68.9;null;null;
2001-09-30;9;106.8;7;65;988.9;23.8;18;14;74.9;6.2;null;
2001-10-31;27;202;5.2;103.1;986.7;28.3;21.4;16.6;72.1;7.3;2.9;
2001-11-30;14;202.4;4.7;60.3;985.2;31.1;24;18.1;69.4;5.7;2.8;
2001-12-31;14;202.4;4.5;46;984.7;31.4;24.5;18.7;67;5.7;2.6;
2002-01-31;5;227.7;4.1;96.5;984.9;32.6;25.6;19.8;62.7;7;3.1;
2002-02-28;14;217.4;4;141;985.9;31.3;24.6;19.2;67.8;5.6;2.6;
2002-03-31;5;166.4;5.9;297.8;985.6;31.2;25.5;21.7;79.2;7.6;3;
2002-04-30;9;146.9;5.8;245.9;987.4;27.1;21.5;17.3;79.8;6.1;2.5;
2002-05-31;5;154.1;5;189.6;986.5;24.5;19.2;15.7;81.2;5.1;2.7;
2002-06-30;14;111.9;5.1;102.4;992.2;20.1;14.9;11.5;80.6;6.2;3;
2002-07-31;5;126.8;5.5;201.1;991.8;19.8;14.4;10.7;80.6;6.5;3;
2002-08-31;5;134.9;4.5;220.3;989.5;23.1;17.4;13.3;76.8;6.5;3.2;
2002-09-30;9;183.1;4.4;278;989.4;23.2;17;11.6;71.5;9.8;3.1;
2002-10-31;5;82.3;7.2;538.3;985.8;26.8;21.6;17.5;80.8;7.5;3.6;
2002-11-30;5;168.9;5.2;208.6;985.7;29;23;17.8;72.8;6.8;3.2;
2002-12-31;9;173.7;5.4;345.5;985;30.8;24.9;19.9;73.4;6.5;2.9;
2003-01-31;9;240.9;3.8;155.6;984.4;33.4;26.4;20.5;69.8;5.1;2.4;
2003-02-28;36;175.8;5.2;225.7;985.5;31.4;25.5;21.1;74.6;5.5;2.5;
2003-03-31;9;188.2;5.2;134.1;987.2;29.3;23.3;19;80.3;6.8;2.6;
2003-04-30;14;207.8;3.5;233.1;988.9;26.7;20;15.3;74;6.6;2.6;
2003-05-31;5;197.8;3.9;59.1;990.4;24.1;17.6;12.9;70.8;6.6;2.7;
2003-06-30;5;118.2;4.9;99.1;989.4;23.8;18.3;14.7;80.3;8.3;3;
2003-07-31;5;132.6;5;50.8;992.4;20.7;14.9;10.8;76.9;6.6;2.9;
2003-08-31;5;215.2;3.2;97.9;992.4;21.9;14.8;9.6;67.8;5.6;3;
2003-09-30;9;181.2;4.2;66.4;987.4;25.6;18.2;12.5;65.7;7.5;3.5;
2003-10-31;9;219.2;4;167.7;984.8;29.5;21.9;16;65.6;10.1;3.3;
2003-11-30;9;202;5;206.4;982.2;29.8;22.5;16.5;65.5;9;3.4;
2003-12-31;14;203.8;5.3;368.7;982;29.9;23.3;17.9;69.7;9;3;
2004-01-31;9;294.3;3.3;45.3;981.1;33.9;26.2;19.9;66.8;6;2.6;
2004-02-29;9;253.2;3;20.8;983.6;32.7;24.6;18.4;60.9;6;2.9;
2004-03-31;9;260.9;2.7;33.3;983.7;32.9;24.3;17.7;64.5;8.8;2.8;
2004-04-30;9;201.4;4.4;208.8;984;29.8;22.7;17.9;74.4;5.8;2.7;
2004-05-31;9;114.6;6.2;50.4;988.5;20.2;15.1;11.6;85.8;5;2.5;
2004-06-30;36;153.6;4.5;54.7;988.4;23;17;13;80.2;5.8;2.9;
2004-07-31;9;180.3;4.1;85.6;988.6;20.9;14.5;10.1;75.8;6.6;3.4;
2004-08-31;5;164.8;5.5;56.4;989.3;22.8;16.2;11.6;72.5;6.5;2.7;
2004-09-30;14;142.3;4.8;91.1;985.7;25.9;19.5;15;73.4;7.1;3.4;
2004-10-31;9;266.2;2.8;174.7;983.8;28.5;20.4;13.7;64.2;5.6;3.2;
2004-11-30;9;199.3;4.6;193.3;982.4;28.2;21.7;16;72.9;7.1;2.9;
2004-12-31;9;246.8;4;108.5;981.7;32.2;25.3;18.9;65.3;6.6;2.7;
2005-01-31;9;261.8;3.7;112.2;980.1;34.5;26.3;20.1;66.9;5.6;2.8;
2005-02-28;9;219.6;4.2;78.3;982.3;33.3;25.5;19.3;69.2;5.3;2.6;
2005-03-31;9;223;4.1;79.9;982.9;32.8;25;19.1;68.2;5.3;2.6;
2005-04-30;18;144.8;6;338.1;985.6;25.9;20.1;16.2;81.9;8.8;2.8;
2005-05-31;5;146.4;5.1;289.3;985;24.2;18.8;15.2;79.7;9;2.8;
2005-06-30;5;100.6;6.1;392.2;986.9;22.9;18.4;15.5;85.8;6.8;2.9;
2005-07-31;9;202.5;3.2;71.3;990.3;21.1;14.7;10.4;74.8;6.1;3;
2005-08-31;14;155.6;4.4;137.4;988.5;23.9;17.3;12.3;69.7;6.8;3.5;
2005-09-30;14;129.9;5.9;140.4;990.2;20.8;15.1;10.5;76.1;7.6;3.1;
2005-10-31;14;139.5;6.4;342;986.3;25.6;19.6;15;77.8;6.8;3.1;
2005-11-30;14;246.8;3.9;94.3;984.2;31.6;24;17.3;60;5.6;3.1;
2005-12-31;14;254.2;3.7;189.1;982.9;32.4;24.7;18.2;60.1;6.6;2.9;
2006-01-31;5;221.4;5.1;84.4;983.1;33.8;26.8;21.3;67.7;6;2.5;
2006-02-28;14;213.6;4.1;63.6;982.3;33.2;25.4;19.6;65.7;5;2.4;
2006-03-31;9;222.4;4.2;179.6;983.2;31.1;24.3;19.3;71.3;7;2.6;
2006-04-30;5;213.6;3.8;104.2;986;27.7;20.5;15.5;69.6;5.6;2.5;
2006-05-31;14;225.1;2.6;21.7;990.1;23.2;15.6;10.5;73.4;5;2.6;
2006-06-30;5;113.7;5.1;102.3;988.6;22.8;16.9;13.1;79;5.5;3.1;
2006-07-31;5;170.1;4.4;96;987.9;24.4;18.2;14.3;75.2;7.3;2.9;
2006-08-31;14;204.2;3.7;83.4;987.3;24.2;16.9;11.7;66.7;5.6;2.8;
2006-09-30;14;210.5;4.1;165.6;987.1;24.7;17.5;11.9;68;6.1;3.1;
2006-10-31;14;208.4;4.8;263.6;984;30.1;22.7;16.9;69;6;2.9;
2006-11-30;14;237.9;3.8;255.3;983.2;29.8;22.7;16.8;66.2;6.3;3.1;
2006-12-31;14;233.5;4.2;172.4;981.6;33.8;26.6;20.4;65.6;6.6;2.6;
2007-01-31;14;211.8;5.1;244;981.2;32.3;25.7;20.5;72.5;6.6;2.6;
2007-02-28;14;226.6;4;164.1;982.2;32.2;25.3;20;71.7;6.6;2.8;
2007-03-31;5;203.7;4.8;155.1;983.3;32.1;25.2;20.4;74.6;6;2.5;
2007-04-30;5;190.1;4.3;268.8;985.4;28.6;22.2;17.7;76;6.8;2.5;
2007-05-31;14;180.8;4.3;205.4;988.4;21.1;14.7;10.3;77.6;7.6;2.8;
2007-06-30;5;104.3;6.2;53;987;21.7;16;12.1;73.6;8.1;2.7;
2007-07-31;5;146;4.6;118.2;988.4;18.8;12.4;8.1;74;6.6;2.8;
2007-08-31;14;111.5;6.1;51.6;988.8;20.8;14.6;10.1;75.7;6.1;3.3;
2007-09-30;14;126.7;4.9;367.1;987.6;26.6;20.3;15.7;69.8;7.6;3.2;
2007-10-31;9;123.8;6.3;222.9;983.9;28;22;17.3;74.1;6.6;3.4;
2007-11-30;14;233.7;3.4;164.5;983.2;29.3;21.9;15.2;61.7;5.3;2.7;
2007-12-31;14;231.8;3.9;105.4;981.9;33.4;25.9;19.5;61.8;6.8;2.6;
2008-01-31;14;244.6;4.1;140.1;982.6;32.1;25.4;20.1;67.5;6.3;2.7;
2008-02-29;14;226.1;4;136.9;982.9;32.3;25.2;19.5;67.3;4.5;2.3;
2008-03-31;14;237.1;4.1;53.3;984;30.4;23.6;18.5;73.1;6;2.6;
2008-04-30;5;214.2;3.7;195.2;984.4;26.7;19.8;15;72.9;5.5;2.3;
2008-05-31;5;178.7;4;89.4;988.2;22.5;16.1;11.7;76.5;5.5;2.5;
2008-06-30;5;112.8;6;189;989.6;18.7;13.4;9.5;79.9;6.6;2.6;
2008-07-31;5;156.2;4.4;50.9;988.4;23.6;17.9;14.2;76.1;6;3;
2008-08-31;14;177.4;5;132.5;986.9;22.7;16.1;11.3;77.9;6.1;2.7;
2008-09-30;9;189.7;4.2;80.9;988.6;22.8;16.1;10.7;70.6;6.6;3;
2008-10-31;14;167.9;5.7;483.5;985.9;26;20.3;15.5;75.8;6.1;3;
2008-11-30;14;259.3;3.2;47.9;983.5;31.1;23.8;17.5;63.6;5.6;2.8;
2008-12-31;14;256;3.5;40.3;982;33;25.5;18.9;59.7;5.6;2.7;
2009-01-31;14;233.9;4.2;126.3;983;31.5;24.6;19;67.9;5;2.8;
2009-02-28;14;183.5;5.4;131.7;982.4;31.9;25.4;20.3;72.7;6.3;2.5;
2009-03-31;14;266.2;3.1;44;983.2;31.7;24.3;18.9;72.6;4.6;2.2;
2009-04-30;14;260.5;1.6;7.5;986.8;30.5;21.8;15.5;65.2;4.8;2.4;
2009-05-31;5;158.6;5;156.1;986.4;24.6;18.5;14.2;73.7;5;2.5;
