Nome: TORRES
Codigo Estacao: 83948
Latitude: -29.35027777
Longitude: -49.71666666
Altitude: 4.66
Situacao: Desativada
Data Inicial: 2001-01-01
Data Final: 2021-04-26
Periodicidade da Medicao: Mensal

Data Medicao;DIRECAO PREDOMINANTE DO VENTO, MENSAL(° (gr));INSOLACAO TOTAL, MENSAL(h);NEBULOSIDADE, MEDIA MENSAL(décimos);PRECIPITACAO TOTAL, MENSAL(mm);PRESSAO ATMOSFERICA, MEDIA MENSAL(mB);TEMPERATURA MAXIMA MEDIA, MENSAL(°C);TEMPERATURA MEDIA COMPENSADA, MENSAL(°C);TEMPERATURA MINIMA MEDIA, MENSAL(°C);UMIDADE RELATIVA DO AR, MEDIA MENSAL(%);VENTO, VELOCIDADE MAXIMA MENSAL(m/s);VENTO, VELOCIDADE MEDIA MENSAL(m/s);
2001-01-31;0;null;7.5;191.8;null;28.3;24.5;21.6;85.8;null;null;
2001-02-28;9;null;7.3;180.3;null;29.2;25.5;22.7;87.7;null;null;
2001-03-31;null;null;null;null;null;null;null;null;null;null;null;
2001-04-30;0;null;6.6;241;null;26;22.1;18.9;87.3;null;null;
2001-05-31;0;null;6.1;98.4;null;21.4;17.5;14.5;85.1;null;null;
2001-06-30;0;null;5.4;97.7;null;20.7;16.6;13.5;84.5;null;null;
2001-07-31;0;null;5.4;278.9;null;18.7;14.7;11.3;86.3;null;null;
2001-08-31;5;null;7.1;52.8;null;21.3;17.8;14.8;88.6;null;null;
2001-09-30;5;null;7.9;78.8;1013.1;20.6;17.4;15;86.6;7.3;3.1;
2001-10-31;5;null;6.5;121.4;1010.5;23.5;19.9;17.2;85.9;6.2;2.5;
2001-11-30;9;null;6.5;118.1;1009.3;24.3;20.7;17.9;87.2;6.2;2.2;
2001-12-31;0;null;6.2;27.6;1007.4;26.4;22.6;19.3;84;6.2;2.2;
2002-01-31;0;null;5.8;181.5;1007.6;28;null;null;81.6;5.1;1.8;
2002-02-28;0;null;5.5;67.8;1009;28;23.6;20;81;5.1;1.8;
2002-03-31;0;null;7.1;161.2;1008.7;29.4;25.2;22.5;87.2;9.3;1.6;
2002-04-30;0;null;7.2;109.4;1011.6;25.4;21.5;18.6;84.6;6.2;1.6;
2002-05-31;0;169.4;5.5;103.1;1015.5;22.7;18.9;15.7;92.3;6.2;1.2;
2002-06-30;0;155.4;6.1;259.6;1018.9;19.2;15.1;12.1;91.9;8.7;1.7;
2002-07-31;0;147.9;6;138.2;1018.8;18.1;14.2;11;86.4;9;1.6;
2002-08-31;0;162.4;5.9;155;1016.9;19.2;15.9;13.1;85.2;7;2.2;
2002-09-30;0;190.3;5.3;124;1016.5;19.3;15.7;12;78.6;9;2.2;
2002-10-31;5;122.7;7.9;245.1;1013.1;22.7;19.9;17.5;87.6;8.2;2.2;
2002-11-30;5;177.3;7.6;227.6;1012.1;24.6;21.7;18.7;79.2;8;2.7;
2002-12-31;5;175.5;7;152.6;1011.6;25.5;22.6;19.9;83.2;8;2.6;
2003-01-31;5;253.6;5.6;56.3;1010.8;27.4;24.1;20.8;79.8;8;2.7;
2003-02-28;0;192.8;6.2;265;1011;29.1;25.2;22.1;82.1;7;1.7;
2003-03-31;0;211.1;5.5;84.4;1012.7;28.1;24.2;20.8;79.8;14;2.2;
2003-04-30;0;191.4;4.9;69.8;1015.1;24.4;20.6;16.8;79.1;7;1.8;
2003-05-31;0;221.5;4.9;19.3;1015.9;22.9;17.8;13.5;76.7;9;2.4;
2003-06-30;0;97.8;7.5;172;1016.6;20.6;17;14.1;88.1;9;1.6;
2003-07-31;0;130.7;6.9;103.9;1019.5;19.4;15;11.6;86;9;1.8;
2003-08-31;0;208.6;4.5;21.6;1019.6;18.5;14.2;10.2;80.5;8;2.1;
2003-09-30;0;149.6;6;59.5;1018.3;18.6;15.2;11.9;84.9;8;2.6;
2003-10-31;5;170.4;6.8;135.3;1015.9;22.2;19;15.9;82.3;10;2.9;
2003-11-30;5;211.8;6.3;62.4;1011.8;24.3;20.9;17.5;78.6;12;3.4;
2003-12-31;5;169.8;7;185.8;1011.6;25.8;22.3;18.7;76.8;10;3.5;
2004-01-31;5;210.1;6.4;86.9;1011.4;26.2;23.1;20;84.1;8;2.9;
2004-02-29;0;227.3;4.8;91.8;1013.1;27;23.2;19.4;78.3;7;2.7;
2004-03-31;0;205;5.2;237.3;1014.3;26.5;23;19.5;79.8;14;2.7;
2004-04-30;0;191.1;5.1;45.3;1013.9;24.7;21.2;18.2;86.7;8;2.2;
2004-05-31;0;160.4;6.1;418.8;1017.8;20.7;16.8;13.5;82.8;6;1.8;
2004-06-30;0;158.4;5.7;47.7;1018.8;20.5;16.1;12.7;86.9;7;1.5;
2004-07-31;0;165;5.2;97.7;1019.7;18.8;14.3;10.5;83;8;2.5;
2004-08-31;0;206.6;5.8;27.1;1019.4;19.8;15.6;11.7;82.1;8;2.5;
2004-09-30;0;107.7;7.6;157.5;1016.7;20.7;17.8;15.1;88.4;9;2.6;
2004-10-31;5;214.4;5.3;102.6;1014.8;21.6;18.3;14.8;79.9;9;3.6;
2004-11-30;5;183.2;6.5;95.4;1012.1;23.2;20.3;17.1;81.5;10;3.6;
2004-12-31;5;204.9;6.5;152.8;1012.8;24.3;21.4;18.8;84.1;8;3.2;
2005-01-31;5;230;5.8;16.2;1010.5;26.9;23.5;20.3;81.8;9;2.9;
2005-02-28;5;180.5;6;null;1012.3;26.4;23.3;20.3;81.9;7;3;
2005-03-31;5;200.7;5;222.6;1013.3;26.6;23.5;20.2;81.3;7;2.7;
2005-04-30;0;165;6.2;125;1015.2;24.2;20.7;17.5;84.8;8;2.3;
2005-05-31;0;174.6;5.3;88.5;1014.3;23;18.6;15.1;86.4;7;1.6;
2005-06-30;0;149.2;7.3;50;1016.9;22;18;14.9;89.8;6.2;1;
2005-07-31;0;216;4.2;71.6;1019.9;20.6;15.3;11;81.5;7;1.7;
2005-08-31;0;141.3;6.3;203.9;1016.8;20.8;16.6;13.4;86.1;8.2;2.5;
2005-09-30;18;132.9;6.7;214;1018.9;19.1;15.9;12.8;81.3;12;3.4;
2005-10-31;18;130.9;7.5;220.9;1014.7;21.5;18.8;16.1;85.5;9;3.1;
2005-11-30;5;229.7;5;92.3;1013.5;24;20.6;17;82.3;7;3;
2005-12-31;5;232.5;5.6;47;1012.2;25.6;22.3;18.7;75.9;8;3.7;
2006-01-31;5;229.8;5.7;156.8;1011.6;27.6;24.3;21.3;84.5;8;2.6;
2006-02-28;0;161.7;6.8;159.7;1010.3;27.9;24.2;20.9;81.9;7;2.3;
2006-03-31;5;196.4;5.5;89.6;1011.8;28;24.1;20.3;78.7;8;2.6;
2006-04-30;0;223.5;4.4;39.1;1014.4;25.5;20.7;16.2;78.2;8;2;
2006-05-31;0;197.9;4.7;139.7;1018.7;20.9;16.1;12.2;81.4;9;2.5;
2006-06-30;0;153.2;5.5;62.1;1018.6;20.1;16.1;12.7;85.7;7;1.9;
2006-07-31;0;168;5.1;111.5;1017.4;20.7;16.7;13.3;87.5;8;1.5;
2006-08-31;0;186.2;4.8;79;1016.4;19.9;15.5;11.7;81.7;9;2.3;
2006-09-30;5;173;5.9;44.1;1016.6;18.9;15.3;11.9;82;10;2.6;
2006-10-31;5;130.2;7.2;53.7;1015;21.7;19.1;16.5;85.5;8;3.1;
2006-11-30;5;148.9;6.6;189.2;1013.8;22.8;20;17.2;83.8;9;3.5;
2006-12-31;5;233.5;6;77.6;1011.5;25.1;22.2;19.6;86.5;8;2.7;
2007-01-31;5;190.1;5.9;210.7;1010.4;26.3;23.3;20.3;82.6;7;2.6;
2007-02-28;5;181.1;5.4;192;1012;26.5;23.7;20.9;84.9;7;2.3;
2007-03-31;0;149;7.3;198.3;1012;27.6;24.7;22.2;87.8;7;1.8;
2007-04-30;0;185.5;5.2;100.3;1015.1;25.9;22.1;18.7;83.9;9;2;
2007-05-31;0;155.6;5.9;134.6;1017.1;20.2;16.1;12.8;81.7;9;2.6;
2007-06-30;0;122;6.2;56.2;1015.8;18.9;14.7;11.4;85;12;1.4;
2007-07-31;0;185.9;5;188.4;1017.2;17.5;13;9.2;82;9;1.8;
2007-08-31;0;134.3;6.5;144.7;1018.8;16.8;13.8;10.9;88.6;8;2;
2007-09-30;5;132.7;6.6;178.6;1018.1;20.4;17.8;15.5;88.1;8;2.7;
2007-10-31;5;130.2;7.7;83.2;1014;23;20.2;17.3;85.4;10;3;
2007-11-30;5;234.3;4.9;185.3;1012.3;23;19.6;15.8;79.6;10;3.3;
2007-12-31;5;213;5.8;154.1;1011;25.9;22.9;19.7;82.6;7;2.7;
2008-01-31;5;197.5;6;81.1;1012.6;26.6;23.6;20.4;80;6;2.9;
2008-02-29;0;206.3;5.1;257.1;1012;26.1;22.9;19.8;85.4;7;2.1;
2008-03-31;0;204.1;5.3;87.1;1012.8;25.9;22.6;19.3;84.9;6;1.8;
2008-04-30;0;191.4;4.5;136;1012;24.3;19.9;15.9;83.3;10;1.8;
2008-05-31;0;203.7;4.4;160;1015.8;22.3;17.3;12.9;82.2;14;1.8;
2008-06-30;0;145.4;5.6;104;1017.8;18;14;10.2;86.2;8;1.1;
2008-07-31;0;152.4;5.5;51;1018.4;19.8;16.3;13.3;89.4;8;1.2;
2008-08-31;0;156.6;6;99.5;1016.2;19.3;15.5;12.2;86.6;9;2.2;
2008-09-30;0;162;6.9;197;1018;19.7;16.1;12.5;83.7;9;2.8;
2008-10-31;0;140.3;7;172.9;1016.2;21.7;18.9;16.1;85.1;9;2.6;
2008-11-30;5;128.7;7;145.8;1014.9;22.6;20.1;17.7;86.5;8;3;
2008-12-31;5;245.5;5;25;1011.7;24.8;21.2;18.2;85.4;6;2.3;
2009-01-31;0;179.6;5.8;200.9;1012.1;25.5;22.2;19.1;85.3;6;2;
2009-02-28;0;132.3;7.2;118.4;1011.5;26.4;23.2;20.5;86.9;6;1.4;
2009-03-31;0;160.3;5.7;112.1;1011.7;27;23.6;20.4;83.8;7;2.1;
2009-04-30;0;211.4;4;100.8;1015.6;25;21;16.9;80;7;1.9;
2009-05-31;0;190.6;4.8;80.2;1015.1;22.5;17.9;14.1;83.4;7;1.2;
2009-06-30;0;166.5;5.2;39.6;1017.9;18.6;14.2;10.5;82.8;7;1.6;
2009-07-31;0;165.3;5.4;50.9;1018.2;17.2;12.7;9;84.2;8;1.4;
2009-08-31;0;197.2;4.7;161.8;1016.6;19.6;15.2;11.5;88.3;8;2;
2009-09-30;18;104.2;7.5;440.3;1015.6;20.2;17.1;14.3;87;8;2.7;
2009-10-31;18;129.9;7.6;84.1;1014.2;21.6;18.3;15.4;85.6;7;2.5;
2009-11-30;5;97.6;8;149.1;1008.9;25.6;22.4;19.8;88.5;6;2.3;
2009-12-31;5;176.9;7.4;107.1;1010.8;26.3;23.2;20.5;84;7;2.6;
2010-01-31;0;151.9;7.7;164.9;1010.8;27.8;24.6;21.6;84.9;6;1.6;
2010-02-28;0;183.3;6.3;158.4;1010.6;29.8;25.9;22.3;80.1;8;2.2;
2010-03-31;0;148.9;6.3;162.5;1011.9;27.3;24;20.7;83;7;2.2;
2010-04-30;0;158.9;5.4;138.8;1016.1;24.7;20.8;17.6;82.6;6;1.8;
2010-05-31;0;119.9;6.7;272;1016.3;21.8;18.2;15.3;86.4;8;2.1;
2010-06-30;0;131.2;6.7;72.5;1019.1;19.8;15.6;12;84.4;7;1.7;
2010-07-31;0;170.2;5.8;87.4;1019.2;19.7;15.1;11.3;84.2;6;1.6;
2010-08-31;0;155.8;6.1;54.6;1019.8;18;14.3;10.8;83.9;7;2.2;
2010-09-30;5;129.7;6.6;124.5;1016;20.5;17.5;14.3;83.3;9;2.9;
2010-10-31;18;174.2;6.1;39;1014.7;21.8;18.2;14.5;79.5;7;2.2;
2010-11-30;9;215.8;5.7;145.5;1011.2;23.8;20.2;16.4;80.6;10;2.9;
2010-12-31;5;null;5.7;71.7;1009.6;25.8;22.5;19.4;82.2;8;2.5;
2011-01-31;0;143.2;6.7;324.5;1009;28.2;24.8;22;87.6;7;1.4;
2011-02-28;0;129.9;6.8;185.2;1011.2;27.8;24.8;22.4;86.2;7;2.2;
2011-03-31;5;169.1;5.8;129;1014.5;24.8;21.6;18.5;84.9;7;2.3;
2011-04-30;0;194.8;4.8;99.5;1014.6;24.6;20.4;16.7;85.6;5;1.1;
2011-05-31;0;164.9;5.5;57.8;1017.7;22.3;17.8;14.2;81.9;7;1.7;
2011-06-30;0;137.7;6.3;168.4;1016.2;19;14.1;10.3;83.2;7;1.5;
2011-07-31;0;129.4;6.8;265.7;1017.6;16.9;13.3;10.5;89.2;6;1.7;
2011-08-31;5;124.5;6.6;330.1;1016.5;18.6;14.9;11.9;82.4;9;2.4;
2011-09-30;18;154;5.4;93.7;1019.4;19.2;15.7;11.8;85;10;2.9;
2011-10-31;5;167.9;6.2;77.6;1013.3;21.8;18.9;15.8;82.6;9;2.8;
2011-11-30;5;195.1;6;31.3;1014.4;23.5;20.1;16.9;80.5;8;3.2;
2011-12-31;5;192.9;6.4;162.7;1011.2;25;21.5;17.9;84.1;6;1.9;
2012-01-31;5;224.1;5.6;236.6;1011.7;26.1;23;20.1;86;7;2.7;
2012-02-29;5;221.6;5;54.9;1010.6;27.6;23.8;20.5;85.4;7;2;
2012-03-31;0;255.5;3.3;12;1013.2;27.3;23;18.7;77.2;5;1.6;
2012-04-30;0;184.3;5.2;71.9;1014;24.6;20.4;16.5;79;7;2.1;
2012-05-31;0;208.3;4.6;19.8;1018;23.6;18.7;14.3;83.1;6;1.5;
2012-06-30;0;168.3;4.8;66.9;1017;19.8;14.9;10.7;84.1;5;1;
2012-07-31;0;143.6;5.8;127.2;1017.9;18;13.7;10.1;81.5;7;1.8;
2012-08-31;5;174.5;6;112.3;1019.9;21.2;17.3;13.9;87.8;8;2.3;
2012-09-30;5;149;6.4;199.3;1017.3;21.6;18;14.7;81.5;9;2.7;
2012-10-31;5;137.4;7.4;124.2;1012.5;23.7;20.1;17.2;83.8;7;2.3;
2012-11-30;5;244.1;5.5;32.7;1012.9;25.1;21.4;17.7;82.2;7;2.5;
2012-12-31;5;201.8;6.5;234;1009.1;27.7;23.6;20;84;8;2.4;
2013-01-31;5;264.2;5;152.1;1013;27.3;23.7;19.9;75;8;2.7;
2013-02-28;0;141.7;7;290;1011.3;27.7;24.1;21;83.6;7;1.7;
2013-03-31;0;133.2;6.9;240.9;1014.2;25.5;22;18.2;81.5;6;2;
2013-04-30;0;209.9;4.5;62.9;1015.3;24.8;20.5;16.3;81.1;5;1.8;
2013-05-31;0;165.4;6.4;27.1;1015.4;22;17;12.7;83.1;8;1.6;
2013-06-30;0;117.5;6.8;102.2;1016.7;19.5;15.6;12.5;88.2;6;1.2;
2013-07-31;0;203.5;4.8;57.8;1019.4;18.7;13.4;9.4;85;5;1;
2013-08-31;0;192.2;5.2;419.1;1018.4;18.1;13.8;10.2;86.3;6;1.9;
2013-09-30;9;138.2;7;141.1;1016.2;20.2;16.6;13.3;85.8;8;2.1;
2013-10-31;5;193.8;5.8;73.4;1015.5;22.6;19.1;15.7;82.1;8;2.6;
2013-11-30;5;220.3;5.7;149.9;1012.9;23.9;20.4;17.1;82;8;3.7;
2013-12-31;9;238.4;5.8;79.7;1010.3;26.6;22.9;19.7;84.6;9;2.5;
2014-01-31;0;221.6;5.7;173.2;1011.5;29;24.9;21.3;84;5;1.8;
2014-02-28;0;214.4;5.4;432.4;1012.1;28.9;25.1;21.8;82.8;8;2.1;
2014-03-31;0;164.2;6;268.2;1013;26.7;23;19.5;84.4;6;1.6;
2014-04-30;0;183.6;6.1;74.3;1016;25.2;21.3;17.8;81.5;6;1.7;
2014-05-31;0;163.2;6.3;94;1016.3;21.9;17.6;14.2;84;6;1.4;
2014-06-30;0;128.6;6.1;196.5;1016.6;19.9;15.7;12.4;87.7;6;1.1;
2014-07-31;0;160.7;4.9;91;1020.2;19.8;15.5;11.9;86;7;1.4;
2014-08-31;0;188.9;4.8;101.2;1018;20.5;15.7;11.7;82.9;9;1.5;
2014-09-30;5;115.8;7.9;123.4;1015.3;21.5;18.2;15;86.9;7;2.4;
2014-10-31;5;184.6;7;133.9;1015.7;23.5;20.2;17.4;83.5;10;2.9;
2014-11-30;5;217.9;5.8;73.9;1012.6;25.4;21.8;18.3;80.8;6;2.1;
2014-12-31;5;207.2;6.6;94.5;1011.1;27.3;23.7;20.1;81.3;7;2.3;
2015-01-31;0;195.2;6.7;182;1012.1;29.7;25.6;22.2;82.2;8;1.8;
2015-02-28;0;196.7;6.5;213.5;1012;28.5;24.5;21;84;7;1.9;
2015-03-31;0;195.8;6.2;129.3;1013.7;27.1;23.3;19.8;83.3;7;2.2;
2015-04-30;0;164.2;5.2;152.7;1015.8;24.9;21;17.5;83.5;7;1.7;
2015-05-31;0;172.4;4.9;308.3;1017.5;22.6;18.5;15.2;86.7;8;1.5;
2015-06-30;0;169.7;5;111.1;1018.5;21.3;15.9;11.6;84.3;5;1;
2015-07-31;0;140.2;7;239.7;1017.1;19.7;15.9;12.7;90;7;1.5;
2015-08-31;5;173.9;6.2;97.4;1015.8;22.5;18.9;16;85.8;7;2.2;
2015-09-30;0;118.4;7;252.7;1013.8;21.2;17.5;14.4;84.9;8;1.9;
2015-10-31;5;88.6;8.9;268.5;1015.1;21.6;18.6;15.9;87;7;2.1;
2015-11-30;5;121.1;8.1;101.8;1012.5;24;20.7;17.9;83.9;8;2.2;
2015-12-31;5;156.3;8.2;148;1011;26.7;23.3;20.4;86.2;8;2.3;
2016-01-31;9;192.4;6.3;69.1;1011.9;27.6;23.8;20.5;84.6;6;1.5;
2016-02-29;0;186.5;6.5;88.3;1011.6;28.6;24.5;21.3;84.9;4;1;
2016-03-31;0;185.2;5.5;217.8;1014.2;27.6;23.4;19.4;82.1;9;1.7;
2016-04-30;0;160.9;7.3;295.3;1013.4;26.7;22.8;19.9;84.4;6;1.4;
2016-05-31;0;138;6.7;31.2;1018.6;20.4;16;12.3;85.8;6;1.3;
2016-06-30;0;155.4;5.2;14.5;1021.1;16.9;11.8;7.5;82.7;8;1;
2016-07-31;0;185.4;5.5;123.7;1017.5;18.3;13.7;9.6;84.5;7;1.5;
2016-08-31;0;164;5.4;80;1016.7;20.3;15.3;11.4;86;7;1.5;
2016-09-30;18;221.4;4.9;53.8;1017.5;21.2;16.6;12.7;80.6;9;2.5;
2016-10-31;5;147.3;7.1;215.5;1015;21.8;18.7;15.6;84.5;9;2.9;
2016-11-30;5;264.3;5.1;72.5;1013.3;25.2;20.9;16.6;75.6;8;3.2;
2016-12-31;5;213.4;6.3;224;1011;27.3;23.4;19.6;82;7;2.1;
2017-01-31;0;213.4;6.5;184.8;1011.4;29.4;25.4;21.9;80.5;6;2;
2017-02-28;5;178.4;6.3;78.9;1011.1;29.6;25.8;22.3;82.3;5;1.5;
2017-03-31;0;168.2;6.2;209.8;1014.2;27.9;23.8;20.1;79.2;6;1.7;
2017-04-30;0;141.7;5.9;66.4;1015.9;24.6;20.3;16.8;83.2;5;1.4;
2017-05-31;0;130.2;7.1;186.9;1016.3;22.5;18.9;15.7;88.8;7;1.5;
2017-06-30;0;173.8;5;167.9;1017.3;21.4;16.1;12.4;86.8;7;1;
2017-07-31;0;230.8;3;4.1;1022.8;21.5;15.7;10.9;84.6;8;1.1;
2017-08-31;5;193.9;4.8;85.8;1017.1;21.8;17.6;13.5;81.7;9;2.3;
2017-09-30;5;119.1;6.9;160.6;1017.6;22.2;19.2;16.8;87.7;8;2;
2017-10-31;5;164.1;7.2;136.9;1012.3;23.5;19.9;16.4;81.2;8;2.2;
2017-11-30;5;208.4;5;114.2;1011.9;25.1;20.6;16.2;77.9;7;2.1;
2017-12-31;5;187.6;6.3;168.1;1011.2;25.7;22.7;19.7;84.1;7;2.3;
2018-01-31;5;173.9;6.6;176.2;1011.2;27.6;23.9;20.8;82.9;7;1.7;
2018-02-28;5;230.7;4.7;49.7;1012.7;27.9;23.7;19.7;79.3;5;1.8;
2018-03-31;18;186;6;135.4;1011.3;27.6;23.3;19.5;81.8;8;2.6;
2018-04-30;0;217.9;5;56.4;1015.9;27.7;23;18.9;83;5;1.5;
2018-05-31;0;193.3;5;89.6;1017.3;23.4;18.6;14.5;82.5;6;2;
2018-06-30;0;155;6.5;142.1;1017.8;20.5;14.8;10.4;82.9;8;1.3;
2018-07-31;0;145.1;6.3;209.6;1018.1;18.7;14.7;11.7;88.5;8;1.9;
2018-08-31;0;190.3;5.1;75.1;1019.1;18.7;14.4;10.4;83.8;5;1.5;
2018-09-30;0;115;7.1;160.9;1015.3;22.2;18.6;15.9;90.1;8;1.9;
2018-10-31;18;164.9;7;189.3;1014.6;23.5;20;16.5;80.7;8;3;
2018-11-30;5;222.8;5.6;63.8;1013.1;25;21.4;17.7;81.3;7;2.8;
2018-12-31;18;263.7;5.2;40.4;1012;27.9;23.6;19.5;79.5;6;2.4;
2019-01-31;0;174.8;7.3;104.8;1012.1;29.9;25.8;22.8;85.3;6;1.8;
2019-02-28;18;187.3;6;168.6;1012.1;29.1;24.5;20.7;81.7;8;1.8;
2019-03-31;18;163.5;6.3;226;1014.5;27.5;23.3;19.5;81.4;8;2;
2019-04-30;0;141.4;6.3;199.1;1013.7;25.9;22.2;19.1;86;6;1.5;
2019-05-31;0;106.1;7.2;274.7;1015.3;23.6;19.8;17;88.3;5;1.3;
2019-06-30;0;145;6.8;87.9;1017.4;23.7;18.3;14.4;86.8;7;1;
2019-07-31;0;151.8;5.5;59.4;1018.6;18.8;14.2;10.7;84.8;5;1.4;
2019-08-31;0;206.6;4.1;19.1;1020.6;20.5;15.1;10.8;83.1;6;2.3;
2019-09-30;0;143;6.6;86.5;1017.1;20.5;16.8;13.3;83.8;8;2;
2019-10-31;0;146.1;6.9;253.2;1014.2;23.7;20.1;17;88.3;7;2.1;
2019-11-30;5;185.7;6;85.4;1012.9;24.4;20.9;17.8;83.5;6.2;2.2;
2019-12-31;5;295.8;3.7;50.5;1011.2;27.6;23.2;18.9;78.8;6;2.1;
2020-01-31;0;191.9;6.3;181.2;1010.9;28.6;24.3;20.8;81.9;6;1.6;
2020-02-29;5;236.1;5.1;61.3;1013.4;27.7;23.6;19.7;79.3;7;1.8;
2020-03-31;5;232;4.1;19.5;1014.7;28.1;23.7;19.5;80.6;5;1.7;
2020-04-30;0;232.9;3.7;52.1;1016;26.3;20.6;15.7;76.9;10.3;2;
2020-05-31;null;null;null;null;null;null;null;null;null;null;null;
2020-06-30;null;null;null;null;null;null;null;null;null;null;null;
2020-07-31;null;null;null;null;null;null;null;null;null;null;null;
2020-08-31;null;null;null;null;null;null;null;null;null;null;null;
2020-09-30;null;null;null;null;null;null;null;null;null;null;null;
2020-10-31;null;null;null;null;null;null;null;null;null;null;null;
2020-11-30;null;null;null;null;1013.2;26.6;22.4;19.3;82.9;5;null;
2020-12-31;5;196.1;6.4;147.1;1011.7;26.8;23.1;19.7;82.8;6;2.1;
2021-01-31;0;170.6;6.8;130.6;1010.8;28.5;24.2;21;84.5;6;1.8;
2021-02-28;0;226.5;5;106;1011.2;29.2;24.6;20.3;79.1;5;1.5;
2021-03-31;0;157;6.2;168.1;1012;28.1;23.9;20.5;84.5;6;1.5;
2021-04-30;5;null;5.5;null;1016.1;26.8;22.1;18.5;80;8;1.8;

