Nome: URUGUAIANA
Codigo Estacao: 83927
Latitude: -29.83999999
Longitude: -57.08194443
Altitude: 74.41
Situacao: Desativada
Data Inicial: 2001-01-01
Data Final: 2019-03-31
Periodicidade da Medicao: Mensal

Data Medicao;DIRECAO PREDOMINANTE DO VENTO, MENSAL(° (gr));INSOLACAO TOTAL, MENSAL(h);NEBULOSIDADE, MEDIA MENSAL(décimos);PRECIPITACAO TOTAL, MENSAL(mm);PRESSAO ATMOSFERICA, MEDIA MENSAL(mB);TEMPERATURA MAXIMA MEDIA, MENSAL(°C);TEMPERATURA MEDIA COMPENSADA, MENSAL(°C);TEMPERATURA MINIMA MEDIA, MENSAL(°C);UMIDADE RELATIVA DO AR, MEDIA MENSAL(%);VENTO, VELOCIDADE MAXIMA MENSAL(m/s);VENTO, VELOCIDADE MEDIA MENSAL(m/s);
2001-01-31;9;206.8;6.1;272;null;31;25;20.1;82.1;null;null;
2001-02-28;9;189.4;6.5;145.7;null;31.9;26.3;21.5;82;null;null;
2001-03-31;5;202.2;6.2;143.3;null;31.2;25;20.3;83.1;null;null;
2001-04-30;14;116.3;6.7;276.6;null;25;19.7;15.4;86.3;null;null;
2001-05-31;18;126.9;5.2;80.3;null;20.6;14.7;9.1;84.8;null;null;
2001-06-30;5;90.2;5.8;123.1;null;19.6;14.6;10.9;86.9;null;null;
2001-07-31;5;183.4;4.4;10.1;null;20.7;14.2;9.2;83.8;null;null;
2001-08-31;5;174.3;4.9;89.4;null;25.6;18.2;12.8;76.8;null;null;
2001-09-30;14;124.4;6.9;33;1007.1;21.9;16.5;12.2;82.2;7.3;3.1;
2001-10-31;14;null;6.4;58;1004.9;25.1;20.2;15.6;81.3;7.3;2.5;
2001-11-30;14;225.8;5;78;1003.4;28.5;22.2;16.1;80.2;7.3;2.5;
2001-12-31;9;239.2;5.3;1;1002.6;31.1;24.1;17.6;76.9;7.3;2.6;
2002-01-31;9;267.9;5.1;100.3;1002.3;32.7;25.8;19.5;70.1;7;2.9;
2002-02-28;9;219.2;4.5;51.4;1003.1;30.3;24.5;19;71.5;5;1.9;
2002-03-31;5;146.6;7.1;358.1;1002.9;30.1;24.5;20.7;84.9;7;2.6;
2002-04-30;5;104;6.8;336.8;1005.3;23.8;19.2;15.6;87.1;7;2.1;
2002-05-31;5;142.4;5.7;84.4;1005.9;23;17.7;14.1;85.9;7.2;2.6;
2002-06-30;5;138.8;5.6;39.9;1010.7;18.3;12.4;8.4;84.9;8.7;2.5;
2002-07-31;14;144;5.9;132.7;1009.8;17.6;12.1;8.3;82.8;7;2.3;
2002-08-31;5;169.9;5.7;69.7;1006.9;22.1;15.5;11.2;78.1;9;2.6;
2002-09-30;5;195.5;5.5;140;1007.7;21.8;16.1;10.6;74.2;9;3.1;
2002-10-31;5;140.2;7.2;246.2;1001.8;26;20.7;17;79.1;8.7;3;
2002-11-30;36;174.5;6.1;169.3;1003.2;27.1;21.7;17;76.5;9;2.5;
2002-12-31;14;176.9;5.8;277.4;1002.5;28.6;23.6;19.3;74.5;5;2.3;
2003-01-31;5;292.1;4;116.2;1001.8;31.7;25.6;20.6;68.7;9;1.6;
2003-02-28;5;165.2;6.1;133.4;1003;30.2;23.8;19.1;75.4;7;2.1;
2003-03-31;9;175;6.5;325.2;1004.6;27.3;22.2;17.9;77.8;7;1.7;
2003-04-30;5;178.3;4.8;182.5;1006.8;24.1;18.7;14.2;80.3;9;1.9;
2003-05-31;5;186.4;4.6;145.6;1007.3;22.7;16.3;11.6;73.4;7;2.2;
2003-06-30;5;109.4;6.8;101;1007.2;20.5;15.7;12.1;85.2;9;2.1;
2003-07-31;5;147.8;5.4;14.6;1010.2;18.4;12.5;8.3;81.5;7;2;
2003-08-31;5;188;4.6;120.4;1011.4;19.4;12.9;7.8;78.1;9;2.4;
2003-09-30;9;190.8;4.8;36.9;1007.6;24.3;16.9;10.5;70.8;9;3.5;
2003-10-31;9;207.5;4.8;243.2;1005;26.3;20;14.8;74.4;9;3.2;
2003-11-30;5;246;5.1;128.9;1002.6;28.2;21.8;16;70.4;7;2.8;
2003-12-31;5;202.8;5.8;204.7;1002;27.4;22;17;75.4;9;2.5;
