"","code","name","theme","source","freq","lastupdate","status"
"1","ABPO12_PAPEL12","Papelão ondulado - expedição de caixas, acessórios e chapas - quantidade","Macroeconomic","ABPO","Monthly",2025-07-11,"Active"
"2","ANP_CGASN","Consumo aparente - gás natural - quantidade","Macroeconomic","ANP","Yearly",2023-07-24,"Active"
"3","ANP_CGASOL","Consumo aparente - gasolina - quantidade","Macroeconomic","ANP","Yearly",2023-07-24,"Active"
"4","ANP_COLDIE","Consumo aparente - óleo diesel - quantidade","Macroeconomic","ANP","Yearly",2024-10-04,"Active"
"5","ANP_CPET","Consumo aparente - petróleo - quantidade","Macroeconomic","ANP","Yearly",2024-10-04,"Active"
"6","ANP_MPET","Importações - petróleo - quantidade","Macroeconomic","ANP","Yearly",2024-10-07,"Active"
"7","ANP_PDALCO","Produção - álcool - quantidade","Macroeconomic","ANP","Yearly",2024-10-07,"Active"
"8","ANP_PDPET","Produção - petróleo - quantidade","Macroeconomic","ANP","Yearly",2024-10-07,"Active"
"9","ANP_PGASOL","Produção - gasolina - quantidade","Macroeconomic","ANP","Yearly",2024-10-07,"Active"
"10","ANP_PRALCO","Preço médio - álcool - metro cúbico","Macroeconomic","ANP","Yearly",2025-02-25,"Active"
"11","ANP_PRGASOL","Preço médio - gasolina - metro cúbico","Macroeconomic","ANP","Yearly",2025-02-25,"Active"
"12","ANP_PRGLP","Preço médio - gás GLP - tonelada","Macroeconomic","ANP","Yearly",2025-02-25,"Active"
"13","ANP_PROLDIE","Preço médio - óleo diesel - metro cúbico","Macroeconomic","ANP","Yearly",2025-02-25,"Active"
"14","ANP_XPET","Exportações - petróleo - quantidade","Macroeconomic","ANP","Yearly",2024-10-07,"Active"
"15","ANP12_CALCO12","Consumo aparente - álcool carburante - média - quantidade/dia","Macroeconomic","ANP","Monthly",2025-06-16,"Active"
"16","ANP12_CDEPET12","Consumo aparente - derivados de petróleo - média - quantidade/dia","Macroeconomic","ANP","Monthly",2025-06-16,"Active"
"17","ANP12_CGASOL12","Consumo aparente - gasolina - média - quantidade/dia","Macroeconomic","ANP","Monthly",2025-06-16,"Active"
"18","ANP12_COLDIE12","Consumo aparente - óleo diesel - média - quantidade/dia","Macroeconomic","ANP","Monthly",2025-06-16,"Active"
"19","ANP12_PDGASN12","Produção - gás natural - média - quantidade","Macroeconomic","ANP","Monthly",2025-06-16,"Active"
"20","ANP12_PDPET12","Produção - petróleo - média - quantidade/dia","Macroeconomic","ANP","Monthly",2025-06-16,"Active"
"21","AETT_FERRCARG","Transporte ferroviário - cargas transportadas - qde. - INATIVA","Macroeconomic","ANTT/AETT","Yearly",2022-08-04,"Inactive"
"22","AETT_RODAUTOMOV","Transporte rodoviário - frota nacional de automóveis - qde.","Macroeconomic","ANTT/AETT","Yearly",2025-07-08,"Active"
"23","AETT_RODCAMINH","Transporte rodoviário - frota nacional de caminhões - qde.","Macroeconomic","ANTT/AETT","Yearly",2025-07-08,"Active"
"24","AETT_RODONIBUS","Transporte rodoviário - frota nacional de ônibus - qde.","Macroeconomic","ANTT/AETT","Yearly",2025-07-08,"Active"
"25","AETT_RODVEICAUT","Transporte rodoviário - frota nacional de veículos automotores - qde.","Macroeconomic","ANTT/AETT","Yearly",2025-07-08,"Active"
"26","ABRAS12_INVNR12","Consumo nos lares - variação real","Macroeconomic","Abras","Monthly",2025-07-16,"Active"
"27","ANBIMA366_TJTLN12366","Taxa de juros prefixada - estrutura a termo - LTN - 12 meses","Macroeconomic","Anbima","Daily",2025-07-27,"Active"
"28","ANBIMA366_TJTLN1366","Taxa de juros prefixada - estrutura a termo - LTN - 1 mês","Macroeconomic","Anbima","Daily",2025-07-27,"Active"
"29","ANBIMA366_TJTLN3366","Taxa de juros prefixada - estrutura a termo - LTN - 3 meses","Macroeconomic","Anbima","Daily",2025-07-27,"Inactive"
"30","ANBIMA366_TJTLN6366","Taxa de juros prefixada - estrutura a termo - LTN - 6 meses","Macroeconomic","Anbima","Daily",2025-07-27,"Inactive"
"31","ANBIMA12_IBVSP12","Índice de ações - Ibovespa - fechamento","Macroeconomic","Anbima","Monthly",2025-07-01,"Active"
"32","ANBIMA12_TJPOUP12","Poupança - rentabilidade - depósitos até 03.05.2012  (1º dia do mês)","Macroeconomic","Anbima","Monthly",2025-07-02,"Active"
"33","ANBIMA12_TJTLN112","Taxa de juros pré fixada - estrutura a termo - LTN - 1 mês","Macroeconomic","Anbima","Monthly",2025-07-24,"Active"
"34","ANBIMA12_TJTLN1212","Taxa de juros pré fixada - estrutura a termo - LTN - 12 meses","Macroeconomic","Anbima","Monthly",2025-07-24,"Active"
"35","ANBIMA12_TJTLN312","Taxa de juros pré fixada - estrutura a termo - LTN - 3 meses","Macroeconomic","Anbima","Monthly",2025-07-24,"Active"
"36","ANBIMA12_TJTLN612","Taxa de juros pré fixada - estrutura a termo - LTN - 6 meses","Macroeconomic","Anbima","Monthly",2025-07-24,"Active"
"37","ANDA_MFERTILIZ","Importações - fertilizantes - quantidade","Macroeconomic","Anda","Yearly",2025-03-12,"Active"
"38","ANDA_PFERTILIZ","Produção- fertilizantes - quantidade","Macroeconomic","Anda","Yearly",2025-03-12,"Active"
"39","ANDA_VFERTILIZ","Venda - fertilizantes - quantidade","Macroeconomic","Anda","Yearly",2025-03-12,"Active"
"40","ANDA12_MFERTILIZ12","Importações - fertilizantes - quantidade","Macroeconomic","Anda","Monthly",2025-07-03,"Active"
"41","ANDA12_NPKFERTILIZ12","Exportações - fertilizantes e fórmulas NPK - quantidade","Macroeconomic","Anda","Monthly",2025-07-03,"Active"
"42","ANDA12_PFERTILIZ12","Produção- fertilizantes - quantidade","Macroeconomic","Anda","Monthly",2025-07-03,"Active"
"43","ANDA12_VFERTILIZ12","Venda - fertilizantes - quantidade","Macroeconomic","Anda","Monthly",2025-07-03,"Active"
"44","ANFAVE_QVEICL","Produção - autoveículos - automóveis -  montados - quantidade","Macroeconomic","Anfavea","Yearly",2025-07-08,"Active"
"45","ANFAVE12_LICVEN12","Vendas de autoveículos no mercado interno","Macroeconomic","Anfavea","Monthly",2025-07-08,"Active"
"46","ANFAVE12_LICVETOT12","Licenciamento total - Autoveículos - montados - qde.","Macroeconomic","Anfavea","Monthly",2025-07-08,"Inactive"
"47","ANFAVE12_QCAMINM12","Produção - caminhões - montados - qde.","Macroeconomic","Anfavea","Monthly",2025-07-08,"Active"
"48","ANFAVE12_QPASSAM12","Produção - automóveis - montados - qde.","Macroeconomic","Anfavea","Monthly",2025-07-08,"Active"
"49","ANFAVE12_QVETOTM12","Produção - autoveículos - montados - qde.","Macroeconomic","Anfavea","Monthly",2025-07-08,"Active"
"50","ANFAVE12_XPASSAM12","Exportações - automóveis - montados - qde.","Macroeconomic","Anfavea","Monthly",2025-07-08,"Active"
"51","ANFAVE12_XVETOTM12","Exportações - autoveículos - montados - qde.","Macroeconomic","Anfavea","Monthly",2025-07-08,"Inactive"
"52","ANTAQ_CARG","Transporte aquaviário - cargas movimentadas - qde.","Macroeconomic","Antaq/AEP","Yearly",2025-04-17,"Active"
"53","ANTAQ_CARGCABOT","Transporte aquaviário - cargas movimentadas - navegação de cabotagem - qde.","Macroeconomic","Antaq/AEP","Yearly",2025-04-17,"Active"
"54","ANTAQ_CARGSOLID","Transporte aquaviário - cargas movimentadas - por natureza - granel sólido - qde. - INATIVA ","Macroeconomic","Antaq/AEP","Yearly",2022-05-30,"Inactive"
"55","BLS12_IPAEUA12","preços - IPP (bens acabados) - índice dessazonalizado (média 1982 = 100)","Macroeconomic","BLS","Monthly",2025-07-08,"Inactive"
"56","BLS12_IPCEUA12","preços - IPC - índice dessazonalizado (média 1982-84 = 100)","Macroeconomic","BLS","Monthly",2025-07-08,"Inactive"
"57","BLS12_IPCEUAS12","preços - IPC - índice (média 1982-84 = 100)","Macroeconomic","BLS","Monthly",2025-07-08,"Inactive"
"58","BMF366_FUT1DI1366","Taxa de juros - DI de 1 dia - futuro: vencimento em t+1","Macroeconomic","BM&FBovespa","Daily",2025-07-25,"Active"
"59","BMF366_FUT1DOL366","Taxa de câmbio - R$ / US$ - comercial - futuro: vencimento em t+1","Macroeconomic","BM&FBovespa","Daily",2025-07-25,"Active"
"60","BMF366_FUT3DOL366","Taxa de câmbio - R$ / US$ - comercial - futuro: vencimento em t+3 - INATIVA","Macroeconomic","BM&FBovespa","Daily",2025-07-25,"Inactive"
"61","BMF366_FUT6DI1366","Taxa de juros - DI de 1 dia - futuro: vencimento em t+6","Macroeconomic","BM&FBovespa","Daily",2025-07-25,"Inactive"
"62","BMF366_FUT6DOL366","Taxa de câmbio - R$ / US$ - comercial - futuro: vencimento em t+6 - INATIVA","Macroeconomic","BM&FBovespa","Daily",2024-06-18,"Inactive"
"63","GM366_IBVSP366","Índice de ações - Ibovespa - fechamento","Macroeconomic","BM&FBovespa","Daily",2025-07-25,"Active"
"64","BMF12_SWAPDI180F12","Taxa referencial - swaps - DI x pré-fixada - 180 dias - fim de período","Macroeconomic","BM&FBovespa","Monthly",2025-07-01,"Active"
"65","BMF12_SWAPDI36012","Taxa referencial - swaps - DI x pré-fixada - 360 dias - média do período","Macroeconomic","BM&FBovespa","Monthly",2025-07-01,"Inactive"
"66","BMF12_SWAPDI360F12","Taxa referencial - swaps - DI x pré-fixada - 360 dias - fim de período","Macroeconomic","BM&FBovespa","Monthly",2025-07-01,"Active"
"67","SGS12_PIBCAPBR","PIB per capita em R$ correntes (SGS-BCB)","Macroeconomic","Bacen Outras/SGS","Yearly",2024-11-22,"Active"
"68","SGS12_PIBCAPUS","PIB per capita em US$ correntes (SGS-BCB)","Macroeconomic","Bacen Outras/SGS","Yearly",2024-11-22,"Active"
"69","GM366_ERC366","Taxa de câmbio - R$ / US$ - comercial - compra - média","Macroeconomic","Bacen Outras/SGS","Daily",2025-07-25,"Active"
"70","GM366_EREURO366","Zona do Euro - taxa de câmbio - euro / US$ - média","Macroeconomic","Bacen Outras/SGS","Daily",2025-07-25,"Active"
"71","GM366_ERV366","Taxa de câmbio - R$ / US$ - comercial - venda - média","Macroeconomic","Bacen Outras/SGS","Daily",2025-07-25,"Active"
"72","GM366_EUROC366","Zona do Euro - taxa de câmbio - R$ / euro - compra - média","Macroeconomic","Bacen Outras/SGS","Daily",2025-07-25,"Active"
"73","GM366_EUROV366","Zona do Euro - taxa de câmbio - R$ / euro - venda - média","Macroeconomic","Bacen Outras/SGS","Daily",2025-07-25,"Active"
"74","GM366_TJOVER366","Taxa de juros - Over / Selic","Macroeconomic","Bacen Outras/SGS","Daily",2025-07-25,"Active"
"75","GM366_TJTR366","Taxa de juros - TR","Macroeconomic","Bacen Outras/SGS","Daily",2025-07-25,"Active"
"76","SGS366_CDI366","Taxa de juros - CDI","Macroeconomic","Bacen Outras/SGS","Daily",2025-07-25,"Active"
"77","BM12_PIBAC12","PIB - acumulado em 12 meses","Macroeconomic","Bacen Outras/SGS","Monthly",2025-07-11,"Active"
"78","SGS12_7836","Poupança - depósito - SBPE e rural - saldo","Macroeconomic","Bacen Outras/SGS","Monthly",2025-07-16,"Active"
"79","SGS12_IBCBR12","IBC-Br - índice real (2022=100)","Macroeconomic","Bacen Outras/SGS","Monthly",2025-07-14,"Active"
"80","SGS12_IBCBRDESSAZ12","IBC-Br - índice real dessazonalizado (2022=100)","Macroeconomic","Bacen Outras/SGS","Monthly",2025-07-14,"Active"
"81","BPN_SBC","Balança comercial - (FOB) - saldo (Antiga metod. - BPM5) - INATIVA","Macroeconomic","Bacen/BP (BPM5)","Yearly",2015-01-23,"Inactive"
