Data;monit_pib_fgv;monit_pibagro_fgv;monit_pibind_fgv;monit_pibserv_fgv;;monit_pib_fgv;monit_pibagro_fgv;monit_pibind_fgv;monit_pibserv_fgv;;;monit_pib_fgv;monit_pibagro_fgv;monit_pibind_fgv;monit_pibserv_fgv;;;monit_pib_fgv;monit_pibagro_fgv;monit_pibind_fgv;monit_pibserv_fgv;;100;100;100;100
jan/00;103,034;97,261;91,711;108,062;;;;;;;jan/00;;;;;;mar/02;0,033291801;0,708467747;0,065803069;-0,040569062;;103,3291801;170,8467747;106,5803069;95,94309377
fev/00;106,102;133,998;96,334;107,157;;1,000297766;1,003777156;1,000504083;0,999916252;;fev/00;;;;;;jun/02;0,008567832;-0,293283418;0,038122442;0,038839459;;104,2144871;120,7402487;110,6434084;99,66947166
mar/00;110,074;167,004;101,315;107,829;;1,000374357;1,002463171;1,000517055;1,000062712;;mar/00;;;;;;set/02;0,036450583;-0,06131245;0,069038612;0,037341045;;108,0131659;113,3373682;118,2820757;103,3912339
abr/00;107,484;135,241;99,23;108,105;;0,999764704;0,99809807;0,999794206;1,000025596;;abr/00;0,0437;0,4336;0,0815;0,0005;;dez/02;-0,033025673;-0,03690631;-0,086192172;-0,008580051;;104,4459584;109,1545042;108,0870866;102,5041318
mai/00;111,831;131,068;108,404;110,655;;1,000404432;0,99969144;1,000924519;1,000235882;;mai/00;0,0543;0,0248;0,1236;0,0324;;mar/03;0,02126974;0,887912016;-0,024441406;-0,047287458;;106,6674967;206,0741001;105,4452862;97,65697199
jun/00;111,449;126,462;106,696;111,369;;0,999965841;0,999648579;0,999842441;1,000064525;;jun/00;0,0135;-0,2561;0,0561;0,0326;;jun/03;-0,014008261;-0,396318959;0,058621991;0,028956206;;105,1732706;124,4030272;111,6266989;100,4847473
jul/00;113,474;143,319;108,137;112,677;;1,000181697;1,00133297;1,000135057;1,000117447;;jul/00;0,0552;0,0672;0,0902;0,0418;;set/03;0,05193258;-0,123022483;0,113190785;0,04290866;;110,6351899;109,0986579;124,2618125;104,7964132
ago/00;116,074;123,684;113,14;115,558;;1,000229127;0,998629979;1,000462654;1,000255687;;ago/00;0,0377;-0,0390;0,0440;0,0438;;dez/03;-0,038001971;-0,086060924;-0,104779345;-0,00352065;;106,4308346;99,70952663;111,2417412;104,4274617
set/00;113,009;96,655;107,725;115,981;;0,999735944;0,997814673;0,999521389;1,000036605;;set/00;0,0147;-0,2224;0,0119;0,0410;;mar/04;0,080784088;0,890358363;0,0788225;-0,004959334;;115,0287525;188,4867376;120,0100933;103,909571
out/00;115,447;78,698;113,562;118,072;;1,000215735;0,998142155;1,000541843;1,000180288;;out/00;0,0181;-0,5404;0,0526;0,0473;;jun/04;-0,011834284;-0,342210424;0,042007376;0,025936693;;113,6674696;123,9846111;125,0514024;106,6046417
nov/00;115,083;79,984;111,76;118,258;;0,99996847;1,000163409;0,99984132;1,000015753;;nov/00;-0,0080;-0,3876;-0,0096;0,0233;;set/04;0,026841634;-0,163926915;0,075305796;0,028435309;;116,7184902;103,6601963;134,4684979;109,6359776
dez/00;111,423;95,971;101,175;116,108;;0,999681969;1,001998775;0,999052881;0,999818194;;dez/00;-0,0134;0,0301;-0,0564;0,0014;;dez/04;-0,014379166;-0,014009235;-0,090421422;0,020342712;;115,0401757;102,2079962;122,3096651;111,8662707
jan/01;108,379;94,156;99,239;111,809;;0,999726807;0,99981088;0,999808648;0,999629741;;jan/01;-0,0623;0,1973;-0,1297;-0,0536;;mar/05;0,034996251;0,913600644;0,012607583;-0,03513923;;119,0661506;195,5852873;123,8516943;107,9353761
fev/01;107,061;136,47;95,742;108,163;;0,99987839;1,004494031;0,999647618;0,999673908;;fev/01;-0,0713;0,6311;-0,1490;-0,0878;;jun/05;-0,004071773;-0,377767606;0,059003252;0,025839511;;118,5813403;121,6995015;131,159347;110,7243734
mar/01;114,862;179,138;106,277;110,908;;1,00072865;1,003126548;1,001100353;1,000253784;;mar/01;0,0334;0,7444;0,0556;-0,0443;;set/05;0,002815838;-0,177980981;0,009574397;0,020997471;;118,9152462;100,0393048;132,4151187;113,0493052
abr/01;111,675;150,245;102,063;111,767;;0,999722537;0,998387109;0,999603489;1,000077452;;abr/01;0,0329;0,6009;0,0351;0,0005;;dez/05;0,007279209;0,035498583;-0,040437918;0,027744121;;119,7808551;103,5905584;127,060527;116,1857587
mai/01;114,679;127,83;109,674;114,595;;1,000268995;0,998508103;1,000745716;1,000253026;;mai/01;0,0720;0,0014;0,1450;0,0584;;mar/06;0,034969074;0,699629919;0,016611624;-0,020688602;;123,9694807;176,0656124;129,1712087;113,7820378
