date;ibc_rs;igpdi_fgv;igp10_fgv;igpm_fgv;igpm_1dec_fgv;igpm_2dec_fgv;monit_pib_fgv;monit_pibagro_fgv;monit_pibind_fgv;monit_pibserv_fgv;ipca_ibge;inpc_ibge
01/01/2002;;214,535;219,288;216,944;0,47;0,32;109,075;101,589;97,191;114,84;1822,08;1849,78
01/02/2002;;214,927;219,585;217,074;-0,16;0,02;109,176;143,544;94,721;112,919;1828,64;1855,51
01/03/2002;;215,17;219,983;217,276;0,17;0,14;113,627;183,95;102,338;112,839;1839,61;1867,01
01/04/2002;;216,673;220,773;218,486;0,06;0,45;115,918;172,67;107,36;114,817;1854,33;1879,71
01/05/2002;;219,07;222,31;220,292;0,17;0,58;115,742;129,829;109,511;117,017;1858,22;1881,4
01/06/2002;;222,872;225,314;223,688;0,68;1,2;114,576;131,912;106,119;117,268;1866,02;1892,88
01/07/2002;;227,441;229,495;228,057;0,82;1,49;119,656;167,31;111,778;119,292;1888,23;1914,65
01/08/2002;;232,818;234,692;233,348;1,01;1,73;120,14;146,559;113,486;121,095;1900,5;1931,12
01/09/2002;;238,973;240,314;238,943;1,13;1,79;118,707;116,514;113,534;121,696;1914,18;1947,15
01/10/2002;;249,042;248,3;248,199;1,57;2,81;122,958;98,732;123,594;124,535;1939,26;1977,72
01/11/2002;;263,58;260,037;261,08;2,31;3,86;120,144;98,76;116,198;123,805;1997,83;2044,76
01/12/2002;;270,692;272,698;270,867;2,61;3,26;114,625;110,177;102,85;120,581;2039,78;2099,97
01/01/2003;75,67;276,578;278,954;277,173;1,34;1,81;111,3;104,238;99,184;116,868;2085,68;2151,84
01/02/2003;83,03;280,984;285,691;283,506;0,89;1,73;112,485;167,443;95,18;115,024;2118,43;2183,26
01/03/2003;96,55;285,64;290,206;287,855;0,63;1,13;116,944;223,36;100,091;114,941;2144,49;2213,17
01/04/2003;88,9;286,815;293,814;290,512;0,69;0,86;116,972;207,443;102,119;116,104;2165,29;2243,71
01/05/2003;75,45;284,9;293,871;289,747;0,01;-0,28;116,66;144,11;108,56;117,804;2178,5;2265,92
01/06/2003;69,45;282,913;292,131;286,843;-0,47;-0,66;115,309;141,221;105,878;118,298;2175,23;2264,56
01/07/2003;69,05;282,349;289,996;285,649;-0,17;-0,35;119,985;171,423;112,983;119,828;2179,58;2265,47
01/08/2003;67,91;284,105;290,599;286,735;0;0,18;119,422;146,784;114,049;120,521;2186,99;2269,55
01/09/2003;69,01;287,081;293,369;290,127;0,69;1,04;121,341;118,497;118,225;123,436;2204,05;2288,16
01/10/2003;73,62;288,337;295,328;291,229;0,37;0,37;122,953;100,44;123,098;124,583;2210,44;2297,08
01/11/2003;75,1;289,718;296,645;292,657;0,23;0,38;120,154;102,414;114,882;124,393;2217,96;2305,58
01/12/2003;74,81;291,462;298,391;294,455;0,27;0,46;116,727;107,203;105,778;122,989;2229,49;2318,03
01/01/2004;76,5;293,793;300,649;297,039;0,33;0,65;114,053;108,67;104,075;118,864;2246,43;2337,27
01/02/2004;80,74;296,976;302,99;299,097;0,08;0,47;114,013;162,267;98,889;117,288;2260,13;2346,39
01/03/2004;102,15;299,746;306,183;302,484;0,66;0,92;125,878;224,166;113,212;122,197;2270,75;2359,76
01/04/2004;89,09;303,184;309,864;306,151;0,52;0,98;123,156;204,433;110,728;121,82;2279,15;2369,43
01/05/2004;75,84;307,616;313,705;310,152;0,42;1,02;123,432;147,236;116,147;124,637;2290,77;2378,91
01/06/2004;73,33;311,576;318,407;314,419;0,66;1,18;124,364;150,983;117,891;125,372;2307,03;2390,8
01/07/2004;74,53;315,113;322,584;318,532;0,56;1,11;128,437;186,868;122,417;126,294;2328,02;2408,25
01/08/2004;72,19;319,244;325,303;322,412;0,19;0,62;128,292;150,288;126,379;127,501;2344,08;2420,29
01/09/2004;70;320,788;329,376;324,651;0,35;0,61;127,679;119,434;126,952;128,97;2351,82;2424,4
01/10/2004;74,81;322,492;330,147;325,925;0,05;0,12;127,92;96,953;129,406;130,042;2362,17;2428,52
01/11/2004;76,55;325,148;332,881;328,588;0,33;0,6;128,429;103,323;125,198;132,081;2378,47;2439,21
01/12/2004;79,36;326,833;335,437;331,005;0,62;0,63;125,829;114,562;115,528;131,599;2398,92;2460,19
01/01/2005;75,42;327,915;336,858;332,298;0,2;0,28;120,146;106,313;110,579;125,3;2412,83;2474,21
01/02/2005;77,11;329,241;337,916;333,288;0,18;0,22;118,934;168,844;103,086;122,499;2427,07;2485,1
01/03/2005;93,48;332,49;340,172;336,123;0,4;0,55;129,673;235,674;115,798;126,798;2441,87;2503,24
01/04/2005;84,16;334,17;344,158;339,03;0,67;0,82;129,538;218,789;117,661;127,768;2463,11;2526,02
01/05/2005;76,39;333,321;344,147;338,299;-0,03;-0,09;128,87;145,981;122,425;129,677;2475,18;2543,7
01/06/2005;74,78;331,823;342,743;336,801;-0,3;-0,38;129,144;149,853;122,721;130,098;2474,68;2540,9
01/07/2005;74,02;330,484;341,472;335,663;-0,09;-0,25;130,249;182,345;121;130,051;2480,87;2541,66
01/08/2005;74,54;327,887;339,695;333,474;-0,36;-0,49;132,854;147,583;126,871;133,439;2485,09;2541,66
01/09/2005;70,53;327,454;337,354;331,69;-0,56;-0,54;129,435;117,52;123,711;132,813;2493,79;2545,47
01/10/2005;73,14;329,529;338,98;333,694;0,25;0,61;129,724;94,894;126,626;133,134;2512,49;2560,23
01/11/2005;75,77;330,619;340,161;335,033;0,16;0,25;130,293;103,458;125,834;133,722;2526,31;2574,05
01/12/2005;78,29;330,835;340,368;335,006;0,06;-0,06;130,379;117,745;118,569;136,518;2535,4;2584,35
01/01/2006;77,96;333,222;343,219;338,083;0,4;0,82;125,767;126,404;113,52;130,149;2550,36;2594,17
