"","date","prod_auto_br","prod_lev_br","prod_cam_br","prod_onib_br","pmoed_pub_bcb","bm_rest_bcb","m1_bcb","m2_bcb","pmoed_circ_bcb","BM_resb_bcb","iee_fgv","ice_fgv","indboig_cepeaesalq_arr","medp_boig_sp_cepea","soja_RSs_cepea_60kgpar","soja_USS_cepea_60kgpar","pim_bk_ibge","pim_bint_ibge","pim_bcons_ibge","pim_bconsdur_ibge","pim_bconsndursemi_ibge","pim_indextr_ibge","pim_indtrans_ibge","selic_copom","pmc_abr_ibge","pmc_ars_ibge","CRB_total_reuters"
"1","dez/01",86838,13142,3766,778,32584045,44930680,72680704,314085223,37668836,15587135,105.4,95.3,46.12,46.97,27.19,11.49,NA,NA,NA,NA,NA,NA,NA,19,68.18099,76.52902,123.13
"2","jan/02",98106,12088,4826,1810,27239411,46278581,74302356,315295459,32388231,17334600,111.4,97.6,45.62,46.42,25.15,10.56,58.19209,87.97245,86.32197,79.78011,87.7197,72.33534,85.14812,19,46.91272,50.15594,121.34
"3","fev/02",96240,12360,5345,2055,26732167,45950179,74350320,317613373,32102817,15788389,94.4,98.1,45.72,46.49,22.39,9.26,56.75125,85.22869,82.05456,76.99005,83.11683,68.27858,82.08498,18.75,44.02444,47.95818,125.72
"4","mar/02",120508,14913,6350,2116,27191413,49353891,76080220,329184301,32547930,16306755,103,98.4,44.7,45.46,21.22,9.05,64.68231,94.9415,90.04082,90.99818,89.70269,78.50973,90.9636,18.5,50.50119,55.88581,139.73
"5","abr/02",127025,16084,6792,2433,26006602,48707081,79167390,331606021,31178230,15567366,95,99.1,42.47,43.2,22.44,9.66,68.89823,96.00238,94.55572,101.83394,92.75267,77.05576,93.77772,18.5,47.17529,53.84503,139.46
"6","mai/02",121122,14784,6443,2177,26996297,53072302,79079233,330389063,32930327,18582861,104.5,98.9,42.17,42.86,25.42,10.23,66.66389,99.12757,92.98659,92.64642,92.94413,79.04382,94.70631,18.5,50.58872,57.37714,138.98
"7","jun/02",108729,14248,5536,1945,28281540,53917780,84166936,347917816,33899629,16792917,103.8,98.5,42.45,43.15,29.36,10.79,61.71547,97.15759,87.59747,81.09107,88.98536,78.72606,91.07112,18.5,47.17529,54.08051,142.05
"8","jul/02",111633,14071,5938,1598,28880966,54327989,88302139,360108940,34679951,17752576,107.8,98.2,43.95,44.69,33.01,11.23,67.96085,102.1704,97.28036,85.8333,99.7961,81.56119,98.03895,18,49.18834,55.17938,142.72
"9","ago/02",107017,12709,5581,1866,30785260,56369801,90969754,372451926,36396984,18588487,126.3,98.4,49.22,50.03,36.15,11.65,64.58088,101.51946,100.53527,86.39435,103.6686,82.0684,98.40978,18,50.76376,57.14167,149.41
"10","set/02",118624,15133,5353,1786,31449398,62609614,91675072,379010436,37819862,22949839,118.3,98.6,49.96,50.84,41.65,12.45,64.59495,99.05224,99.51779,93.56087,100.76334,77.66715,96.85399,18,46.91272,50.07745,154.15
"11","out/02",135135,14634,5856,1602,33073425,62625137,93888095,385346720,39188893,21451238,132.1,99,53.63,54.63,46.46,12.23,70.96734,104.60387,112.77581,107.99848,113.73182,81.81241,105.35167,21,50.85129,54.86542,153.12
"12","nov/02",126985,14291,6262,1422,34709343,60564871,93585955,386967538,41071902,19487037,127.7,98.7,57.8,58.93,46.94,13.11,66.79613,98.52809,105.85536,103.76443,106.20027,77.63629,99.06174,22,49.62596,55.17938,154.48
"13","dez/02",105095,12452,4072,640,42281023,63693928,94087592,387904900,49931066,23371206,125,98.3,57.59,58.77,48.91,13.42,58.60638,89.33696,91.5525,82.26822,93.57646,74.07857,87.78926,25,64.68004,71.34859,164.44
"14","jan/03",112667,11493,6266,1782,36950119,60451860,92692788,388983702,43639339,20730918,118.4,97.3,57.03,58.28,43.1,12.56,57.36889,91.64668,85.94287,87.1565,85.55091,79.43513,86.66795,25.5,44.81215,48.50762,178.34
"15","fev/03",119461,13002,6838,1828,36187874,65764503,91974115,393386011,43663530,23830903,112.4,96.5,56.92,58.2,42.79,11.91,60.20825,88.36867,82.92245,86.68376,81.94634,73.60926,84.31084,26.5,43.32425,46.46685,188.12
"16","mar/03",106398,12468,6763,1857,33135343,67063730,91084272,391330605,39909573,26122882,108.8,95,56.38,57.69,39.71,11.54,59.28463,99.24418,84.61273,80.49703,85.45267,83.28259,90.68017,26.5,44.72463,50.15594,173.26
"17","abr/03",110405,12248,6111,2019,32455460,70608059,90537788,391179180,39047731,29181057,98.9,94.1,55.08,56.34,37.2,11.96,60.75162,96.29047,85.9666,87.61703,85.47378,80.03548,89.78428,26.5,45.42482,51.56878,169.79
"18","mai/03",119575,13816,6320,2146,32518855,67065375,89781191,391269812,38816444,26297150,113.6,92.1,52.02,53.22,37.18,12.54,62.88912,100.13129,89.83287,87.29369,90.30211,84.70589,93.40012,26.5,47.43786,56.12128,177.32
"19","jun/03",104690,11894,5874,2053,31923287,66897434,91123948,390095023,38798575,25039366,103.6,89.8,52.69,53.9,36.9,12.81,59.84164,96.2518,85.504,79.01492,86.89062,76.78432,89.70153,26,44.46205,51.01934,177.67
"20","jul/03",110194,12522,6228,1986,32442835,69744219,90477431,391750852,39231301,28609905,111.4,87.1,54.88,56.09,35.64,12.37,65.77214,101.64941,92.16262,82.75268,94.21479,81.74418,95.64875,24.5,47.00024,53.13861,179.98
"21","ago/03",110124,11651,6531,2047,33249694,59694098,90108477,390733441,39812705,18617315,105.9,93,57.09,58.25,36.55,12.18,65.24417,101.24679,94.01187,86.03946,95.72981,84.92759,95.8104,22,47.87548,53.45258,187.84
"22","set/03",134193,12951,6518,2239,32474440,58199791,89262471,391484588,39155681,16954428,94.5,98.9,59.02,60.16,39.76,13.61,71.20448,104.09117,101.3288,100.13574,101.47236,82.20294,100.95681,20,45.59986,49.13555,185.27
"23","out/03",136755,14820,6932,2716,33326398,59990328,90885346,389883898,40139626,17570812,98.6,104.9,59.26,60.33,45.82,16.03,79.29971,107.03942,108.94328,110.26406,108.49665,84.56642,106.18827,19,49.36338,54.23749,190.9
"24","nov/03",136884,14086,7916,2642,35229376,62343269,93935725,399528992,42691722,19725645,96.9,104.6,60.34,61.39,48.1,16.51,79.67665,98.83341,103.77366,108.24978,102.60542,80.71531,99.7378,17.5,49.53843,53.60956,216.46
"25","dez/03",126924,13230,5488,1164,42992662,62195938,96799140,403124779,51363863,21855273,92.8,104.4,60.1,61.15,46.48,15.88,67.1533,92.89115,94.26782,94.63971,94.05932,81.65883,91.34955,16.5,66.78061,74.25277,204.25
"26","jan/04",128789,13591,6245,1376,38282671,64567153,98722395,406356811,46063907,22835861,94.5,103.5,60.17,61.14,46.29,16.24,65.64871,94.4566,88.4536,97.82377,86.1756,79.37047,90.15456,16.5,47.52539,51.09784,209.57
"27","fev/04",124786,15053,7181,1746,37618176,67660620,101887723,412134030,46011386,22857607,90,104.7,58.59,59.54,45.23,15.46,65.72891,92.33654,82.32894,89.14697,80.64803,76.81952,86.89904,16.5,45.51234,48.50762,225.34
"28","mar/04",156846,17303,9212,2148,36125291,64562056,102868175,416538559,44481983,18640645,98.2,105.4,58.02,58.99,51.11,17.59,82.95766,106.33483,98.41837,114.41044,94.59889,82.81256,102.49825,16.25,49.62596,54.78693,229.25
"29","abr/04",136934,15715,8611,2115,36863148,68242891,105564362,422106680,45160663,20452320,101.9,105.9,58.11,59.16,51.81,17.83,76.27416,101.54533,92.07766,105.80764,88.78858,80.75444,96.76917,16,50.06357,56.04279,227.72
"30","mai/04",143875,17014,9116,2375,37234567,69335159,106909590,433361728,46024983,20797170,94.7,109.6,59.43,60.52,49.21,15.87,81.42104,107.13325,95.49112,107.48472,92.5984,82.97995,101.75276,16,52.51424,58.78998,237.52
"31","jun/04",151136,17182,8928,2439,37829098,70739018,107398233,440100854,46645619,21346651,93.6,112.9,60.49,61.73,45.04,14.4,80.95217,106.31305,96.26855,107.18979,93.62235,84.05209,101.4294,16,50.23862,55.0224,225.56
"32","jul/04",150258,17711,9351,2575,39488556,74958710,108859376,446567947,48228562,24881866,94.6,116.4,60.33,61.46,40.44,13.31,83.28056,111.64152,100.40629,109.79752,98.10789,87.80299,106.1034,16,52.68929,58.71149,235.07
"33","ago/04",161981,19093,9686,2144,39046661,73689524,110769923,452723482,48064055,24137229,91.8,115,61.58,62.58,39.13,13.05,85.86741,112.12282,105.90956,118.58923,102.84493,91.35267,108.4255,16,51.11386,56.67072,234.65
"34","set/04",161712,21214,9698,2111,40367978,73203517,112953098,456927571,49826634,21128627,93.6,114.2,60,61.06,37.82,13.08,82.85695,110.38001,109.70592,122.40685,106.63144,87.43,108.65821,16.25,49.801,53.2171,249.25
"35","out/04",149862,21367,9110,2242,41498381,74256023,113807316,464328042,50770633,20901849,89.5,113.2,59.64,60.65,34.47,12.08,84.19532,111.98383,111.28721,120.6362,108.9844,89.89885,110.17916,16.75,53.477,58.94697,252.07
"36","nov/04",160529,21260,9557,2474,42094944,74624703,113380069,470335377,52152496,22945105,91.9,113.2,61.74,62.81,33.75,12.11,85.03302,106.60059,114.13264,122.8789,111.96525,85.5991,108.35531,17.25,52.60176,57.37714,252.76
"37","dez/04",150934,20232,8097,1263,51942749,76026614,112030745,479349339,61935635,26797042,89.8,111.6,61.18,62.24,32.63,11.99,77.11653,99.15645,104.49239,107.07509,103.76027,87.14522,99.50009,17.75,74.39517,81.78793,249.85
"38","jan/05",129739,15914,8019,1861,45276520,79038151,117537302,488836254,55647160,27824175,93.1,109.7,59.56,60.62,32.84,12.2,70.88082,97.87143,95.84655,98.34724,95.14461,85.23454,95.05259,18.25,50.50119,53.45258,248.08
"39","fev/05",149317,17356,8116,1971,43828891,78566153,118036615,493662013,54393943,24721938,90.8,107.4,58.23,59.29,29.53,11.36,67.57748,92.65245,89.44205,103.96663,85.97299,78.03375,89.74077,18.75,46.4751,49.84198,265.33
"40","mar/05",180083,19138,10200,2523,42784832,80044134,120437634,506669340,53295041,24981400,91.4,104.7,57.18,58.28,35.12,12.98,84.21947,105.52585,103.20157,126.25118,97.74678,88.30164,103.53528,19.25,53.477,57.14167,275.74
"41","abr/05",166151,19123,9755,2578,43102057,80800796,119514117,511305892,53174650,24617324,98.3,102.3,55.4,56.48,32.88,12.75,79.4434,104.53629,102.67348,120.90052,98.33256,91.88625,101.99578,19.5,51.72652,55.65033,259.34
"42","mai/05",173971,20756,9888,2754,42443495,82977424,121628087,510331528,53034047,26697117,99.6,101.4,54.23,55.25,31.47,12.84,85.25705,109.96678,106.10727,123.07244,102.05317,97.40822,106.7511,19.75,53.91462,56.12128,255.96
"43","jun/05",177562,22381,10480,3344,43504601,80745769,122682351,516411701,53931040,24563135,100.4,100,53.78,54.84,33.08,13.71,88.328,109.67354,106.6499,124.8337,102.3138,96.92843,107.14086,19.75,52.86433,54.55145,263.56
"44","jul/05",166328,22395,8409,2827,44870424,82337075,122729162,521840091,55627479,24656097,99.8,98.3,52.61,53.61,32.87,13.84,79.63135,109.7991,106.09315,118.59179,103.07006,97.39026,106.01579,19.75,55.05243,57.06317,274.81
"45","ago/05",176427,21772,9613,3149,44150933,81509312,122793032,528003756,55037412,24782642,99.3,98.5,51.3,52.26,31.62,13.4,88.09945,113.111,115.49631,130.67975,111.84126,98.49883,112.24631,19.75,54.61481,54.159,291.06
"46","set/05",164582,20932,10963,2378,45680939,82073265,124648103,535677487,56352150,23753421,95.4,99.1,50.02,51.07,29.75,12.97,87.35496,109.14265,109.90868,117.12301,108.1004,96.69902,107.93151,19.5,52.51424,51.09784,295.06
"47","out/05",153363,17514,9931,2154,45137713,82508359,123701968,538483513,57231946,22655016,92.3,99.3,55.47,56.5,28.9,12.81,84.88363,110.9933,113.55313,121.4055,111.59283,99.62757,109.86336,19,55.49004,54.39447,281.17
"48","nov/05",173545,20971,10089,2289,47137388,84807389,126343010,543807041,59440290,26074980,97.4,97.8,56.01,57.09,28.17,12.74,87.41262,106.12421,116.29847,131.11638,112.72675,94.63481,108.54696,18.5,55.22747,54.94391,280.29
"49","dez/05",168477,17088,7458,1538,58179315,86981546,127065977,562740762,70033641,31213594,89.4,100.3,51.74,52.69,29.66,12.99,80.79365,99.33879,109.58588,119.89285,107.06415,95.51433,101.31841,18,78.07117,77.15695,296.91
"50","jan/06",157022,18671,6052,1895,49904427,88656856,128925886,564750186,62265028,30578034,93.4,100.6,49.64,50.56,29.25,12.87,73.93613,100.23745,100.00674,118.76042,95.54773,97.09017,97.53989,17.25,53.82709,51.64728,313.13
"51","fev/06",162367,17686,7701,2345,51178720,94766447,132205039,574731572,64861545,29765693,89,100.7,50.53,51.48,27.53,12.73,73.94494,94.71882,97.26683,118.3023,92.28469,88.10328,93.83834,17.25,49.36338,48.19366,292.32
"52","mar/06",177645,22126,9893,3130,48628660,90575946,132932621,582400962,60667366,28067933,92.3,101.3,49.6,50.45,25.7,11.94,90.6327,108.50846,111.28853,136.13284,105.40895,99.84122,108.20559,16.5,55.05243,55.57184,301.44
"53","abr/06",154730,19571,7744,2716,48993331,92253403,133738960,587203219,61966202,26946524,90.1,100.9,50.26,51.13,24.91,11.71,78.00114,102.8828,101.30294,122.16688,96.35514,96.31572,100.08522,15.75,55.57757,56.8277,317.69
"54","mai/06",181583,24675,9729,3356,48562760,90033912,137903096,598052039,61236590,24922337,98,98.3,48.85,49.75,26.46,12.13,89.93534,113.82718,112.91169,141.13741,106.24948,103.91566,111.60809,15.75,57.94071,58.39753,314.5
"55","jun/06",173662,20225,8699,2829,50652361,96256141,138035588,602297708,63272460,31362417,94.1,100.4,48.83,49.74,27.59,12.29,85.41611,108.89865,107.79819,128.24601,102.93799,97.92285,106.71794,15.25,54.9649,54.159,317.15
"56","jul/06",169180,21598,9066,3099,51242097,97140614,140449928,607750952,65769979,28822029,93.5,102.5,50.41,51.39,27.73,12.66,86.71058,113.13058,109.55758,123.3,106.24289,103.84325,109.63611,14.75,56.27776,54.94391,321.68
"57","ago/06",188344,20759,9635,3105,52054839,102229370,143322764,605866823,66384250,33476654,94,101.6,55.9,56.85,27.3,12.66,94.60773,116.149,118.74459,141.23925,113.39767,104.00713,115.58881,14.25,58.11576,55.9643,303.86
"58","set/06",158603,19127,8913,1957,56057682,101708534,145675809,606212294,71347771,29023782,96.4,102.9,59.01,59.99,28.11,12.96,87.06239,109.40383,113.85902,123.27171,111.53816,101.47888,109.14785,14.25,57.76566,55.65033,283.32
"59","out/06",175251,21269,9014,2122,55079075,102223938,149688929,620052634,71119021,28742912,98.5,102.5,61.55,62.47,30.54,14.22,92.45308,112.23563,122.10954,138.78896,118.10057,104.45498,114.19037,13.75,59.34109,56.59223,284.83
"60","nov/06",178286,19778,9194,1639,57494944,104397557,151946260,630098114,73640792,31694216,91.7,105.5,55.05,55.84,33.06,15.31,94.12789,108.96332,121.43889,139.21779,117.17701,103.03579,112.28204,13.25,60.21633,56.12128,300.66
"61","dez/06",150632,18181,7657,1219,68810851,105507816,153487906,636923129,85824753,35277248,97.7,106.3,53.48,54.28,31.93,14.85,86.56097,100.36566,107.32451,111.45184,106.23216,103.15233,101.26767,13.25,82.53488,79.51169,288.44
"62","jan/07",161605,20404,6945,1824,59945896,105929762,155629087,640243857,76881753,32813844,91.8,105.6,53.57,54.3,32,14.96,87.06634,103.14288,102.71265,124.78107,97.48499,102.13743,101.37432,13,58.37833,55.0224,284.07
"63","fev/07",159393,20012,8716,2397,58655943,105812577,156323386,645035711,75702005,29434735,97,107.8,55.14,55.86,32.58,15.53,84.21131,97.5409,97.581,116.19203,93.15808,93.64766,96.4225,13,53.82709,51.09784,295.76
"64","mar/07",195931,24346,11148,3526,58994611,108919980,160580353,652383365,74489218,32746486,91.5,110.1,55.93,56.7,31.8,15.23,102.16151,113.18169,113.9369,148.28518,105.86009,105.43052,112.86589,12.75,61.44166,58.86847,301.27
"65","abr/07",177941,21353,10157,2925,58592917,118235264,164318864,663945388,75535634,38870604,95.5,111.3,55.82,56.54,30.01,14.77,91.41984,107.86218,105.95909,133.4638,99.47235,101.65515,105.87783,12.5,59.86623,58.08356,298.56
"66","mai/07",204063,22451,11804,3526,59215195,112485207,166778085,665996441,75084791,33165861,96.8,111.6,55.55,56.21,30.08,15.2,107.13764,116.79421,118.33792,152.51975,110.2938,107.27663,117.01963,12.5,64.06737,62.32209,298.59
"67","jun/07",193968,23908,11686,3274,61275981,116777909,171269743,675594353,77487205,38116926,89.3,112.3,57.4,58.1,30.71,15.89,99.68385,114.11145,114.65502,139.39911,108.7942,106.34621,113.33264,12,61.26661,58.94697,303.84
"68","jul/07",212032,25810,11975,3321,61182567,118935605,175306230,683783107,78422778,37389303,88.4,113.8,61.48,62.29,31.34,16.65,103.65057,118.02097,117.19805,143.40063,110.99726,111.27758,116.70186,11.5,61.52918,58.47602,313.23
"69","ago/07",218310,29008,13079,3527,63107254,117475075,179128948,695178319,79834788,34653590,96.2,112.5,64.35,65.2,34.56,17.6,114.78051,120.69708,126.90387,158.40287,119.46788,111.09261,123.02523,11.5,64.06737,60.98774,299.52
"70","set/07",201543,25372,11956,2829,66158600,121052353,177851007,703678725,83963314,36376745,96.2,113.1,61.4,62.09,38.67,20.39,106.14369,112.90859,119.76708,142.66543,114.32566,105.56753,115.22247,11.25,62.49194,58.24054,324.72
"71","out/07",236446,29585,14168,3206,65378078,124941188,184377388,718397839,83780516,39186070,97.2,115.4,63.82,64.54,39.91,22.17,117.84211,121.80619,134.14554,169.16318,125.88792,108.77695,126.76087,11.25,65.03013,62.87153,342.83
"72","nov/07",218002,28760,13014,2953,69336167,130329325,187571429,727531664,88018029,42829448,96.3,115.6,72.54,73.38,42.07,23.75,115.5897,113.6363,129.64678,159.35054,122.62162,106.64295,120.17717,11.25,66.43051,61.92964,332.91
"73","dez/07",181505,24729,9091,1700,82095431,129746765,204953537,756941789,102885047,43731820,92.1,115.6,74.21,75,43.98,24.63,101.98464,106.81517,111.39854,121.87474,108.8354,114.20452,107.5801,11.25,90.32449,84.61362,352.33
"74","jan/08",200764,27872,10391,3429,73038131,126861767,191410858,753526550,92924567,37663552,99.3,111.7,74.61,75.41,46.23,26.06,102.0101,110.92922,112.07502,143.6354,104.64416,110.24493,110.50963,11.25,65.20518,60.12434,363.81
"75","fev/08",197647,26243,12288,3036,71433164,127198998,190347584,764206289,89929221,36399964,98,111.9,74.85,75.6,47.71,27.64,105.95633,107.59978,103.53144,139.02863,95.20297,102.60372,106.39159,11.25,60.74147,57.29865,407.17
"76","mar/08",222548,28799,13671,3267,70084180,130528517,189855068,788963285,89466285,39410528,97.4,112.2,76.19,77.02,45.83,26.85,115.73514,113.78414,113.22402,156.64019,103.05501,108.96024,114.25199,11.25,68.26851,63.89192,382.13
"77","abr/08",236206,29917,13516,3655,70955716,128793642,196947879,826121468,89875895,34808020,95.1,110.9,77.24,78.11,44.33,26.28,119.58675,113.99235,116.87132,162.25778,106.24276,105.84914,116.30005,11.75,65.03013,63.1855,404.69
"78","mai/08",229493,28517,12954,3578,72029267,137635346,194112129,856020986,90911590,42247152,92.3,109.5,80.52,81.52,44.7,26.94,115.33454,119.61467,119.99412,156.87352,111.32517,115.37074,119.69084,11.75,71.15679,67.97347,418.04
"79","jun/08",242191,31792,14691,3748,72744870,133836587,194442079,876146239,92567910,40225202,91.9,111.8,91.53,92.61,49.99,30.9,123.8559,119.92017,119.63341,159.73712,110.22067,114.08356,120.78314,12.25,66.25546,63.26399,458.96
"80","jul/08",251952,34057,15547,3828,73905889,132540857,196410277,923054554,94091397,35000794,92.4,110.8,92.79,93.89,50.58,31.79,129.41619,126.78022,124.60235,160.11639,116.24257,120.81948,126.83826,13,68.44356,63.42097,413.61
"81","ago/08",245913,33848,16233,3562,76082990,135993254,195784092,963070108,95835308,36235850,90.5,112,92.05,93,44.7,27.71,128.92016,122.58051,126.23496,167.27393,116.59774,120.65791,124.87581,13,70.36908,65.06929,389.65
"82","set/08",233650,33244,16268,3448,77450507,137271627,198878008,995630433,98211453,38724722,98.7,107.3,88.82,89.94,46.08,25.65,135.02457,119.88623,130.2268,166.11826,121.77258,115.80854,125.69863,13.75,68.35603,61.69416,344.17
"83","out/08",225246,33905,17690,3337,78939071,134295238,196803265,1024042490,99045163,33729043,132.4,97.9,90.79,92.15,44.63,20.5,140.5514,118.64529,134.37319,163.97116,127.3663,116.76316,126.99815,13.75,71.50689,64.83381,267.53
"84","nov/08",143636,26628,14687,2423,81964552,132521711,197187420,1039011464,102430156,29888604,128.2,84.5,88.39,89.57,45.13,19.87,123.87505,105.39738,119.19041,118.83242,119.11797,101.78122,112.77093,13.75,69.84394,64.12739,244.22
"85","dez/08",69236,15366,5821,891,92181718,129292053,199702403,1054632168,115590704,31959001,121.8,80.2,82.2,83.41,44.61,18.59,90.26096,88.38998,98.83554,74.24467,104.38322,89.823,92.37975,13.75,93.73792,83.75022,228.88
"86","jan/09",147345,23421,7224,2252,82862993,133531117,197715766,1067674542,103358929,34178946,120,80.8,84.01,85.35,49.21,21.3,89.6003,89.60344,95.55346,105.28222,93.18346,89.97001,91.80679,12.75,69.14375,60.28132,219.75
"87","fev/09",165302,21814,7163,2267,81203008,137179916,199923626,1080286915,103124591,33143315,123.6,81.8,81.54,82.54,47.56,20.58,82.65895,86.32083,94.1559,111.5764,90.01224,83.2235,89.0067,12.75,63.01709,55.65033,211.02
"88","mar/09",227657,26708,9375,2422,78847370,136539216,198293603,1085175541,99304427,35751938,125.6,81.8,77.54,78.51,45.35,19.62,93.36512,100.03117,111.16173,143.70332,103.50557,97.54306,103.58383,11.25,69.14375,63.1855,219.88
"89","abr/09",208010,25150,9374,2166,80753429,149220497,204577749,1093202352,101681988,43080564,117.1,86.1,80.03,80.93,47.95,21.75,86.85498,97.34271,106.18921,134.01776,99.62742,93.5956,99.70941,10.25,69.66889,65.06929,221.9
"90","mai/09",222104,28464,9356,2528,81500292,138113397,205796809,1102979436,102161375,31161545,111.8,89.7,79.47,80.32,50.39,24.45,91.82611,104.47862,113.69081,140.1095,107.44469,98.93018,106.8575,10.25,73.16984,67.73799,252.53
"91","jun/09",233751,30285,9394,3015,81542120,140518673,210120503,1118175879,103474382,35711453,109.1,92.7,80.85,81.68,49.89,25.47,94.95649,106.88336,111.92641,143.39017,104.51804,103.26649,107.73128,9.25,70.01898,65.22627,249.49
"92","jul/09",227192,32036,9507,2650,83668460,138922564,209038408,1120982131,105082619,30463224,109,95.4,81.39,82.28,47.83,24.76,99.56831,112.74311,119.79397,152.15361,112.16857,108.41943,114.24633,8.75,72.55717,66.32515,257
"93","ago/09",241640,31167,9344,2753,84541996,141355187,211737570,1122623890,107131584,29887377,106.8,99.4,77.92,78.98,48.2,26.11,100.00815,114.06111,124.1081,160.33516,115.58437,108.19334,116.64439,8.75,73.69498,65.61873,253.28
"94","set/09",219626,30003,11477,2661,85769234,146111785,214338087,1128155279,110167848,35530611,109,102.8,77.25,78.58,46.07,25.32,106.7055,112.4723,123.99729,156.53207,116.326,104.9037,116.61233,8.75,71.85698,63.26399,259.01
"95","out/09",252360,38121,12787,3023,88764034,148882957,217396545,1132675667,112123031,35330910,106,105.6,77.18,78.61,44.67,25.71,117.25518,117.03773,134.50453,173.82277,125.25375,107.52755,124.09869,8.75,77.63355,70.09273,270
"96","nov/09",229664,36549,13805,2494,92502123,158036902,220329090,1143316467,116484422,40383641,101.9,109.1,74.35,75.71,44.06,25.5,120.37486,111.30696,128.3989,163.7891,120.06276,102.94317,119.13781,8.75,75.79555,65.93269,277.02
"97","dez/09",193516,33099,12188,1791,105573929,146386632,225461536,1150686644,131861185,34211650,99.5,111.6,74.64,75.66,42.87,24.49,111.59731,105.80961,115.00617,135.67339,110.08595,107.07231,109.82622,8.75,102.40276,93.64012,283.01
"98","jan/10",186269,32683,11411,3032,96458008,150829367,229605366,1163981457,121122443,34527882,103.2,113.3,75.7,76.97,39.8,22.36,100.85119,106.55851,107.30917,140.98502,99.39619,109.10737,106.14632,8.75,76.32069,65.46174,265.25
"99","fev/10",188222,32194,13302,2896,95549619,155327530,231751130,1175062088,120541695,33792723,104.2,113.2,77.03,78.12,35.73,19.41,102.65056,101.59579,107.1822,141.44921,99.13293,100.53788,103.88948,8.75,70.71917,62.00813,274.45
"100","mar/10",256006,41378,16734,3893,94575451,158183606,237634526,1193100080,119108107,37602159,96.7,115.2,79.03,79.88,34.14,19.11,129.42121,117.38226,128.35996,182.69979,115.64975,112.37959,123.12642,8.75,79.99669,71.58407,273.06
"101","abr/10",216850,38877,15498,3648,95104206,159005395,240136146,1196599517,118866248,35761078,96.9,112.7,82.33,83.34,34.49,19.63,117.78302,113.71574,118.1051,162.11681,107.79226,110.09023,116.11801,9.5,76.05812,69.22933,277.46
"102","mai/10",238389,39496,15600,3889,95036580,164206570,242928975,1207753025,120033926,38653383,103.5,113,80.81,81.68,35.59,19.6,124.18815,119.86104,122.90152,166.13202,112.76277,114.42955,122.0084,9.5,80.69688,73.62484,254.6
"103","jun/10",224942,39086,16107,3862,95800804,161165097,243733334,1215944490,120771511,38856458,101.2,112.3,82.16,83.01,36.16,19.99,119.96295,119.277,119.14995,152.04139,111.40264,112.84326,119.89844,10.25,77.98364,70.56368,258.34
"104","jul/10",231938,37895,17479,3444,98736209,165729425,247790361,1230372649,123907497,38620844,96.4,111.2,84.15,84.98,38.58,21.8,122.5267,124.66061,124.65266,153.52703,117.82544,119.58261,124.91462,10.75,80.60936,74.56673,274.2
"105","ago/10",243000,43241,18300,3846,100075605,177986499,253535363,1249652847,127034627,46208023,98.1,111.7,88.99,89.77,41.32,23.48,128.36599,122.75059,130.34365,170.64017,120.87247,119.85259,126.45538,10.75,81.48459,73.9388,264.08
"106","set/10",219951,38522,16485,3483,103808803,176623619,255511370,1270065851,131585360,44416368,98.9,111.9,93.49,94.56,42.59,24.78,125.57206,118.39081,130.33916,160.93035,123.10825,119.11334,123.5968,10.75,80.43431,71.89803,286.78
"107","out/10",232071,41416,16082,3998,104813221,179052170,258664294,1290013221,131645973,45788757,97.7,112.6,100.62,101.64,44.88,26.64,125.80445,119.68562,134.83667,170.37143,126.45879,116.80873,126.14076,10.75,84.37288,76.60751,300.62
"108","nov/10",237519,44483,17395,2543,107519070,180367536,259394946,1316718803,134669566,43815952,101.5,112.6,113.01,114.33,48.96,28.57,133.20042,116.93916,133.81529,174.87542,124.16332,114.78005,125.07774,10.75,83.32259,74.40975,301.39
"109","dez/10",207767,39476,15540,1997,121706380,185535239,256721332,1350057992,151145368,55707954,94.8,111.8,104.9,106.02,48.52,28.63,118.59697,108.3047,117.47591,144.34168,111.12167,118.2225,112.22498,10.75,112.90561,104.00097,332.83
"110","jan/11",191191,31443,13782,2885,109180112,188294742,261213960,1375257989,138318334,55228893,96.4,111.1,103.07,104.37,49.63,29.61,108.26206,107.36561,110.55648,147.33298,101.92356,115.16291,108.26129,11.25,82.6224,71.2701,341.49
"111","fev/11",231395,43091,17723,3737,106944772,186696490,262152903,1400373015,135091967,50514963,96.8,111.5,104.3,106.12,49.28,29.54,122.81262,105.98439,115.90104,164.70099,104.48581,105.10588,111.60538,11.25,76.75831,67.58101,352.69
"112","mar/11",231412,44176,16836,3898,105471446,180914099,262125958,1428996412,133099291,46819491,97.1,109.8,105.46,106.92,46.32,27.92,131.6209,117.41248,125.23471,168.69385,115.04015,112.41294,122.25836,11.75,83.14754,73.15389,359.58
