date;prod_auto_br;prod_lev_br;prod_cam_br;prod_onib_br;pmoed_pub_bcb;bm_rest_bcb;m1_bcb;m2_bcb;pmoed_circ_bcb;BM_resb_bcb;iee_fgv;ice_fgv;indboig_cepeaesalq_arr;medp_boig_sp_cepea;soja_R$_cepea_60kgpar;soja_US$_cepea_60kgpar;pim_bk_ibge;pim_bint_ibge;pim_bcons_ibge;pim_bconsdur_ibge;pim_bconsndursemi_ibge;pim_indextr_ibge;pim_indtrans_ibge;selic_copom;pmc_abr_ibge;pmc_ars_ibge;CRB_total_reuters
dez/01;86838;13142;3766;778;32584045;44930680;72680704;314085223;37668836;15587135;105,4;95,3;46,12;46,97;27,19;11,49;;;;;;;;19;50,13812;56,32473;123,13
jan/02;98106;12088;4826;1810;27239411;46278581;74302356;315295459;32388231;17334600;111,4;97,6;45,62;46,42;25,15;10,56;64,08685;94,21401;93,34677;84,02439;95,4342;74,82511;91,81504;19;50,33329;55,33297;121,34
fev/02;96240;12360;5345;2055;26732167;45950179;74350320;317613373;32102817;15788389;94,4;98,1;45,72;46,49;22,39;9,26;66,68525;96,11004;95,74495;89,80367;96,9192;76,76726;94,26537;18,75;50,25021;56,17704;125,72
mar/02;120508;14913;6350;2116;27191413;49353891;76080220;329184301;32547930;16306755;103;98,4;44,7;45,46;21,22;9,05;66,11239;95,35206;96,28296;91,21562;97,29712;77,79967;93,30446;18,5;50,47048;55,20418;139,73
abr/02;127025;16084;6792;2433;26006602;48707081;79167390;331606021;31178230;15567366;95;99,1;42,47;43,2;22,44;9,66;66,09741;95,74342;95,53066;94,28864;95,84475;77,8272;93,52027;18,5;50,27485;56,0591;139,46
mai/02;121122;14784;6443;2177;26996297;53072302;79079233;330389063;32930327;18582861;104,5;98,9;42,17;42,86;25,42;10,23;64,03225;96,03746;94,29084;90,24306;95,2406;76,53364;93,42659;18,5;50,44634;55,26507;138,98
jun/02;108729;14248;5536;1945;28281540;53917780;84166936;347917816;33899629;16792917;103,8;98,5;42,45;43,15;29,36;10,79;65,00354;97,14806;94,2617;90,29197;95,02217;78,62315;93,79276;18,5;49,5426;55,77032;142,05
jul/02;111633;14071;5938;1598;28880966;54327989;88302139;360108940;34679951;17752576;107,8;98,2;43,95;44,69;33,01;11,23;65,15663;96,35193;95,72303;88,92218;97,26703;78,83163;94,06585;18;50,11683;55,67279;142,72
ago/02;107017;12709;5581;1866;30785260;56369801;90969754;372451926;36396984;18588487;126,3;98,4;49,22;50,03;36,15;11,65;60,68409;95,41848;94,64997;82,86597;96,84483;77,60158;93,39239;18;50,51954;56,62726;149,41
set/02;118624;15133;5353;1786;31449398;62609614;91675072;379010436;37819862;22949839;118,3;98,6;49,96;50,84;41,65;12,45;63,9907;96,8613;94,48437;91,49804;95,4701;77,84655;93,59541;18;49,93152;55,39355;154,15
out/02;135135;14634;5856;1602;33073425;62625137;93888095;385346720;39188893;21451238;132,1;99;53,63;54,63;46,46;12,23;61,93496;97,13248;97,40691;92,27777;97,52355;78,87386;94,04399;21;50,35378;54,94661;153,12
nov/02;126985;14291;6262;1422;34709343;60564871;93585955;386967538;41071902;19487037;127,7;98,7;57,8;58,93;46,94;13,11;63,29005;98,01294;95,04783;93,70417;95,5949;78,74641;94,01425;22;49,21036;54,84042;154,48
