date;pib_rs_sa;frgabt_rs_ibge;frgkg_rs_ibge;boiabt_rs_ibge;boikg_rs_ibge;vacabt_rs_ibge;vackg_rs_ibge;novabt_rs_ibge;novkg_rs_ibge;suiabt_rs_ibge;suikg_rs_ibge;monit_pibSA_fgv;monit_pibagroSA_fgv;monit_pibindSA_fgv;monit_pibservSA_fgv;pib_br_agro;pib_br_ind;pib_br_serv;pib_br_tot;ipca_SA_ibge;igpm_NSA_fgv;igpm_1decNSA_fgv;igpm_2decNSA_fgv;igpdi_fgv;igp10_fgv;inpc_ibge
mar/02;97,53998251;150647695;254209990;48601;11926737;68744;13764074;113346;26007113;1152982;91194293;114,932;126,71;105,911;116,945;126,71;105,91;116,94;114,93;1,40638445;0,510594194;0,479773722;0,48054009;0,480749376;0,581084655;2,011893565
jun/02;101,197999;149199301;249345335;73747;18002466;78181;16068510;91129;21494574;1249255;101561222;115,215;129,718;107,338;117,813;129,72;107,34;117,81;115,22;1,48665593;2,956125579;0,911666694;2,24500132;3,589399198;2,42686402;1,385312733
set/02;100,0866203;146751872;243592919;69276;16545649;74182;15387149;86170;19062815;1335784;105992999;116,796;138,824;108,056;119,054;138,82;108,06;119,05;116,8;2,662304562;6,81880576;2,989054587;5,093876408;7,216081232;6,661924864;2,866655087
dez/02;101,1282986;153289670;243742673;76083;18002410;97299;19748156;105081;23702625;1288134;98732067;117,981;142,775;111,286;119,72;142,78;111,29;119,72;117,98;6,540201642;13,35813499;6,628481569;10,25944399;13,27385233;13,47671865;7,848580021
mar/03;98,85222381;152309767;244624252;86059;20907430;100537;20650468;86022;19303352;1249319;97094092;117,471;146,072;105,501;119,103;146,07;105,5;119,1;117,47;5,05026602;6,264469797;2,886050134;4,741668837;5,51749175;6,420711604;5,390397049
jun/03;108,3958803;145963947;241091578;80559;19352374;108955;21970181;97604;22184977;1191992;93845734;116,501;146,013;106,27;118,618;146,01;106,27;118,62;116,5;1,504673501;-0,34896808;0,226778676;-0,086220107;-0,960907771;0,662812537;2,322231803
set/03;98,30562877;154939247;252547111;74582;17654552;111318;22469002;105390;23158869;1215105;95957322;117,571;141,807;109,977;119,732;141,81;109,98;119,73;117,57;1,385517715;1,137913167;0,518827;0,867595448;1,47315698;0,423512437;1,04187659
dez/03;102,1818124;158856487;258809954;93853;22011592;131873;26924055;120774;26793118;1130228;89768644;118,786;144,258;111,26;120,928;144,26;111,26;120,93;118,79;1,0837442;1,487180358;0,872473298;1,214862468;1,527644672;1,719640788;1,305554792
mar/04;106,3024386;155951442;258602056;90052;21540224;149536;30392065;103987;23392631;1148331;88742815;120,422;145,965;113,118;122,932;145,96;113,12;122,93;120,42;1,770118885;2,723881614;1,072971742;2,053387106;2,836204352;2,612160244;1,800209451
jun/04;104,2159672;154373279;267642248;88793;21316270;165584;33396169;96319;21557926;1170483;90090345;123,793;148,486;115,809;124,937;148,49;115,81;124,94;123,79;1,62835865;3,950845744;1,608402414;3,213713953;3,950675591;3,9917032;1,3156982
set/04;105,1760745;151219487;251701708;106067;25016153;187103;39655478;113805;25355482;1240471;95758666;125,33;148,475;120,014;126,166;148,48;120,01;126,17;125,33;2,012494436;3,253549276;1,103692724;2,35747698;2,956765683;3,43801655;1,405747205
dez/04;105,6501258;187418455;287762028;113317;27178426;229595;48546104;164173;37668892;1161383;88664857;126,277;146,731;119,813;128,252;146,73;119,81;128,25;126,28;1,942034912;1,962175665;1,002522023;1,355260536;1,881388599;1,840085699;1,476000433
mar/05;103,6792894;156161630;258466584;95572;22828214;186244;37543978;121680;27492785;1168623;94415099;127,384;150,438;118,445;128,331;150,44;118,44;128,33;127,38;1,67929716;1,547044945;0,78188144;1,053369388;1,728560068;1,406201723;1,749899308
jun/05;100,7204943;162098756;277609341;95610;22750603;194033;38883338;116216;26087930;1280133;109796734;128,797;152,409;121,234;129,932;152,41;121,23;129,93;128,8;1,404891107;0,195300325;0,337879603;0,346490804;-0,192439262;0,755203;1,504591993
