date;rs_exp_uss_vl_fob;rs_exp_kg_liquido;rs_imp_uss_vl_fob;rs_imp_kg_liquido;energia_rs_fee_epe;prod_dpetr_rs_anp;ind_rs_ibge;empf_rs_bcb;custm2_mater_rs_ibge;custm2_mobr_rs_ibge
dez/01;468741637;524028283;242465972;416338251;1712306,48;3851692,11;;-10981;142,1883378;225,8350572
jan/02;370572968;514323780;206257567;424174674;1729804,48;3859215,1;85,71956;10652;143,112562;225,8350572
fev/02;372918007;373798427;188778685;398885004;1859043,48;3412975,68;84,60608;6150;143,9712374;225,4059706
mar/02;401343882;437680239;232274772;553968952;1835792,48;3355567,2;99,18777;9401;140,5591191;235,9098888
abr/02;455647664;404664993;223341384;574073124;1842555,48;3789017,2;108,62347;13097;140,6293986;235,9098888
mai/02;561443969;544236551;221905090;524683405;1784292,48;4127064,02;110,25873;-6787;140,7278392;235,9098888
jun/02;568494760;846776734;192529839;435489343;1775410,48;3553525,04;99,37851;-2959;140,7700576;235,9098888
jul/02;826674786;1839978843;269673347;814218938;1709255,48;3056741,06;100,10103;-6283;140,2773624;255,5611826
ago/02;631208703;1048180916;221940122;528742325;1743095,48;3474774,48;97,16637;-474;142,6480498;255,3567336
set/02;561027560;1000324752;235914926;531497340;1714120,48;3780287,22;94,62911;10392;148,3967662;245,0658572
out/02;641600755;1060967858;266217830;757303870;1718350,48;3891692,1;102,29061;7611;150,9788699;246,6587853
nov/02;485512577;506817987;345301109;1231826577;1788496,48;3915279,13;98,03104;13593;154,8590269;247,5220911
dez/02;495597755;568982182;229641513;495205876;1790158,48;3127594,1;83,00391;-11705;163,0200976;246,333985
jan/03;448812800;583064281;211048805;373004110;1817515,48;3738781,87;88,27158;8844;167,2586201;249,0929257
fev/03;509200572;531969615;312646210;725514113;1918652,48;2939020,7;87,71876;14915;171,0052132;250,0145695
mar/03;475941749;518388528;246144037;641400629;1854420,48;3695576,91;104,24584;4715;172,2364508;250,2145811
abr/03;638249341;728550128;288931443;673259501;1782689,48;3608550,86;107,51254;10875;170,3246261;261,8996021
mai/03;784701681;1380142686;283333033;756116471;1759394,48;3782981,31;107,9281;-5776;171,9086452;261,5067527
jun/03;761468612;1233722619;247495373;600521851;1677407,48;3792891,65;94,02063;-2847;177,2206223;265,1155459
jul/03;813756721;1404653790;307701748;838651247;1714185,48;3457630,45;93,42781;-11073;177,3269547;270,4178568
