Variables;type_sw
date;4
rs_exp_uss_vl_fob;2
rs_exp_kg_liquido;2
rs_imp_uss_vl_fob;2
rs_imp_kg_liquido;2
energia_rs_fee_epe;2
prod_dpetr_rs_anp;2
ind_rs_ibge;2
empf_rs_bcb;1
custm2_mater_rs_ibge;3
custm2_mobr_rs_ibge;3
prod_auto_br;2
prod_lev_br;2
prod_cam_br;2
prod_onib_br;2
pmoed_pub_bcb;2
bm_rest_bcb;2
m1_bcb;2
m2_bcb;2
pmoed_circ_bcb;2
BM_resb_bcb;2
iee_fgv;1
ice_fgv;1
indboig_cepeaesalq_arr;3
medp_boig_sp_cepea;3
soja_RSs_cepea_60kgpar;3
soja_USS_cepea_60kgpar;3
pim_bk_ibge;2
pim_bint_ibge;2
pim_bcons_ibge;2
pim_bconsdur_ibge;2
pim_bconsndursemi_ibge;2
pim_indextr_ibge;2
pim_indtrans_ibge;2
selic_copom;1
pmc_abr_ibge;2
pmc_ars_ibge;2
CRB_total_reuters;2
ABPO12_PAPEL12;2
ANBIMA12_TJTLN112;1
ANBIMA12_TJTLN1212;1
ANBIMA12_TJTLN312;1
ANBIMA12_TJTLN612;1
BMF12_SWAPDI180F12;1
BMF12_SWAPDI36012;1
BMF12_SWAPDI360F12;1
BM12_ERCF12;1
BM12_TJOVER12;1
BM12_DTEEY12;2
BM12_DTEMY12;2
BM12_DTGFN12;2
BM12_DTGFY12;2
BM12_DTSPY12;2
PAN12_DTSPY12;2
IFS12_BEEFB12;3
IFS12_MAIZE12;3
IFS12_PETROLEUM12;3
IFS12_SOJAGP12;3
FCESP12_IIC12;2
FCESP12_IICA12;2
FCESP12_IICF12;2
GAC12_INDFBCF12;2
EIA366_PBRENT366;3
EIA366_PWTI366;3
bage_dirvento;1
bage_insolacaototal;1
bage_nebulosmedia;1
bage_precipitacao;1
bage_pressaomed;1
bage_tempmax;1
bage_tempmedcomp;1
bage_tempmin;1
bage_umidade;1
bage_ventovelmax;1
bage_ventovelmed;1
bomjesus_dirvento;1
bomjesus_insolacaototal;1
bomjesus_nebulosmedia;1
bomjesus_precipitacao;1
bomjesus_pressaomed;1
bomjesus_tempmax;1
bomjesus_tempmedcomp;1
bomjesus_tempmin;1
bomjesus_umidade;1
bomjesus_ventovelmax;1
