"window","name","coef"
"ind_1_to_64","(Intercept)",-0.00038788392189373
"ind_1_to_64","pib_rs_lag_1",-0.041398730215525
"ind_1_to_64","monit_pib_fgv_lag_1",0.237282241598502
"ind_2_to_65","(Intercept)",0.00167610283006053
"ind_2_to_65","pib_rs_lag_1",-0.0397306241723354
"ind_2_to_65","monit_pib_fgv_lag_1",0.231699735405751
"ind_3_to_66","(Intercept)",0.00011483549648629
"ind_3_to_66","monit_pib_fgv_lag_1",0.285069534522842
"ind_4_to_67","(Intercept)",0.00227991948228842
"ind_4_to_67","monit_pib_fgv_lag_1",0.170315001650555
"ind_5_to_68","(Intercept)",-0.000260615217419102
"ind_5_to_68","monit_pib_fgv_lag_1",0.247171203162182
"ind_6_to_69","(Intercept)",0.00193424390166173
"ind_6_to_69","monit_pib_fgv_lag_1",0.434447002081118
"ind_6_to_69","ipca_ibge_lag_1",0.00302796222406371
"ind_7_to_70","(Intercept)",0.00067630946362709
"ind_7_to_70","monit_pib_fgv_lag_1",0.402534813634748
"ind_7_to_70","ipca_ibge_lag_1",0.00348693045383818
"ind_8_to_71","(Intercept)",0.000524934090596367
"ind_8_to_71","monit_pib_fgv_lag_1",0.390994865455242
"ind_8_to_71","ipca_ibge_lag_1",0.00326150290085027
"ind_9_to_72","(Intercept)",0.000129495833417609
"ind_9_to_72","monit_pib_fgv_lag_1",0.372639279370932
"ind_9_to_72","ipca_ibge_lag_1",0.000770222311553434
"ind_10_to_73","(Intercept)",0.000402372266403737
"ind_10_to_73","monit_pib_fgv_lag_1",0.526919537592085
"ind_10_to_73","ipca_ibge_lag_1",0.00320929407281946
"ind_11_to_74","(Intercept)",0.0035665494665749
"ind_11_to_74","monit_pib_fgv_lag_1",0.155801784463783
"ind_11_to_74","ipca_ibge_lag_1",0.000704802722940541
"ind_12_to_75","(Intercept)",0.0032358907381405
"ind_12_to_75","monit_pib_fgv_lag_1",0.162301051363669
"ind_12_to_75","ipca_ibge_lag_1",0.000691176670490275
"ind_13_to_76","(Intercept)",0.00356268311529447
"ind_13_to_76","monit_pib_fgv_lag_1",0.188557225201056
"ind_13_to_76","ipca_ibge_lag_1",0.00176130865693994
"ind_14_to_77","(Intercept)",0.00507141804760554
"ind_14_to_77","monit_pibagro_fgv_lag_1",0.01680448296783
"ind_14_to_77","monit_pib_fgv_lag_1",0.192734630590261
"ind_14_to_77","empf_rs_bcb_lag_1",4.43820500878347e-08
"ind_15_to_78","(Intercept)",0.00359713991511941
"ind_15_to_78","monit_pibagro_fgv_lag_1",0.0137878485084915
"ind_15_to_78","monit_pib_fgv_lag_1",0.229149662161527
"ind_16_to_79","(Intercept)",0.00282732708804537
"ind_16_to_79","monit_pibagro_fgv_lag_1",0.0178734510336104
"ind_16_to_79","monit_pib_fgv_lag_1",0.180683888486004
"ind_17_to_80","(Intercept)",0.00215298187234745
"ind_17_to_80","monit_pibagro_fgv_lag_1",0.0223443828673943
"ind_17_to_80","monit_pib_fgv_lag_1",0.179045779361712
"ind_18_to_81","(Intercept)",0.00255624981342996
"ind_18_to_81","monit_pibagro_fgv_lag_1",0.0182335898341853
"ind_18_to_81","monit_pib_fgv_lag_1",0.197668698362593
"ind_19_to_82","(Intercept)",0.00333911262990126
"ind_19_to_82","monit_pibagro_fgv_lag_1",0.0280665054603012
"ind_19_to_82","monit_pib_fgv_lag_1",0.25005353595419
"ind_20_to_83","(Intercept)",0.00180122977497291
"ind_20_to_83","monit_pibagro_fgv_lag_1",0.0277734508091698
"ind_20_to_83","monit_pib_fgv_lag_1",0.301878248694508
"ind_21_to_84","(Intercept)",0.00201807484824733
"ind_21_to_84","monit_pibagro_fgv_lag_1",0.0282950748892446
"ind_21_to_84","monit_pib_fgv_lag_1",0.297617358802761
"ind_22_to_85","(Intercept)",0.00285238190754602
"ind_22_to_85","monit_pibagro_fgv_lag_1",0.0246152053365837
"ind_22_to_85","monit_pib_fgv_lag_1",0.268877951765466
"ind_23_to_86","(Intercept)",0.00249448818619932
"ind_23_to_86","monit_pibagro_fgv_lag_1",0.0243124205644813
"ind_23_to_86","monit_pib_fgv_lag_1",0.273867632599192
"ind_24_to_87","(Intercept)",0.00252388051773606
"ind_24_to_87","monit_pibagro_fgv_lag_1",0.0247658358855533
"ind_24_to_87","monit_pib_fgv_lag_1",0.274342673186631
"ind_25_to_88","(Intercept)",0.00429830886439597
"ind_25_to_88","monit_pibagro_fgv_lag_1",0.0230788483517148
"ind_25_to_88","monit_pib_fgv_lag_1",0.165314254997471
"ind_26_to_89","(Intercept)",0.00422101839858873
"ind_26_to_89","monit_pibagro_fgv_lag_1",0.0236127333218674
"ind_26_to_89","monit_pib_fgv_lag_1",0.161427667857603
"ind_27_to_90","(Intercept)",0.00388337750033656
"ind_27_to_90","monit_pibagro_fgv_lag_1",0.0216120449882937
"ind_27_to_90","monit_pib_fgv_lag_1",0.0854525073228562
"ind_28_to_91","(Intercept)",0.00362144504822294
"ind_28_to_91","monit_pibagro_fgv_lag_1",0.0246351881784628
"ind_28_to_91","monit_pib_fgv_lag_1",0.058071011953579
"ind_1_to_61","(Intercept)",0.00164518981242951
"ind_1_to_61","pib_rs_lag_4",0.139389281123956
"ind_2_to_62","(Intercept)",4.86989633805706e-05
"ind_2_to_62","pib_rs_lag_4",0.166732875345174
"ind_3_to_63","(Intercept)",0.00146012032777513
"ind_3_to_63","pib_rs_lag_4",0.278635920929455
"ind_4_to_64","(Intercept)",0.00137406882981916
"ind_4_to_64","pib_rs_lag_4",0.327991307239187
"ind_5_to_65","(Intercept)",0.00164678207195391
"ind_5_to_65","pib_rs_lag_4",0.319034650429882
"ind_6_to_66","(Intercept)",0.0017667433244905
"ind_6_to_66","pib_rs_lag_4",0.289391738259455
"ind_7_to_67","(Intercept)",0.00346636248222295
"ind_7_to_67","pib_rs_lag_4",0.246190074422547
"ind_8_to_68","(Intercept)",0.00285008803833603
"ind_8_to_68","pib_rs_lag_4",0.236101347030507
"ind_9_to_69","(Intercept)",0.00383170834474086
"ind_9_to_69","pib_rs_lag_4",0.238405541049168
"ind_9_to_69","frgabt_rs_ibge_lag_4",-0.00242446627041654
"ind_10_to_70","(Intercept)",0.00249993117423431
"ind_10_to_70","pib_rs_lag_4",0.209392162579409
"ind_10_to_70","frgabt_rs_ibge_lag_4",-0.00214175234103707
"ind_10_to_70","igpdi_fgv_lag_4",0.000169348480771228
"ind_11_to_71","(Intercept)",0.0022244004312422
"ind_11_to_71","pib_rs_lag_4",0.191205222096538
"ind_11_to_71","frgabt_rs_ibge_lag_4",-0.00389866248226459
"ind_11_to_71","igpdi_fgv_lag_4",8.89337883737538e-05
"ind_12_to_72","(Intercept)",0.00135798129066616
"ind_12_to_72","pib_rs_lag_4",0.167413367065193
"ind_13_to_73","(Intercept)",-0.0018220672312625
"ind_13_to_73","pib_rs_lag_4",0.0626901198552616
"ind_14_to_74","(Intercept)",0.000814830521195679
"ind_15_to_75","(Intercept)",0.00100463124213659
"ind_16_to_76","(Intercept)",0.00248355467934272
"ind_17_to_77","(Intercept)",0.00407627469371617
"ind_17_to_77","frgabt_rs_ibge_lag_4",-0.0119132156552828
"ind_18_to_78","(Intercept)",0.00115083855625714
"ind_18_to_78","prod_auto_br_lag_4",-1.38447329152601e-05
"ind_19_to_79","(Intercept)",0.000987218039299363
"ind_19_to_79","frgabt_rs_ibge_lag_4",-0.0371765145214967
"ind_19_to_79","pib_br_tot_lag_4",-0.0355002032393721
"ind_19_to_79","prod_auto_br_lag_4",-0.00119192422743179
"ind_20_to_80","(Intercept)",0.0012013547212857
"ind_20_to_80","frgabt_rs_ibge_lag_4",-0.0152167456996311
"ind_21_to_81","(Intercept)",0.00196157456827082
"ind_22_to_82","(Intercept)",0.00275646930479757
"ind_22_to_82","frgabt_rs_ibge_lag_4",-0.00559868779258352
"ind_22_to_82","pib_br_tot_lag_4",-0.0241538168948806
"ind_23_to_83","(Intercept)",0.00353165426662906
"ind_23_to_83","pib_br_tot_lag_4",-0.0454654958030069
"ind_24_to_84","(Intercept)",0.00530415946650799
"ind_24_to_84","pib_br_tot_lag_4",-0.0819730065556091
"ind_25_to_85","(Intercept)",0.00103933934314188
"ind_25_to_85","frgabt_rs_ibge_lag_4",-0.0497642877459628
"ind_26_to_86","(Intercept)",-0.000477404055598814
"ind_26_to_86","frgabt_rs_ibge_lag_4",-0.0716071115150825
"ind_26_to_86","pib_br_tot_lag_4",-0.108728482835155
"ind_27_to_87","(Intercept)",0.000641942624255222
"ind_27_to_87","frgabt_rs_ibge_lag_4",-0.0552087808369475
"ind_27_to_87","pib_br_tot_lag_4",-0.0446504618054914
"ind_28_to_88","(Intercept)",0.00311639108433691
"ind_28_to_88","frgabt_rs_ibge_lag_4",-0.0318491894089667
"ind_29_to_89","(Intercept)",0.00123787014910906
"ind_29_to_89","frgabt_rs_ibge_lag_4",-0.0517126119652163
"ind_30_to_90","(Intercept)",-0.000290570224657844
"ind_30_to_90","frgabt_rs_ibge_lag_4",-0.0317484961298861
"ind_31_to_91","(Intercept)",9.21292896101273e-05
"ind_31_to_91","frgabt_rs_ibge_lag_4",-0.0319255372052543
"ind_31_to_91","pib_br_tot_lag_4",-0.0407800634382147
"ind_1_to_67","(Intercept)",0.092798731772679
"ind_1_to_67","y_lag_1",0.552948457679963
"ind_1_to_67","x1_lag_1",0.955915801332184
"ind_1_to_67","x7_lag_1",0.321952659729711
"ind_1_to_67","x14_lag_1",0.0197151822290966
"ind_1_to_67","x2_lag_2",-0.756073297935184
"ind_1_to_67","x3_lag_2",-0.000578772362740356
"ind_2_to_68","(Intercept)",0.0870516613268054
"ind_2_to_68","y_lag_1",0.538971888365692
"ind_2_to_68","x1_lag_1",0.947777253683406
"ind_2_to_68","x5_lag_1",-0.165223617246502
"ind_2_to_68","x7_lag_1",0.477289263281874
"ind_2_to_68","x12_lag_1",0.0103110322646592
"ind_2_to_68","x13_lag_1",0.0548776366068622
"ind_2_to_68","x14_lag_1",0.137201938790395
"ind_2_to_68","x15_lag_1",-0.00201542612078649
"ind_2_to_68","x16_lag_1",0.0237650120493866
"ind_2_to_68","x19_lag_1",0.00300006447244346
"ind_2_to_68","y_lag_2",0.00150786215271635
"ind_2_to_68","x2_lag_2",-1.05468711928137
"ind_2_to_68","x3_lag_2",-0.190026188289379
"ind_2_to_68","x11_lag_2",0.249809738610076
"ind_2_to_68","x14_lag_2",-0.0105477524160159
"ind_3_to_69","(Intercept)",0.0774152782483034
"ind_3_to_69","y_lag_1",0.556887151664864
"ind_3_to_69","x1_lag_1",0.886651091301888
"ind_3_to_69","x5_lag_1",-0.042357255350262
"ind_3_to_69","x7_lag_1",0.415263380596568
"ind_3_to_69","x12_lag_1",0.00896957143296114
"ind_3_to_69","x13_lag_1",0.0589355886046699
"ind_3_to_69","x14_lag_1",0.0810796041530635
"ind_3_to_69","x16_lag_1",0.0737075345865261
"ind_3_to_69","x2_lag_2",-0.963185778337007
"ind_3_to_69","x3_lag_2",-0.0808857595206391
"ind_3_to_69","x11_lag_2",0.12738808529769
"ind_4_to_70","(Intercept)",0.0237162047760941
"ind_4_to_70","y_lag_1",0.575254531451415
"ind_4_to_70","x1_lag_1",0.871550931570868
"ind_4_to_70","x7_lag_1",0.311142326430741
"ind_4_to_70","x13_lag_1",0.0856789963310017
"ind_4_to_70","x14_lag_1",0.0621354691426661
"ind_4_to_70","x16_lag_1",0.0950430098903067
"ind_4_to_70","x2_lag_2",-0.864346945167953
"ind_4_to_70","x11_lag_2",0.0481781200962034
"ind_5_to_71","(Intercept)",-0.0340439910787976
"ind_5_to_71","y_lag_1",0.591785998170383
"ind_5_to_71","x1_lag_1",0.833364363318512
"ind_5_to_71","x7_lag_1",0.351864742036277
"ind_5_to_71","x13_lag_1",0.0939053487164787
"ind_5_to_71","x14_lag_1",0.116277958284698
"ind_5_to_71","x16_lag_1",0.0719933672431256
"ind_5_to_71","x2_lag_2",-0.901782949774442
"ind_5_to_71","x3_lag_2",-0.0222129646117626
"ind_5_to_71","x11_lag_2",0.052160170008605
"ind_6_to_72","(Intercept)",0.025038616826954
"ind_6_to_72","y_lag_1",0.574014677938369
"ind_6_to_72","x1_lag_1",0.895993873680625
"ind_6_to_72","x7_lag_1",0.200673223859099
"ind_6_to_72","x12_lag_1",0.0375133828808226
"ind_6_to_72","x13_lag_1",0.0500976705330969
"ind_6_to_72","x14_lag_1",0.0614898411347213
"ind_6_to_72","x16_lag_1",0.0789420983526127
"ind_6_to_72","x2_lag_2",-0.808149719321709
"ind_7_to_73","(Intercept)",0.012872190518857
"ind_7_to_73","y_lag_1",0.571855642927373
"ind_7_to_73","x1_lag_1",0.938857177383523
"ind_7_to_73","x7_lag_1",0.233887397592938
"ind_7_to_73","x12_lag_1",0.0196918267372095
"ind_7_to_73","x13_lag_1",0.0159038338665511
"ind_7_to_73","x14_lag_1",0.0582358796153232
"ind_7_to_73","x16_lag_1",0.0447877621657469
"ind_7_to_73","x2_lag_2",-0.817240876895259
"ind_8_to_74","(Intercept)",0.00296773729424889
"ind_8_to_74","y_lag_1",0.580134126636237
"ind_8_to_74","x1_lag_1",0.899570884238653
"ind_8_to_74","x7_lag_1",0.348238126901548
"ind_8_to_74","x12_lag_1",0.0188243903456241
"ind_8_to_74","x13_lag_1",0.0330244773997918
"ind_8_to_74","x14_lag_1",0.0824091827113302
"ind_8_to_74","x16_lag_1",0.0799512884167579
"ind_8_to_74","x2_lag_2",-0.87563589949795
"ind_8_to_74","x3_lag_2",-0.0302628533727235
"ind_8_to_74","x11_lag_2",0.036500829351908
"ind_9_to_75","(Intercept)",0.105038431572694
"ind_9_to_75","y_lag_1",0.555631232220411
"ind_9_to_75","x1_lag_1",1.03392640483165
"ind_9_to_75","x7_lag_1",0.0720920194947949
"ind_9_to_75","x14_lag_1",0.0447756636977171
"ind_9_to_75","x2_lag_2",-0.71249941959199
"ind_10_to_76","(Intercept)",0.0602242624542991
"ind_10_to_76","y_lag_1",0.554289604991733
"ind_10_to_76","x1_lag_1",0.951793215838322
"ind_10_to_76","x2_lag_1",-0.0206283801662933
"ind_10_to_76","x5_lag_1",-0.129668801430348
"ind_10_to_76","x7_lag_1",0.246651487950914
"ind_10_to_76","x12_lag_1",0.055250971667489
"ind_10_to_76","x13_lag_1",0.20636451483081
"ind_10_to_76","x14_lag_1",0.109286782582443
"ind_10_to_76","x2_lag_2",-0.823340436834795
"ind_10_to_76","x3_lag_2",-0.13667614521924
"ind_10_to_76","x14_lag_2",-0.00385043542877325
"ind_11_to_77","(Intercept)",0.0731846030446112
"ind_11_to_77","y_lag_1",0.591555406856168
"ind_11_to_77","x1_lag_1",1.06236050055497
"ind_11_to_77","x12_lag_1",0.00040283457819647
"ind_11_to_77","x13_lag_1",0.001159547255828
"ind_11_to_77","x14_lag_1",0.0016311460187356
"ind_11_to_77","x16_lag_1",0.000276983775584581
"ind_11_to_77","x2_lag_2",-0.536914382641357
"ind_12_to_78","(Intercept)",0.0718006485406321
"ind_12_to_78","y_lag_1",0.582869209619214
"ind_12_to_78","x1_lag_1",0.997384210388224
"ind_12_to_78","x7_lag_1",0.04166973901889
"ind_12_to_78","x12_lag_1",0.0563489064035917
"ind_12_to_78","x13_lag_1",0.0201259323826025
"ind_12_to_78","x14_lag_1",0.0816579433057394
"ind_12_to_78","x2_lag_2",-0.675371454051365
"ind_13_to_79","(Intercept)",0.103642408640851
"ind_13_to_79","y_lag_1",0.569439900592926
"ind_13_to_79","x1_lag_1",1.06135694491306
"ind_13_to_79","x14_lag_1",0.097385342536256
"ind_13_to_79","y_lag_2",0.0196987444145156
"ind_13_to_79","x2_lag_2",-0.670469255954224
"ind_14_to_80","(Intercept)",0.1482514454346
"ind_14_to_80","y_lag_1",0.603333762830368
"ind_14_to_80","x1_lag_1",1.05944785310974
"ind_14_to_80","x14_lag_1",0.0700227012208942
"ind_14_to_80","y_lag_2",0.00201789318290716
"ind_14_to_80","x2_lag_2",-0.737420846516366
"ind_15_to_81","(Intercept)",0.0768038306064154
"ind_15_to_81","y_lag_1",0.569788272089325
"ind_15_to_81","x1_lag_1",1.05196353748279
"ind_15_to_81","x14_lag_1",0.077079302855787
"ind_15_to_81","x2_lag_2",-0.642876291602331
"ind_16_to_82","(Intercept)",0.0705856597580618
"ind_16_to_82","y_lag_1",0.571968890651059
"ind_16_to_82","x1_lag_1",1.05154596520656
"ind_16_to_82","x14_lag_1",0.0626591231849492
"ind_16_to_82","x2_lag_2",-0.605474348528248
"ind_17_to_83","(Intercept)",0.0589383854412493
"ind_17_to_83","y_lag_1",0.565241186236179
"ind_17_to_83","x1_lag_1",1.06041251210118
"ind_17_to_83","x14_lag_1",0.0792069657260497
"ind_17_to_83","y_lag_2",0.00107014171525011
"ind_17_to_83","x2_lag_2",-0.624612629868799
"ind_18_to_84","(Intercept)",0.0226300413286201
"ind_18_to_84","y_lag_1",0.556962776227546
"ind_18_to_84","x1_lag_1",1.0565842092383
"ind_18_to_84","x14_lag_1",0.0121706920864237
"ind_18_to_84","x2_lag_2",-0.530178280184896
"ind_19_to_85","(Intercept)",0.0437646711323369
"ind_19_to_85","y_lag_1",0.559697554627218
"ind_19_to_85","x1_lag_1",1.102113954613
"ind_19_to_85","x14_lag_1",0.0086138524182218
"ind_19_to_85","x2_lag_2",-0.62577560682307
"ind_20_to_86","(Intercept)",0.0821916323185286
"ind_20_to_86","y_lag_1",0.565538733460259
"ind_20_to_86","x1_lag_1",1.10019003257951
"ind_20_to_86","x16_lag_1",0.00476863993391902
"ind_20_to_86","x2_lag_2",-0.658297168079639
"ind_21_to_87","(Intercept)",0.0602389136445552
